OTUs,Phylum,Class,Order,Family,Genus,Species
OTU_1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unknown,Unknown
OTU_2,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,Unknown,Unknown
OTU_3,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Unknown,Unknown,Unknown
OTU_4,Chloroflexi,Thermomicrobia,JG30-KF-CM45,Unknown,Unknown,Unknown
OTU_5,WPS-2,Unknown,Unknown,Unknown,Unknown,Unknown
OTU_6,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Unknown,Unknown
OTU_7,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,Unknown
OTU_8,Chloroflexi,Ellin6529,Unknown,Unknown,Unknown,Unknown
OTU_9,Chlorobi,Unknown,Unknown,Unknown,Unknown,Unknown
OTU_10,Planctomycetes,Phycisphaerae,WD2101,Unknown,Unknown,Unknown
OTU_11,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Unknown,Unknown
OTU_12,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Unknown
OTU_13,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Unknown,Unknown
OTU_14,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Ellin517,Unknown,Unknown
OTU_15,WS3,PRR-12,LD1-PA13,Unknown,Unknown,Unknown
OTU_16,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Unknown,Unknown
OTU_17,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Unknown,Unknown
OTU_18,Acidobacteria,Chloracidobacteria,PK29,Unknown,Unknown,Unknown
OTU_19,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Ellin517,Unknown,Unknown
OTU_20,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Unknown,Unknown
OTU_21,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Unknown,Unknown
OTU_22,Planctomycetes,Phycisphaerae,CPla-3,Unknown,Unknown,Unknown
OTU_23,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Unknown,Unknown
OTU_24,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,Unknown,Unknown
OTU_25,Planctomycetes,Phycisphaerae,WD2101,Unknown,Unknown,Unknown
OTU_26,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,Unknown
OTU_27,Gemmatimonadetes,Gemm-1,Unknown,Unknown,Unknown,Unknown
OTU_28,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Unknown,Unknown
OTU_29,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Unknown,Unknown
OTU_30,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,rhizophila
OTU_31,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,Unknown,Unknown
OTU_32,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Unknown,Unknown
OTU_33,Actinobacteria,MB-A2-108,0319-7L14,Unknown,Unknown,Unknown
OTU_34,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,JG37-AG-70,Unknown
OTU_35,Proteobacteria,Betaproteobacteria,Ellin6067,Unknown,Unknown,Unknown
OTU_36,Chloroflexi,Thermomicrobia,Ellin6537,Unknown,Unknown,Unknown
OTU_37,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,Unknown
OTU_38,Acidobacteria,S035,Unknown,Unknown,Unknown,Unknown
OTU_39,AD3,JG37-AG-4,Unknown,Unknown,Unknown,Unknown
OTU_40,WS3,PRR-12,Sediment-1,Unknown,Unknown,Unknown
OTU_41,Armatimonadetes,Chthonomonadetes,SJA-22,Unknown,Unknown,Unknown
OTU_42,WPS-2,Unknown,Unknown,Unknown,Unknown,Unknown
OTU_43,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Unknown,Unknown
OTU_44,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,Unknown,Unknown
OTU_45,Acidobacteria,iii1-8,DS-18,Unknown,Unknown,Unknown
OTU_46,Proteobacteria,Deltaproteobacteria,Entotheonellales,Entotheonellaceae,Unknown,Unknown
OTU_47,Gemmatimonadetes,Gemm-3,Unknown,Unknown,Unknown,Unknown
OTU_48,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Unknown,Unknown
OTU_49,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Unknown
OTU_50,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Unknown,Unknown
OTU_51,Actinobacteria,MB-A2-108,0319-7L14,Unknown,Unknown,Unknown
OTU_52,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Unknown,Unknown
OTU_53,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Unknown,Unknown
OTU_54,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,vannielii
OTU_55,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unknown,Unknown
OTU_56,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
OTU_57,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Unknown
OTU_58,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,A17,Unknown
OTU_59,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
OTU_60,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Unknown
OTU_61,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,Unknown,Unknown
OTU_62,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Unknown
OTU_63,Proteobacteria,Deltaproteobacteria,Myxococcales,Unknown,Unknown,Unknown
OTU_64,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,Unknown
OTU_65,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,Unknown
OTU_66,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,Unknown
OTU_67,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unknown,Unknown
OTU_68,Proteobacteria,Betaproteobacteria,MND1,Unknown,Unknown,Unknown
OTU_69,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Unknown
OTU_70,Bacteroidetes,Bacteroidia,Bacteroidales,Unknown,Unknown,Unknown
OTU_71,Proteobacteria,Deltaproteobacteria,Entotheonellales,Entotheonellaceae,Unknown,Unknown
OTU_72,Planctomycetes,Phycisphaerae,Phycisphaerales,Unknown,Unknown,Unknown
OTU_73,Chloroflexi,TK10,B07_WMSP1,Unknown,Unknown,Unknown
OTU_74,Chloroflexi,Anaerolineae,GCA004,Unknown,Unknown,Unknown
OTU_75,Actinobacteria,Thermoleophilia,Gaiellales,Unknown,Unknown,Unknown
OTU_76,Proteobacteria,Alphaproteobacteria,Rhizobiales,Unknown,Unknown,Unknown
OTU_77,Proteobacteria,Gammaproteobacteria,Marinicellales,Marinicellaceae,Unknown,Unknown
OTU_78,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Unknown,Unknown
OTU_79,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,A17,Unknown
OTU_80,Gemmatimonadetes,Gemmatimonadetes,Ellin5290,Unknown,Unknown,Unknown
OTU_81,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Unknown,Unknown
OTU_82,Chloroflexi,S085,Unknown,Unknown,Unknown,Unknown
OTU_83,Acidobacteria,Solibacteres,Solibacterales,Unknown,Unknown,Unknown
OTU_84,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,Unknown
OTU_85,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Ellin5301,Unknown,Unknown
OTU_86,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,umsongensis
OTU_87,Acidobacteria,Solibacteres,Solibacterales,Unknown,Unknown,Unknown
OTU_88,Actinobacteria,MB-A2-108,0319-7L14,Unknown,Unknown,Unknown
OTU_89,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,Unknown,Unknown
OTU_90,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Unknown,Unknown
OTU_91,Actinobacteria,MB-A2-108,0319-7L14,Unknown,Unknown,Unknown
OTU_92,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Unknown,Unknown
OTU_93,Proteobacteria,Deltaproteobacteria,Myxococcales,Unknown,Unknown,Unknown
OTU_94,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium,Unknown
OTU_95,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Unknown,Unknown
