OTUs,Ecotype
OTU_1,Others
OTU_2,Abundant taxa
OTU_3,Others
OTU_4,Others
OTU_5,Others
OTU_6,Others
OTU_7,Abundant taxa
OTU_8,Others
OTU_9,Rare taxa
OTU_10,Others
OTU_11,Rare taxa
OTU_12,Others
OTU_13,Others
OTU_14,Others
OTU_15,Others
OTU_16,Others
OTU_17,Others
OTU_18,Rare taxa
OTU_19,Others
OTU_20,Others
OTU_21,Others
OTU_22,Others
OTU_23,Others
OTU_24,Others
OTU_25,Others
OTU_26,Others
OTU_27,Others
OTU_28,Others
OTU_29,Rare taxa
OTU_30,Others
OTU_31,Others
OTU_32,Rare taxa
OTU_33,Others
OTU_34,Others
OTU_35,Others
OTU_36,Others
OTU_37,Others
OTU_38,Others
OTU_39,Others
OTU_40,Others
OTU_41,Rare taxa
OTU_42,Rare taxa
OTU_43,Others
OTU_44,Others
OTU_45,Others
OTU_46,Others
OTU_47,Others
OTU_48,Others
OTU_49,Rare taxa
OTU_50,Abundant taxa
OTU_51,Rare taxa
OTU_52,Rare taxa
OTU_53,Others
OTU_54,Others
OTU_55,Rare taxa
OTU_56,Rare taxa
OTU_57,Others
OTU_58,Rare taxa
OTU_59,Rare taxa
OTU_60,Others
OTU_61,Others
OTU_62,Others
OTU_63,Others
OTU_64,Others
OTU_65,Rare taxa
OTU_66,Others
OTU_67,Rare taxa
OTU_68,Others
OTU_69,Others
OTU_70,Others
OTU_71,Others
OTU_72,Rare taxa
OTU_73,Others
OTU_74,Others
OTU_75,Others
OTU_76,Others
OTU_77,Others
OTU_78,Others
OTU_79,Others
OTU_80,Others
OTU_81,Rare taxa
OTU_82,Rare taxa
OTU_83,Others
OTU_84,Others
OTU_85,Others
OTU_86,Abundant taxa
OTU_87,Others
OTU_88,Others
OTU_89,Abundant taxa
OTU_90,Others
OTU_91,Others
OTU_92,Others
OTU_93,Others
OTU_94,Others
OTU_95,Others
OTU_96,Others
OTU_97,Rare taxa
OTU_98,Others
OTU_99,Others
OTU_100,Others
OTU_101,Rare taxa
OTU_102,Rare taxa
OTU_103,Rare taxa
OTU_104,Others
OTU_105,Others
OTU_106,Others
OTU_107,Others
OTU_108,Others
OTU_109,Others
OTU_110,Others
OTU_111,Others
OTU_112,Abundant taxa
OTU_113,Others
OTU_114,Others
OTU_115,Others
OTU_116,Others
OTU_117,Rare taxa
OTU_118,Others
OTU_119,Rare taxa
OTU_120,Others
OTU_121,Others
OTU_122,Others
OTU_123,Others
OTU_124,Rare taxa
OTU_125,Rare taxa
OTU_126,Others
OTU_127,Others
OTU_128,Others
