Sample ID ,Ecosystem_recode
NC-GSM-1,ForestWoodland
NC-GSM-2,ForestWoodland
NC-GSM-3,ForestWoodland
NC-GSM-4,Barren
NC-GSM-5,ForestWoodland
MD-AEC-1,Wetland
MD-AEC-4,Wetland
MD-AEC-5,Wetland
MD-AEC-6,Wetland
MD-AEC-7,Wetland
TX-LL-1,ForestWoodland
TX-LL-2,ForestWoodland
TX-LL-3,Unknown
TX-LL-4,Unknown
TX-LL-5,ForestWoodland
TX-CR-1,Shrubland
TX-CR-2,Herbaceous
TX-CR-3,Shrubland
TX-CR-4,Shrubland
TX-CR-5,Shrubland
TX-MC-1,ForestWoodland
TX-MC-2,ForestWoodland
TX-MC-3,ForestWoodland
TX-MC-4,ForestWoodland
TX-MC-5,ForestWoodland
NC-CMSP-1,ForestWoodland
NC-CMSP-2,ForestWoodland
NC-CMSP-3,ForestWoodland
NC-CMSP-4,ForestWoodland
NC-CMSP-5,ForestWoodland
TX-GCS-1,Shrubland
TX-GCS-2,Barren
TX-GCS-3,Shrubland
TX-GCS-4,Herbaceous
TX-GCS-5,Unknown
TX-DP-1,ForestWoodland
TX-DP-2,ForestWoodland
TX-DP-3,ForestWoodland
TX-DP-4,ForestWoodland
TX-DP-5,ForestWoodland
OR-MD-1,ForestWoodland
OR-MD-2,ForestWoodland
OR-MD-3,ForestWoodland
OR-MD-4,ForestWoodland
CO-RNF-1,Shrubland
CO-RNF-2,Wetland
CO-RNF-3,Shrubland
CO-RNF-4,Shrubland
CO-RNF-5,Wetland
WY-BB-1,Unknown
WY-BB-2,SteppeSavanna
WY-BB-3,Shrubland
WY-BB-4,Shrubland
WY-BB-5,Wetland
CA-YNP-1,ForestWoodland
CA-YNP-2,ForestWoodland
CA-YNP-3,ForestWoodland
CA-YNP-4,ForestWoodland
CA-YNP-5,Wetland
CO-HM-1,Herbaceous
CO-HM-2,Herbaceous
CO-HM-3,Herbaceous
CO-HM-4,Herbaceous
CO-HM-5,Herbaceous
MO-CSP-1,ForestWoodland
MO-CSP-2,Herbaceous
MO-CSP-3,ForestWoodland
MO-CSP-4,Herbaceous
MO-CSP-5,Herbaceous
OR-SN-1,ForestWoodland
OR-SN-2,ForestWoodland
OR-SN-3,ForestWoodland
OR-SN-4,ForestWoodland
OR-SN-5,ForestWoodland
CA-DE-1,SteppeSavanna
CA-DE-2,Shrubland
CA-DE-3,Shrubland
CA-DE-4,Shrubland
CA-DE-5,Shrubland
NC-CNF-1,ForestWoodland
NC-CNF-2,ForestWoodland
NC-CNF-3,ForestWoodland
NC-CNF-4,ForestWoodland
NC-CNF-5,ForestWoodland
OH-WN-1,ForestWoodland
OH-WN-2,Wetland
OH-WN-3,ForestWoodland
OH-WN-4,ForestWoodland
OH-WN-5,ForestWoodland
IN-TR-1,SteppeSavanna
IN-TR-2,Herbaceous
IN-TR-3,Herbaceous
IN-TR-4,SteppeSavanna
IN-TR-5,SteppeSavanna
OH-CV-1,Wetland
OH-CV-2,ForestWoodland
OH-CV-3,Wetland
OH-CV-4,ForestWoodland
OH-CV-5,ForestWoodland
PA-AN-1,Barren
PA-AN-2,Wetland
PA-AN-3,Wetland
PA-AN-4,Wetland
PA-AN-5,Wetland
AL-OM-1,ForestWoodland
AL-OM-2,ForestWoodland
AL-OM-3,ForestWoodland
AL-OM-4,ForestWoodland
AL-OM-5,ForestWoodland
AR-BG-1,ForestWoodland
AR-BG-2,ForestWoodland
AR-BG-3,ForestWoodland
AR-BG-4,SteppeSavanna
AR-BG-5,ForestWoodland
AR-FR-1,ForestWoodland
AR-FR-2,ForestWoodland
AR-FR-3,ForestWoodland
AR-FR-4,ForestWoodland
AR-FR-5,ForestWoodland
AR-LL-1,ForestWoodland
AR-LL-2,ForestWoodland
AR-LL-3,ForestWoodland
AR-LL-4,ForestWoodland
AR-LL-5,ForestWoodland
AL-TIH-1,ForestWoodland
AL-TIH-2,ForestWoodland
AL-TIH-3,Barren
AL-TIH-4,ForestWoodland
