OTUs,Ecotype
OTU_1,Others
OTU_2,Generalists
OTU_3,Others
OTU_4,Others
OTU_5,Others
OTU_6,Others
OTU_7,Generalists
OTU_8,Others
OTU_9,Others
OTU_10,Others
OTU_11,Others
OTU_12,Others
OTU_13,Others
OTU_14,Others
OTU_15,Others
OTU_16,Others
OTU_17,Others
OTU_18,Others
OTU_19,Others
OTU_20,Others
OTU_21,Others
OTU_22,Others
OTU_23,Others
OTU_24,Others
OTU_25,Others
OTU_26,Others
OTU_27,Others
OTU_28,Others
OTU_29,Others
OTU_30,Specialists
OTU_31,Specialists
OTU_32,Others
OTU_33,Generalists
OTU_34,Others
OTU_35,Others
OTU_36,Others
OTU_37,Others
OTU_38,Others
OTU_39,Others
OTU_40,Others
OTU_41,Others
OTU_42,Others
OTU_43,Others
OTU_44,Others
OTU_45,Others
OTU_46,Others
OTU_47,Others
OTU_48,Others
OTU_49,Others
OTU_50,Generalists
OTU_51,Others
OTU_52,Others
OTU_53,Others
OTU_54,Others
OTU_55,Others
OTU_56,Others
OTU_57,Others
OTU_58,Others
OTU_59,Others
OTU_60,Others
OTU_61,Others
OTU_62,Others
OTU_63,Others
OTU_64,Others
OTU_65,Others
OTU_66,Others
OTU_67,Others
OTU_68,Others
OTU_69,Others
OTU_70,Others
OTU_71,Others
OTU_72,Others
OTU_73,Others
OTU_74,Others
OTU_75,Others
OTU_76,Others
OTU_77,Others
OTU_78,Others
OTU_79,Others
OTU_80,Others
OTU_81,Others
OTU_82,Others
OTU_83,Others
OTU_84,Others
OTU_85,Others
OTU_86,Others
OTU_87,Others
OTU_88,Others
OTU_89,Others
OTU_90,Others
OTU_91,Others
OTU_92,Others
OTU_93,Others
OTU_94,Others
OTU_95,Others
OTU_96,Others
OTU_97,Specialists
OTU_98,Others
OTU_99,Specialists
OTU_100,Others
OTU_101,Others
OTU_102,Others
OTU_103,Others
OTU_104,Others
OTU_105,Others
OTU_106,Others
OTU_107,Others
OTU_108,Others
OTU_109,Others
OTU_110,Others
OTU_111,Others
OTU_112,Others
OTU_113,Others
OTU_114,Others
OTU_115,Others
OTU_116,Others
OTU_117,Specialists
OTU_118,Others
OTU_119,Others
OTU_120,Others
OTU_121,Others
OTU_122,Others
OTU_123,Others
OTU_124,Specialists
OTU_125,Others
OTU_126,Others
OTU_127,Others
OTU_128,Others
OTU_129,Specialists
OTU_130,Others
OTU_131,Others
OTU_132,Others
OTU_133,Specialists
OTU_134,Others
OTU_135,Others
OTU_136,Others
OTU_137,Others
OTU_138,Others
OTU_139,Others
OTU_140,Others
OTU_141,Others
OTU_142,Others
OTU_143,Others
OTU_144,Others
OTU_145,Others
OTU_146,Others
OTU_147,Others
OTU_148,Others
OTU_149,Others
OTU_150,Specialists
OTU_151,Others
OTU_152,Others
OTU_153,Others
OTU_154,Others
OTU_155,Specialists
OTU_156,Others
OTU_157,Specialists
OTU_158,Specialists
OTU_159,Others
OTU_160,Generalists
OTU_161,Others
OTU_162,Others
OTU_163,Others
OTU_164,Others
OTU_165,Others
OTU_166,Others
OTU_167,Others
OTU_168,Others
OTU_169,Others
OTU_170,Others
OTU_171,Generalists
OTU_172,Others
OTU_173,Others
OTU_174,Others
OTU_175,Others
OTU_176,Specialists
OTU_177,Others
OTU_178,Others
OTU_179,Others
OTU_180,Others
OTU_181,Others
OTU_182,Others
OTU_183,Generalists
OTU_184,Generalists
OTU_185,Others
OTU_186,Others
OTU_187,Others
OTU_188,Others
OTU_189,Others
OTU_190,Others
OTU_191,Others
OTU_192,Others
OTU_193,Others
OTU_194,Others
OTU_195,Others
OTU_196,Others
OTU_197,Others
OTU_198,Others
OTU_199,Others
OTU_200,Others
OTU_201,Others
OTU_202,Others
OTU_203,Others
OTU_204,Generalists
OTU_205,Others
OTU_206,Others
OTU_207,Others
OTU_208,Others
OTU_209,Others
OTU_210,Others
OTU_211,Others
OTU_212,Others
OTU_213,Specialists
OTU_214,Others
OTU_215,Others
OTU_216,Others
OTU_217,Others
OTU_218,Specialists
OTU_219,Others
OTU_220,Others
OTU_221,Others
OTU_222,Others
OTU_223,Others
OTU_224,Others
OTU_225,Others
OTU_226,Specialists
OTU_227,Others
OTU_228,Others
OTU_229,Others
OTU_230,Others
OTU_231,Others
OTU_232,Others
OTU_233,Others
OTU_234,Others
OTU_235,Others
OTU_236,Others
OTU_237,Others
OTU_238,Others
OTU_239,Others
OTU_240,Others
OTU_241,Others
OTU_242,Others
OTU_243,Others
OTU_244,Others
OTU_245,Others
OTU_246,Others
OTU_247,Others
OTU_248,Others
OTU_249,Others
OTU_250,Others
OTU_251,Others
OTU_252,Others
OTU_253,Specialists
OTU_254,Generalists
OTU_255,Generalists
OTU_256,Others
OTU_257,Others
OTU_258,Others
OTU_259,Generalists
OTU_260,Others
OTU_261,Others
OTU_262,Others
OTU_263,Others
OTU_264,Others
OTU_265,Others
OTU_266,Specialists
OTU_267,Others
OTU_268,Others
OTU_269,Others
OTU_270,Others
OTU_271,Others
OTU_272,Generalists
OTU_273,Others
OTU_274,Others
OTU_275,Others
OTU_276,Others
OTU_277,Others
OTU_278,Others
OTU_279,Others
OTU_280,Others
OTU_281,Others
OTU_282,Others
OTU_283,Others
OTU_284,Generalists
OTU_285,Others
OTU_286,Others
OTU_287,Others
OTU_288,Others
OTU_289,Others
OTU_290,Others
OTU_291,Others
OTU_292,Others
OTU_293,Others
OTU_294,Others
OTU_295,Others
OTU_296,Others
OTU_297,Others
OTU_298,Others
OTU_299,Others
OTU_300,Generalists
OTU_301,Others
OTU_302,Others
OTU_303,Others
OTU_304,Others
OTU_305,Others
OTU_306,Others
OTU_307,Others
OTU_308,Others
OTU_309,Others
OTU_310,Others
OTU_311,Others
OTU_312,Others
OTU_313,Others
OTU_314,Others
OTU_315,Others
OTU_316,Others
OTU_317,Others
OTU_318,Others
OTU_319,Others
OTU_320,Others
OTU_321,Others
OTU_322,Others
OTU_323,Others
OTU_324,Others
OTU_325,Others
OTU_326,Others
OTU_327,Others
OTU_328,Others
OTU_329,Others
OTU_330,Others
OTU_331,Others
OTU_332,Others
OTU_333,Others
OTU_334,Others
OTU_335,Others
OTU_336,Others
OTU_337,Others
OTU_338,Others
OTU_339,Others
OTU_340,Generalists
OTU_341,Others
OTU_342,Generalists
OTU_343,Others
OTU_344,Others
OTU_345,Others
OTU_346,Others
OTU_347,Others
OTU_348,Others
OTU_349,Others
OTU_350,Others
OTU_351,Others
OTU_352,Others
OTU_353,Others
OTU_354,Others
OTU_355,Others
OTU_356,Others
OTU_357,Others
OTU_358,Others
OTU_359,Others
OTU_360,Others
OTU_361,Others
OTU_362,Others
OTU_363,Others
OTU_364,Generalists
OTU_365,Others
OTU_366,Others
OTU_367,Others
OTU_368,Others
OTU_369,Others
OTU_370,Others
OTU_371,Others
OTU_372,Specialists
OTU_373,Others
OTU_374,Others
OTU_375,Others
OTU_376,Others
OTU_377,Others
OTU_378,Others
OTU_379,Others
OTU_380,Others
OTU_381,Generalists
OTU_382,Others
OTU_383,Others
OTU_384,Others
OTU_385,Others
OTU_386,Others
OTU_387,Others
OTU_388,Others
OTU_389,Others
OTU_390,Generalists
OTU_391,Others
OTU_392,Others
OTU_393,Others
OTU_394,Generalists
OTU_395,Others
OTU_396,Others
OTU_397,Others
OTU_398,Others
OTU_399,Others
OTU_400,Others
OTU_401,Others
OTU_402,Others
OTU_403,Others
OTU_404,Others
OTU_405,Others
OTU_406,Others
OTU_407,Others
OTU_408,Others
OTU_409,Others
OTU_410,Others
OTU_411,Others
OTU_412,Others
OTU_413,Others
OTU_414,Others
OTU_415,Others
OTU_416,Others
OTU_417,Others
OTU_418,Generalists
OTU_419,Others
OTU_420,Specialists
OTU_421,Others
OTU_422,Others
OTU_423,Others
OTU_424,Generalists
OTU_425,Others
OTU_426,Others
OTU_427,Others
OTU_428,Others
OTU_429,Others
OTU_430,Others
OTU_431,Generalists
OTU_432,Others
OTU_433,Others
OTU_434,Others
OTU_435,Others
OTU_436,Others
OTU_437,Others
OTU_438,Others
OTU_439,Others
OTU_440,Others
OTU_441,Others
OTU_442,Others
OTU_443,Others
OTU_444,Others
OTU_445,Others
