NTI_abun,Sample ID
2.381703667,AL-BN-1
1.876973834,AL-BN-2
2.005349744,AL-BN-3
1.833312488,AL-BN-4
3.046080867,AL-CSP-3
3.060371988,AL-CSP-4
1.252643398,AL-CSP-5
2.71856673,AL-OM-1
2.128007496,AL-OM-2
2.330891961,AL-OM-3
1.898194389,AL-OM-4
1.419339165,AL-OM-5
2.049580839,AL-TIH-1
1.628294868,AL-TIH-2
2.59852561,AL-TIH-3
2.451509137,AL-TIH-4
2.798151979,AL-TIH-5
0.783678051,AL-TN-1
2.138902447,AL-TN-2
1.093377593,AL-TN-3
1.194593791,AL-TN-4
2.309630525,AL-TN-5
2.070587635,AR-BG-2
2.122142191,AR-BG-3
2.398902554,AR-BG-4
2.536273843,AR-BG-5
1.481251349,AR-FR-1
1.329854757,AR-FR-2
1.465603774,AR-FR-3
1.709325379,AR-FR-4
1.998442304,AR-FR-5
2.81658634,AR-LL-1
2.254073547,AR-LL-2
2.762336844,AR-LL-3
1.892570923,AR-LL-4
1.636335467,AR-LL-5
1.957263857,AZ-IF-2
1.752808882,AZ-IF-3
1.17631373,AZ-IF-4
0.834085106,AZ-PN-5
1.380642907,AZ-SD-4
1.626522607,AZ-SM-1
1.514031507,AZ-SM-3
2.603699597,AZ-TN-5
1.706346149,CA-AN-1
1.493909088,CA-AN-2
1.24198106,CA-AN-5
2.306772839,CA-BS-2
1.774498332,CA-BS-5
1.692963089,CA-DE-1
0.591755792,CA-DE-5
1.360548446,CA-JT-3
1.045137283,CA-LP-2
3.599396092,CA-LP-3
2.100290853,CA-MO-5
2.679628661,CA-MT-3
1.476620394,CA-NM-2
1.660767304,CA-NM-3
1.468583742,CA-NM-4
1.964862026,CA-PN-1
2.701135243,CA-SN-2
2.318490647,CA-SN-3
2.29110522,CA-SNP-5
2.352963071,CA-SR-2
0.946678414,CA-WM-4
2.185703036,CA-YN-1
2.382261257,CA-YNP-2
-0.335665749,CA-YNP-3
1.403033,CA-YNP-4
1.492527447,CO-BL-1
1.555958934,CO-BL-2
0.816424583,CO-CS-1
0.82970421,CO-HM-1
1.056586393,CO-HM-2
-1.798067392,CO-HM-4
-0.118661009,CO-HM-5
-0.010748207,CO-LP-1
-0.141844829,CO-LP-3
0.640572764,CO-LS-1
0.58550611,CO-LS-3
-0.937968972,CO-MV-1
-1.122962512,CO-MV-3
-3.417421216,CO-MV-4
2.324342624,CO-RNF-2
1.905716895,CO-RNF-4
1.876037934,CO-SP-5
0.460790054,CO-TS-3
2.48919274,CT-UF-2
2.594418288,CT-UF-4
2.701774391,CT-UF-5
2.156592445,DE-WC-1
1.856720239,DE-WC-2
1.948002488,DE-WC-3
2.714610889,DE-WC-4
2.440311646,DE-WC-5
1.896638581,FL-BS-3
2.409707767,FL-BS-4
1.864881582,FL-BS-5
0.657132219,FL-ON-2
2.661756975,FL-ON-5
1.773857408,FL-PC-3
2.09159536,FL-PI-1
1.32457953,FL-PI-2
2.789732963,FL-WP-3
2.413272206,FL-WP-4
0.617391156,FL-WP-5
2.81121139,GA-CNF-1
2.161652607,GA-CNF-2
1.133906466,GA-CNF-3
2.68535189,GA-CNF-4
2.274807407,GA-CNF-5
1.77712606,GA-RT-1
2.44660804,GA-RT-2
1.866626683,GA-RT-3
2.882455305,GA-RT-4
1.596237505,GA-RT-5
2.926745405,GA-SC-2
2.472269704,GA-SC-3
2.886190932,GA-SC-4
3.176335819,GA-SC-5
2.208323053,GA-SCN-1
1.470377121,GA-SCN-2
1.925110375,GA-SCN-3
1.581764699,GA-SCN-4
1.057029095,GA-SCN-5
1.503015077,IA-BC-1
2.029597727,IA-BC-2
0.898155883,IA-BC-3
1.660072926,IA-BC-4
1.419621726,IA-BC-5
1.548233309,IA-CB-1
1.302859228,IA-CB-2
1.80206705,IA-CB-3
1.343402215,IA-CB-4
1.456490022,IA-CB-5
1.7480418,IA-CS-2
1.794771863,IA-CS-3
1.272745977,IA-CS-4
1.115949375,IA-CS-5
1.580323707,IA-RR-1
1.816539158,IA-RR-2
2.184957795,IA-RR-3
0.812256783,IA-RR-4
1.380234352,IA-RR-5
0.77520942,ID-BD-4
2.408648023,ID-BN-3
1.939442132,ID-BN-5
1.268504983,ID-MN-1
0.166580414,ID-MN-2
0.036637205,ID-MN-3
0.400409995,ID-MN-4
0.205872269,ID-MN-5
1.195866985,ID-SFP-3
2.192387569,ID-SJ-2
2.317444185,ID-SJ-4
1.933135878,ID-SJ-5
1.182766505,IL-CL-1
1.755845234,IL-CL-2
1.603424351,IL-CL-3
1.745910449,IL-CL-4
1.829339432,IL-CL-5
1.531028259,IL-KS-1
1.473938834,IL-KS-2
1.114750552,IL-KS-3
1.09813917,IL-KS-4
1.490286774,IL-KS-5
1.400665413,IL-LW-1
1.753703681,IL-LW-2
1.723479742,IL-LW-3
1.186841346,IL-LW-4
1.18113718,IL-LW-5
0.793141361,IL-PM-1
1.345025604,IL-PM-2
1.019277294,IL-PM-3
1.428545117,IL-PM-4
0.713500985,IL-PM-5
1.297220331,IN-EC-1
1.533291433,IN-EC-2
1.75828381,IN-EC-3
1.824906702,IN-EC-5
1.810867877,IN-RH-1
1.772486145,IN-RH-2
1.827731534,IN-RH-3
2.048052635,IN-RH-4
1.602440443,IN-RH-5
1.540685785,IN-SS-1
1.601811968,IN-SS-2
1.276408643,IN-SS-3
0.829874023,IN-SS-4
1.576708866,IN-SS-5
1.600633223,IN-TR-1
2.97146058,IN-TR-2
1.620047688,IN-TR-3
1.734229205,IN-TR-4
2.090471517,IN-TR-5
1.452830271,IN-WM-1
1.672104633,IN-WM-2
1.524997379,IN-WM-3
1.090805002,IN-WM-4
1.173368938,IN-WM-5
1.774720524,KS-MS-2
2.071632981,KS-MS-5
2.008007221,KY-RR-1
2.157715341,KY-RR-2
2.709755422,KY-RR-3
2.941413378,KY-RR-4
2.458728441,KY-RR-5
0.752601675,LA-AN-1
1.678042263,LA-AN-2
1.628880852,LA-AN-3
0.923501444,LA-AN-4
1.299767865,LA-AN-5
2.194314546,LA-HN-1
2.05105863,LA-HN-2
2.569977751,LA-HN-3
2.788078443,LA-HN-4
2.36089147,LA-HN-5
0.771117109,LA-JW-1
2.076267399,LA-LO-1
0.547503565,LA-LO-2
0.353572155,LA-LO-3
1.583605148,LA-LO-4
1.087126902,LA-LO-5
2.504921575,LA-TH-1
1.753673525,LA-TH-2
2.144086024,LA-TH-4
1.944496176,LA-TH-5
2.346547752,MA-BW-1
3.13374501,MA-BW-2
1.809851047,MA-BW-3
2.211887096,MA-BW-4
2.640208038,MD-AEC-1
0.457046016,MD-AEC-4
1.608717432,MD-AEC-5
1.416468111,MD-AEC-6
2.312220996,MD-AEC-7
2.983978321,MD-SERC-1
2.474924373,MD-SERC-2
2.300932153,MD-SERC-3
2.581817671,MD-SERC-4
2.823341671,MD-SERC-5
1.993486351,ME-BC-2
1.068455006,ME-CB-1
1.172595423,ME-CB-2
1.977605137,ME-CB-3
2.330611475,ME-CB-5
1.290360536,ME-PF-1
2.436701534,ME-PF-2
1.585664946,ME-SM-1
1.478876137,ME-SM-2
2.310422594,ME-SM-5
2.53086512,ME-WN-2
1.997522004,ME-WN-5
2.647338059,MI-CN-1
2.507978772,MI-CN-5
2.340591618,MI-HN-2
2.725542918,MI-HN-4
2.606561855,MI-HN-5
1.958859166,MI-MS-1
2.403203111,MI-MS-2
2.095349948,MI-MS-3
2.271243848,MI-MS-4
2.003450534,MI-MS-5
1.562859166,MI-MSP-4
2.170666689,MI-PR-1
1.872547187,MI-PR-2
2.429792695,MI-PR-3
1.860479199,MI-PR-4
2.483812306,MI-PR-5
1.392269462,MN-BE-1
1.66668655,MN-BE-2
0.565769954,MN-BE-3
2.309081843,MN-BE-4
2.56757492,MN-BR-1
0.834615089,MN-BR-2
2.277991632,MN-BR-3
2.419976443,MN-BR-4
1.313454287,MN-BR-5
1.93466218,MN-CF-1
1.032396262,MN-CF-2
1.158041197,MN-CF-3
2.05050279,MN-FD-2
2.675652415,MN-FL-4
1.947838341,MN-LH-1
2.518942183,MN-LH-2
2.04314747,MN-LH-3
1.596460586,MN-LH-4
1.881687636,MN-LH-5
1.196904294,MN-LR-1
2.145084266,MN-LR-2
1.342554314,MN-LR-4
2.152023761,MN-LR-5
1.173015494,MN-MH-1
0.953551355,MN-MH-2
2.117762591,MN-MH-3
1.476960076,MN-MH-4
1.856958357,MN-MH-5
1.854309549,MN-MS-1
1.258549052,MN-MS-2
2.02324685,MN-MS-3
1.71054673,MN-MS-4
2.372570527,MN-MS-5
1.909426453,MN-RR-1
1.802347248,MN-RR-2
1.500796016,MN-RR-3
1.723169346,MN-SD-2
2.025672212,MN-SD-5
2.004745271,MN-WS-3
0.218852529,MO-CSP-1
