NTI_all,Sample ID
3.9116358,AL-BN-1
4.385867172,AL-BN-2
4.536679301,AL-BN-3
4.934084694,AL-BN-4
4.170433809,AL-CSP-3
4.185771357,AL-CSP-4
2.218122533,AL-CSP-5
4.44502902,AL-OM-1
3.306460378,AL-OM-2
4.033173145,AL-OM-3
4.061140885,AL-OM-4
3.747107888,AL-OM-5
4.984054613,AL-TIH-1
3.847820858,AL-TIH-2
3.856526708,AL-TIH-3
4.308392643,AL-TIH-4
3.707876149,AL-TIH-5
4.520217808,AL-TN-1
4.80361835,AL-TN-2
4.726531843,AL-TN-3
5.047388909,AL-TN-4
4.347485564,AL-TN-5
4.5817009,AR-BG-2
4.582130641,AR-BG-3
5.240214613,AR-BG-4
5.178963961,AR-BG-5
4.138115362,AR-FR-1
3.907422119,AR-FR-2
4.357981473,AR-FR-3
3.987467131,AR-FR-4
3.577207711,AR-FR-5
4.155985382,AR-LL-1
3.812292822,AR-LL-2
4.537318624,AR-LL-3
3.462044267,AR-LL-4
3.880788313,AR-LL-5
4.002313377,AZ-IF-2
4.324924787,AZ-IF-3
3.09354723,AZ-IF-4
4.542105112,AZ-PN-5
3.685689922,AZ-SD-4
3.993841011,AZ-SM-1
4.058275321,AZ-SM-3
5.775006131,AZ-TN-5
3.673785389,CA-AN-1
2.931766937,CA-AN-2
2.884051651,CA-AN-5
4.790330654,CA-BS-2
4.305193341,CA-BS-5
2.320533525,CA-DE-1
4.511146861,CA-DE-5
3.238173677,CA-JT-3
5.085673707,CA-LP-2
5.549121861,CA-LP-3
3.770456423,CA-MO-5
5.846570743,CA-MT-3
3.644540935,CA-NM-2
4.013560028,CA-NM-3
3.048251278,CA-NM-4
3.595428267,CA-PN-1
4.613562968,CA-SN-2
4.014450407,CA-SN-3
4.786796746,CA-SNP-5
4.864896138,CA-SR-2
3.928259743,CA-WM-4
3.554565314,CA-YN-1
5.04017875,CA-YNP-2
1.210399695,CA-YNP-3
3.914790382,CA-YNP-4
5.532308115,CO-BL-1
5.413952573,CO-BL-2
6.005118397,CO-CS-1
4.747792042,CO-HM-1
4.659244926,CO-HM-2
1.100829666,CO-HM-4
4.402760652,CO-HM-5
4.398730275,CO-LP-1
4.603269981,CO-LP-3
5.308586435,CO-LS-1
4.415782441,CO-LS-3
4.310992725,CO-MV-1
4.543517212,CO-MV-3
0.726692172,CO-MV-4
4.737980687,CO-RNF-2
4.66366128,CO-RNF-4
5.282461159,CO-SP-5
5.159849447,CO-TS-3
4.302217756,CT-UF-2
4.577599685,CT-UF-4
3.400613802,CT-UF-5
3.9587565,DE-WC-1
3.973974928,DE-WC-2
5.365212083,DE-WC-3
4.435581647,DE-WC-4
4.569860148,DE-WC-5
4.628409108,FL-BS-3
5.42209127,FL-BS-4
4.488481367,FL-BS-5
5.171429891,FL-ON-2
4.654374695,FL-ON-5
4.505704531,FL-PC-3
3.848799655,FL-PI-1
4.664389788,FL-PI-2
5.199619539,FL-WP-3
4.111758043,FL-WP-4
5.630041963,FL-WP-5
4.092997219,GA-CNF-1
3.797043848,GA-CNF-2
3.59380547,GA-CNF-3
3.895611916,GA-CNF-4
4.027744106,GA-CNF-5
3.352902815,GA-RT-1
4.379031108,GA-RT-2
4.192385123,GA-RT-3
4.336798973,GA-RT-4
3.844791124,GA-RT-5
3.702159212,GA-SC-2
3.939225231,GA-SC-3
3.50435791,GA-SC-4
3.813240229,GA-SC-5
3.743169401,GA-SCN-1
3.62220897,GA-SCN-2
3.634140324,GA-SCN-3
3.856660674,GA-SCN-4
3.28206992,GA-SCN-5
4.012602118,IA-BC-1
4.838355558,IA-BC-2
3.215792855,IA-BC-3
4.238330682,IA-BC-4
4.647443248,IA-BC-5
3.722132299,IA-CB-1
2.696330098,IA-CB-2
4.451609327,IA-CB-3
4.472136841,IA-CB-4
3.615506328,IA-CB-5
3.934088268,IA-CS-2
3.792454725,IA-CS-3
3.975454982,IA-CS-4
4.596059608,IA-CS-5
3.944058559,IA-RR-1
4.545881612,IA-RR-2
4.390195929,IA-RR-3
3.775151944,IA-RR-4
4.064491072,IA-RR-5
5.027455534,ID-BD-4
4.024436474,ID-BN-3
3.277560217,ID-BN-5
4.350670867,ID-MN-1
4.84768578,ID-MN-2
3.77479861,ID-MN-3
4.203828794,ID-MN-4
5.046483413,ID-MN-5
4.130480402,ID-SFP-3
3.864339324,ID-SJ-2
4.155494592,ID-SJ-4
3.707360735,ID-SJ-5
4.284386959,IL-CL-1
4.648342869,IL-CL-2
2.844434401,IL-CL-3
4.688346013,IL-CL-4
3.724774419,IL-CL-5
3.08766496,IL-KS-1
3.227619161,IL-KS-2
4.19453054,IL-KS-3
3.036701293,IL-KS-4
4.312594172,IL-KS-5
4.639234592,IL-LW-1
3.675190078,IL-LW-2
2.920362836,IL-LW-3
3.085710917,IL-LW-4
3.907824238,IL-LW-5
4.119068253,IL-PM-1
4.800091291,IL-PM-2
4.637255516,IL-PM-3
4.751990272,IL-PM-4
4.540883368,IL-PM-5
3.266056036,IN-EC-1
3.094003225,IN-EC-2
3.202388283,IN-EC-3
3.703113432,IN-EC-5
3.536885737,IN-RH-1
4.457091515,IN-RH-2
3.258839235,IN-RH-3
3.950398422,IN-RH-4
3.709516814,IN-RH-5
3.092411414,IN-SS-1
3.348944764,IN-SS-2
3.03830601,IN-SS-3
3.258709841,IN-SS-4
3.301825855,IN-SS-5
3.592180994,IN-TR-1
4.199715943,IN-TR-2
4.629475603,IN-TR-3
3.771958861,IN-TR-4
4.484807621,IN-TR-5
4.125627137,IN-WM-1
3.63731961,IN-WM-2
4.972148238,IN-WM-3
2.716411645,IN-WM-4
2.83472721,IN-WM-5
5.008533504,KS-MS-2
3.962407795,KS-MS-5
4.013880648,KY-RR-1
2.947951922,KY-RR-2
4.084380882,KY-RR-3
3.618714281,KY-RR-4
3.856338694,KY-RR-5
3.591105879,LA-AN-1
5.149791418,LA-AN-2
4.211722033,LA-AN-3
4.257944745,LA-AN-4
4.360249351,LA-AN-5
3.318836526,LA-HN-1
3.712313772,LA-HN-2
4.133529377,LA-HN-3
4.35510845,LA-HN-4
4.271233131,LA-HN-5
4.93243141,LA-JW-1
4.972658131,LA-LO-1
5.104326011,LA-LO-2
2.914671582,LA-LO-3
3.886196307,LA-LO-4
4.570649357,LA-LO-5
4.423463356,LA-TH-1
4.235330384,LA-TH-2
4.378896877,LA-TH-4
4.257357915,LA-TH-5
4.422587318,MA-BW-1
4.472774949,MA-BW-2
3.710186566,MA-BW-3
3.621978041,MA-BW-4
3.860054616,MD-AEC-1
1.962414331,MD-AEC-4
3.581402237,MD-AEC-5
4.206953763,MD-AEC-6
4.476166051,MD-AEC-7
4.406380247,MD-SERC-1
4.021829952,MD-SERC-2
4.520286141,MD-SERC-3
4.860958598,MD-SERC-4
3.967885033,MD-SERC-5
3.623294073,ME-BC-2
