NTI_gen,Sample ID
0,AL-BN-1
0.678096784,AL-BN-2
0,AL-BN-3
0.896500685,AL-BN-4
0,AL-CSP-3
0,AL-CSP-4
0,AL-CSP-5
0,AL-OM-1
0,AL-OM-2
0,AL-OM-3
0,AL-OM-4
0,AL-OM-5
0,AL-TIH-1
-0.210671571,AL-TIH-2
-0.988240383,AL-TIH-3
0,AL-TIH-4
0,AL-TIH-5
0,AL-TN-1
0.922686366,AL-TN-2
1.100656829,AL-TN-3
0.45842352,AL-TN-4
0.138587069,AL-TN-5
0,AR-BG-2
0.537566068,AR-BG-3
0.53308498,AR-BG-4
-0.64241674,AR-BG-5
0.070162141,AR-FR-1
0.230558898,AR-FR-2
0.289961295,AR-FR-3
0,AR-FR-4
0.107110949,AR-FR-5
0,AR-LL-1
0,AR-LL-2
0.577797466,AR-LL-3
0.853899348,AR-LL-4
0.633548116,AR-LL-5
0,AZ-IF-2
0,AZ-IF-3
0,AZ-IF-4
0.759588982,AZ-PN-5
0,AZ-SD-4
0.737216522,AZ-SM-1
0.363995516,AZ-SM-3
0,AZ-TN-5
0.2385511,CA-AN-1
-0.485093233,CA-AN-2
-0.046473633,CA-AN-5
1.086665699,CA-BS-2
0.809581687,CA-BS-5
0,CA-DE-1
1.387231428,CA-DE-5
0,CA-JT-3
1.266221303,CA-LP-2
0,CA-LP-3
-0.112490922,CA-MO-5
-0.57489648,CA-MT-3
0.326137789,CA-NM-2
0,CA-NM-3
0.237411996,CA-NM-4
-2.675792537,CA-PN-1
-2.262095089,CA-SN-2
-1.300942784,CA-SN-3
-0.43270252,CA-SNP-5
0,CA-SR-2
0,CA-WM-4
-1.46028004,CA-YN-1
-0.075874336,CA-YNP-2
0.039600962,CA-YNP-3
-0.72841463,CA-YNP-4
0,CO-BL-1
0,CO-BL-2
0,CO-CS-1
0,CO-HM-1
-0.521304158,CO-HM-2
-0.223464213,CO-HM-4
0,CO-HM-5
0,CO-LP-1
0,CO-LP-3
-0.146892253,CO-LS-1
0.502088373,CO-LS-3
0,CO-MV-1
0,CO-MV-3
0,CO-MV-4
-0.492972069,CO-RNF-2
0,CO-RNF-4
0,CO-SP-5
0,CO-TS-3
-0.62727579,CT-UF-2
0,CT-UF-4
1.175935926,CT-UF-5
-2.792298395,DE-WC-1
1.613462591,DE-WC-2
0.579926679,DE-WC-3
0.497182866,DE-WC-4
0.438829897,DE-WC-5
0,FL-BS-3
0,FL-BS-4
0,FL-BS-5
0.125448132,FL-ON-2
0.305830588,FL-ON-5
0.907540647,FL-PC-3
-3.912755354,FL-PI-1
-0.350811299,FL-PI-2
0,FL-WP-3
-0.118457485,FL-WP-4
0.805286608,FL-WP-5
0,GA-CNF-1
0.076661113,GA-CNF-2
0,GA-CNF-3
0,GA-CNF-4
0,GA-CNF-5
1.12103659,GA-RT-1
-0.804073332,GA-RT-2
0.895668235,GA-RT-3
0,GA-RT-4
-0.311850681,GA-RT-5
-0.54902562,GA-SC-2
0,GA-SC-3
0,GA-SC-4
0.37995784,GA-SC-5
0,GA-SCN-1
0.452005436,GA-SCN-2
0,GA-SCN-3
1.292712556,GA-SCN-4
0,GA-SCN-5
0,IA-BC-1
0,IA-BC-2
0,IA-BC-3
0.422808981,IA-BC-4
0,IA-BC-5
0.082467399,IA-CB-1
0,IA-CB-2
0.522599341,IA-CB-3
-0.066331882,IA-CB-4
0,IA-CB-5
0,IA-CS-2
0,IA-CS-3
0.47348094,IA-CS-4
0.682204493,IA-CS-5
0.534118127,IA-RR-1
0.230980283,IA-RR-2
1.023974308,IA-RR-3
-0.118474745,IA-RR-4
0.782253572,IA-RR-5
0.431964584,ID-BD-4
0.384577932,ID-BN-3
0,ID-BN-5
-1.071947184,ID-MN-1
-0.343804164,ID-MN-2
0,ID-MN-3
-0.196218277,ID-MN-4
0,ID-MN-5
0.126151291,ID-SFP-3
0.370266209,ID-SJ-2
-1.728772778,ID-SJ-4
1.051108943,ID-SJ-5
-0.465274281,IL-CL-1
-1.022565511,IL-CL-2
0.007312508,IL-CL-3
0.563639024,IL-CL-4
0.194432411,IL-CL-5
-0.068696118,IL-KS-1
0,IL-KS-2
0.455551826,IL-KS-3
0,IL-KS-4
0.566648355,IL-KS-5
0.743283123,IL-LW-1
-0.241428567,IL-LW-2
0,IL-LW-3
0,IL-LW-4
0.382405109,IL-LW-5
0,IL-PM-1
0,IL-PM-2
0.70813432,IL-PM-3
0,IL-PM-4
0.020765319,IL-PM-5
0,IN-EC-1
0,IN-EC-2
-0.764628824,IN-EC-3
0.452647534,IN-EC-5
-0.395309892,IN-RH-1
0,IN-RH-2
-0.847620798,IN-RH-3
-0.963906815,IN-RH-4
0.874201402,IN-RH-5
0,IN-SS-1
-0.526587391,IN-SS-2
-0.030426589,IN-SS-3
0.255564674,IN-SS-4
0,IN-SS-5
0.012479967,IN-TR-1
-4.202621647,IN-TR-2
1.210987489,IN-TR-3
-1.392065132,IN-TR-4
-0.023978826,IN-TR-5
0.686707606,IN-WM-1
0.046924355,IN-WM-2
0.403883913,IN-WM-3
0,IN-WM-4
-0.296221418,IN-WM-5
0.854764545,KS-MS-2
-0.322582356,KS-MS-5
0,KY-RR-1
-0.662440295,KY-RR-2
0,KY-RR-3
0,KY-RR-4
-3.46188361,KY-RR-5
0.208866724,LA-AN-1
1.420922822,LA-AN-2
0.715279654,LA-AN-3
-0.154186736,LA-AN-4
0.446353136,LA-AN-5
0,LA-HN-1
0.831810228,LA-HN-2
0,LA-HN-3
0,LA-HN-4
0.531460637,LA-HN-5
0.566737975,LA-JW-1
0.198030782,LA-LO-1
0.142816737,LA-LO-2
0.285663687,LA-LO-3
-0.822862414,LA-LO-4
-0.752073098,LA-LO-5
0,LA-TH-1
0.476375943,LA-TH-2
0.262930235,LA-TH-4
0,LA-TH-5
0.610708385,MA-BW-1
0,MA-BW-2
0,MA-BW-3
0,MA-BW-4
0,MD-AEC-1
0,MD-AEC-4
0,MD-AEC-5
0,MD-AEC-6
-0.321436588,MD-AEC-7
-0.419955425,MD-SERC-1
0.254821873,MD-SERC-2
0,MD-SERC-3
0,MD-SERC-4
0,MD-SERC-5
0,ME-BC-2
0.463012383,ME-CB-1
0,ME-CB-2
0,ME-CB-3
0,ME-CB-5
-6.153786094,ME-PF-1
0,ME-PF-2
0,ME-SM-1
0,ME-SM-2
-3.82338947,ME-SM-5
0.163358408,ME-WN-2
-0.144504021,ME-WN-5
-0.830292564,MI-CN-1
1.110057855,MI-CN-5
0,MI-HN-2
0,MI-HN-4
0,MI-HN-5
0,MI-MS-1
0.212010385,MI-MS-2
0.461277818,MI-MS-3
0.262576607,MI-MS-4
0,MI-MS-5
-3.464331911,MI-MSP-4
-0.63890466,MI-PR-1
0.382489934,MI-PR-2
0,MI-PR-3
0,MI-PR-4
0,MI-PR-5
0,MN-BE-1
0.254747359,MN-BE-2
0.478382148,MN-BE-3
0.134011981,MN-BE-4
0.993748497,MN-BR-1
0.375070624,MN-BR-2
0.647613472,MN-BR-3
-0.684777909,MN-BR-4
0,MN-BR-5
0.40553248,MN-CF-1
0,MN-CF-2
-0.019447483,MN-CF-3
0,MN-FD-2
0.491463119,MN-FL-4
0,MN-LH-1
0,MN-LH-2
0.440734863,MN-LH-3
0.175823004,MN-LH-4
0,MN-LH-5
0,MN-LR-1
1.250398581,MN-LR-2
0,MN-LR-4
0.828348114,MN-LR-5
-4.264206387,MN-MH-1
-1.457425372,MN-MH-2
0.401909094,MN-MH-3
0.694121193,MN-MH-4
0.147694078,MN-MH-5
0,MN-MS-1
0,MN-MS-2
1.153516878,MN-MS-3
0.490831602,MN-MS-4
0.341927198,MN-MS-5
0,MN-RR-1
0,MN-RR-2
0.547668915,MN-RR-3
0,MN-SD-2
0.377464218,MN-SD-5
0.486074607,MN-WS-3
0.40678605,MO-CSP-1
0,MO-CSP-3
