NTI_rare,Sample ID
0.33611742,AL-BN-1
0.462695973,AL-BN-2
0.046339343,AL-BN-3
0.550462014,AL-BN-4
-2.643622541,AL-CSP-3
-0.899514452,AL-CSP-4
0.951136056,AL-CSP-5
0.658054807,AL-OM-1
0,AL-OM-2
0,AL-OM-3
-2.459145473,AL-OM-4
0.404584782,AL-OM-5
-3.502080648,AL-TIH-1
1.098057349,AL-TIH-2
0.291026493,AL-TIH-3
0.293314379,AL-TIH-4
1.046365704,AL-TIH-5
2.501648036,AL-TN-1
1.278194084,AL-TN-2
0.493436611,AL-TN-3
-0.346003637,AL-TN-4
-1.255262716,AL-TN-5
1.654619639,AR-BG-2
-0.241556427,AR-BG-3
-0.361147936,AR-BG-4
-0.856951011,AR-BG-5
0.14856068,AR-FR-1
-0.296773598,AR-FR-2
0.530222919,AR-FR-3
0.19507972,AR-FR-4
0.30003012,AR-FR-5
0.931069872,AR-LL-1
0.081777452,AR-LL-2
-1.042977854,AR-LL-3
0.852421346,AR-LL-4
0.599160111,AR-LL-5
-0.318589569,AZ-IF-2
-0.288603166,AZ-IF-3
-0.0813757,AZ-IF-4
0.976548518,AZ-PN-5
1.137604987,AZ-SD-4
0.372233011,AZ-SM-1
0.077688445,AZ-SM-3
-0.596601133,AZ-TN-5
1.2508846,CA-AN-1
0.603026503,CA-AN-2
0.038715138,CA-AN-5
0.232265249,CA-BS-2
-0.11101059,CA-BS-5
0,CA-DE-1
0.46554381,CA-DE-5
1.31997392,CA-JT-3
0.939025565,CA-LP-2
1.783526229,CA-LP-3
0.218995529,CA-MO-5
0.237008092,CA-MT-3
0.779636148,CA-NM-2
0.516019874,CA-NM-3
0.479451743,CA-NM-4
-1.942349401,CA-PN-1
-0.439798731,CA-SN-2
-1.016225617,CA-SN-3
0.556599264,CA-SNP-5
0.30865046,CA-SR-2
2.054836383,CA-WM-4
0.931689748,CA-YN-1
1.579317086,CA-YNP-2
0.069989325,CA-YNP-3
0.133363907,CA-YNP-4
2.173188709,CO-BL-1
0.64164104,CO-BL-2
0.429600231,CO-CS-1
-0.41858045,CO-HM-1
0.001750571,CO-HM-2
1.511388163,CO-HM-4
0.915786714,CO-HM-5
0.976474889,CO-LP-1
0.64974009,CO-LP-3
-0.945245088,CO-LS-1
0.846863904,CO-LS-3
0.170219147,CO-MV-1
0.56877966,CO-MV-3
1.225127881,CO-MV-4
1.113060711,CO-RNF-2
-1.70547973,CO-RNF-4
-0.367423329,CO-SP-5
0.971865008,CO-TS-3
0.633087602,CT-UF-2
-0.738230673,CT-UF-4
-1.422843457,CT-UF-5
-0.296454471,DE-WC-1
0.478573594,DE-WC-2
-1.102225217,DE-WC-3
-1.479319039,DE-WC-4
0.582262613,DE-WC-5
1.086204197,FL-BS-3
-0.308480119,FL-BS-4
-0.026448326,FL-BS-5
0.854511364,FL-ON-2
0.924648444,FL-ON-5
0.763997276,FL-PC-3
0.542927815,FL-PI-1
-1.173987519,FL-PI-2
