NTI_spe,Sample ID
1.874808648,AL-BN-1
2.231234621,AL-BN-2
2.013545296,AL-BN-3
2.185141736,AL-BN-4
2.52507552,AL-CSP-3
2.8117922,AL-CSP-4
1.212185254,AL-CSP-5
2.183967803,AL-OM-1
1.918691881,AL-OM-2
1.823820933,AL-OM-3
1.806806032,AL-OM-4
1.52091143,AL-OM-5
1.978273619,AL-TIH-1
1.482096614,AL-TIH-2
2.215126633,AL-TIH-3
2.014658452,AL-TIH-4
2.533630931,AL-TIH-5
1.233060555,AL-TN-1
2.193747526,AL-TN-2
1.395670361,AL-TN-3
2.100093468,AL-TN-4
2.194969988,AL-TN-5
2.154609224,AR-BG-2
2.161665889,AR-BG-3
2.40941096,AR-BG-4
2.377295971,AR-BG-5
1.924628517,AR-FR-1
1.477083651,AR-FR-2
1.825961195,AR-FR-3
1.681644114,AR-FR-4
1.663584428,AR-FR-5
2.140223892,AR-LL-1
1.746267062,AR-LL-2
2.3483214,AR-LL-3
1.601029535,AR-LL-4
1.816233009,AR-LL-5
1.344549496,AZ-IF-2
1.753300285,AZ-IF-3
1.4953723,AZ-IF-4
1.118440385,AZ-PN-5
1.281454732,AZ-SD-4
1.363607596,AZ-SM-1
1.504991089,AZ-SM-3
2.269248019,AZ-TN-5
1.534568214,CA-AN-1
1.438410218,CA-AN-2
1.158838511,CA-AN-5
2.395548453,CA-BS-2
1.828267704,CA-BS-5
1.074011293,CA-DE-1
0.935818968,CA-DE-5
1.181114699,CA-JT-3
1.717953462,CA-LP-2
2.956448278,CA-LP-3
1.847909523,CA-MO-5
1.902824936,CA-MT-3
1.300982447,CA-NM-2
1.512563639,CA-NM-3
1.138588653,CA-NM-4
1.645522689,CA-PN-1
2.279765008,CA-SN-2
2.012730942,CA-SN-3
2.149303815,CA-SNP-5
1.89133661,CA-SR-2
-0.478050564,CA-WM-4
1.779660126,CA-YN-1
2.141994832,CA-YNP-2
0.04438205,CA-YNP-3
1.435334824,CA-YNP-4
2.102318701,CO-BL-1
1.518908764,CO-BL-2
1.505864174,CO-CS-1
1.501769464,CO-HM-1
1.342656566,CO-HM-2
-2.422876949,CO-HM-4
0.587278872,CO-HM-5
0.54812767,CO-LP-1
-0.124053974,CO-LP-3
0.729358058,CO-LS-1
0.655827955,CO-LS-3
-0.621936808,CO-MV-1
-0.20963103,CO-MV-3
-2.324690905,CO-MV-4
1.869092035,CO-RNF-2
1.674671543,CO-RNF-4
1.621453292,CO-SP-5
0.825214875,CO-TS-3
1.882037588,CT-UF-2
2.031516835,CT-UF-4
2.211776313,CT-UF-5
2.17272029,DE-WC-1
1.670648017,DE-WC-2
1.520597235,DE-WC-3
2.373215911,DE-WC-4
2.150464167,DE-WC-5
1.921155523,FL-BS-3
1.729513016,FL-BS-4
1.899266188,FL-BS-5
1.208178772,FL-ON-2
2.229229995,FL-ON-5
1.6384763,FL-PC-3
1.653425289,FL-PI-1
1.390845708,FL-PI-2
2.210161859,FL-WP-3
1.594913264,FL-WP-4
1.249998043,FL-WP-5
2.358388756,GA-CNF-1
1.972091746,GA-CNF-2
1.334884115,GA-CNF-3
2.235208023,GA-CNF-4
1.783115419,GA-CNF-5
1.526731299,GA-RT-1
2.108498972,GA-RT-2
1.583595629,GA-RT-3
2.096090422,GA-RT-4
1.514206193,GA-RT-5
2.41915174,GA-SC-2
2.106057699,GA-SC-3
2.456327625,GA-SC-4
2.634424009,GA-SC-5
1.726027241,GA-SCN-1
1.232639912,GA-SCN-2
1.497537376,GA-SCN-3
1.415949498,GA-SCN-4
1.063562619,GA-SCN-5
1.775174838,IA-BC-1
1.799137176,IA-BC-2
0.988545248,IA-BC-3
1.713354902,IA-BC-4
1.428417853,IA-BC-5
1.522257742,IA-CB-1
1.303856465,IA-CB-2
2.139405568,IA-CB-3
1.914077829,IA-CB-4
1.490015798,IA-CB-5
1.509247737,IA-CS-2
1.838282486,IA-CS-3
1.302464202,IA-CS-4
1.685178866,IA-CS-5
1.434007878,IA-RR-1
1.927125972,IA-RR-2
1.978329963,IA-RR-3
0.933597714,IA-RR-4
1.500390126,IA-RR-5
0.785827164,ID-BD-4
2.064548391,ID-BN-3
1.719716425,ID-BN-5
1.152758831,ID-MN-1
0.147976098,ID-MN-2
-0.428162739,ID-MN-3
0.490371081,ID-MN-4
0.735298073,ID-MN-5
1.282036158,ID-SFP-3
1.764634431,ID-SJ-2
1.976663149,ID-SJ-4
1.603540333,ID-SJ-5
1.44901403,IL-CL-1
1.765948638,IL-CL-2
1.438176018,IL-CL-3
1.797649833,IL-CL-4
1.613951334,IL-CL-5
1.506097556,IL-KS-1
1.476006405,IL-KS-2
1.395380348,IL-KS-3
1.404923681,IL-KS-4
1.853182497,IL-KS-5
2.114201242,IL-LW-1
1.689018346,IL-LW-2
0.882940546,IL-LW-3
1.46945605,IL-LW-4
1.655492483,IL-LW-5
1.019917964,IL-PM-1
1.762070171,IL-PM-2
1.509987625,IL-PM-3
1.737004278,IL-PM-4
1.272068021,IL-PM-5
1.450649349,IN-EC-1
1.433854333,IN-EC-2
1.529209744,IN-EC-3
1.61201471,IN-EC-5
1.883918179,IN-RH-1
1.737045395,IN-RH-2
1.674663781,IN-RH-3
1.8606941,IN-RH-4
1.714832695,IN-RH-5
1.553264631,IN-SS-1
1.508248158,IN-SS-2
1.544301418,IN-SS-3
1.343371955,IN-SS-4
1.543009393,IN-SS-5
1.612720275,IN-TR-1
2.256491338,IN-TR-2
1.723976991,IN-TR-3
1.548266388,IN-TR-4
2.288381221,IN-TR-5
1.649922021,IN-WM-1
1.474344702,IN-WM-2
1.804523129,IN-WM-3
1.254431526,IN-WM-4
1.350230908,IN-WM-5
2.298229119,KS-MS-2
1.968837608,KS-MS-5
1.710501685,KY-RR-1
1.683835991,KY-RR-2
2.280214543,KY-RR-3
2.346544489,KY-RR-4
1.941077562,KY-RR-5
1.210465557,LA-AN-1
1.504788061,LA-AN-2
1.438789769,LA-AN-3
1.105458308,LA-AN-4
1.531630449,LA-AN-5
2.039622569,LA-HN-1
1.756140093,LA-HN-2
2.223963087,LA-HN-3
2.300122479,LA-HN-4
2.001415898,LA-HN-5
1.299385365,LA-JW-1
2.095005062,LA-LO-1
1.10771104,LA-LO-2
0.510429138,LA-LO-3
1.571432977,LA-LO-4
1.31117975,LA-LO-5
1.844618301,LA-TH-1
1.699981653,LA-TH-2
1.664811849,LA-TH-4
1.742988141,LA-TH-5
1.947285598,MA-BW-1
2.490176775,MA-BW-2
1.425492689,MA-BW-3
1.773063053,MA-BW-4
2.361387459,MD-AEC-1
0.275059735,MD-AEC-4
0.673533838,MD-AEC-5
1.456264568,MD-AEC-6
1.841460235,MD-AEC-7
2.398476741,MD-SERC-1
2.078291704,MD-SERC-2
2.016084244,MD-SERC-3
2.180947312,MD-SERC-4
2.473912753,MD-SERC-5
1.570980123,ME-BC-2
1.03124164,ME-CB-1
1.04362098,ME-CB-2
1.819476379,ME-CB-3
2.042550296,ME-CB-5
1.003470801,ME-PF-1
1.613987327,ME-PF-2
1.295141347,ME-SM-1
1.477241845,ME-SM-2
1.955730654,ME-SM-5
2.099239882,ME-WN-2
1.495398752,ME-WN-5
0.985952313,MI-CN-1
1.984183457,MI-CN-5
2.083990396,MI-HN-2
