	faith_pd
AL-BN-1	28.60303309
AL-BN-2	31.8758808935
AL-BN-3	19.449752166499998
AL-BN-4	30.573862849500003
AL-CSP-3	21.788902989999997
AL-CSP-4	18.073456973
AL-CSP-5	17.725207437
AL-OM-1	22.49236141
AL-OM-2	14.856172817000001
AL-OM-3	17.301900896
AL-OM-4	21.268560292
AL-OM-5	17.224029790499998
AL-TIH-1	29.017562814999998
AL-TIH-2	25.890358284
AL-TIH-3	25.115627751
AL-TIH-4	28.2298094405
AL-TIH-5	19.098685269
AL-TN-1	28.1968235005
AL-TN-2	32.5591207545
AL-TN-3	34.632057166500005
AL-TN-4	29.0433494825
AL-TN-5	27.307902518
AR-BG-2	25.6616011725
AR-BG-3	27.7748166465
AR-BG-4	25.8113168205
AR-BG-5	30.2740734485
AR-FR-1	28.380964659500002
AR-FR-2	32.1949539005
AR-FR-3	21.418487095499998
AR-FR-4	25.294376284499997
AR-FR-5	21.474828334499996
AR-LL-1	25.230480092500002
AR-LL-2	24.590203859
AR-LL-3	24.554526357999997
AR-LL-4	27.2457256665
AR-LL-5	27.2257985935
AZ-IF-2	19.1534360895
AZ-IF-3	19.140099995499998
AZ-IF-4	15.9263543285
AZ-PN-5	28.9447134745
AZ-SD-4	17.2908262265
AZ-SM-1	18.652171443500002
AZ-SM-3	18.8454664785
AZ-TN-5	20.349120208499997
CA-AN-1	21.3964944875
CA-AN-2	20.313263274500002
CA-AN-5	26.092967831500005
CA-BS-2	27.300692731
CA-BS-5	31.5807546935
CA-DE-1	8.8690168175
CA-DE-5	26.0783563945
CA-JT-3	21.7196898875
CA-LP-2	27.4065382425
CA-LP-3	25.37056073
CA-MO-5	21.931227384499998
CA-MT-3	21.2036020355
CA-NM-2	24.726896316
CA-NM-3	26.422743085500002
CA-NM-4	32.63091860749999
CA-PN-1	27.7562270305
CA-SN-2	28.012964580000002
CA-SN-3	30.171536887000002
CA-SNP-5	32.707226859
CA-SR-2	20.913546543499997
CA-WM-4	21.601084418
CA-YN-1	21.043778791999998
CA-YNP-2	26.576217659500003
CA-YNP-3	24.5372370125
CA-YNP-4	30.18268013
CO-BL-1	26.2901707785
CO-BL-2	23.652945551499997
CO-CS-1	29.5162267035
CO-HM-1	21.5833329935
CO-HM-2	27.124570090000002
CO-HM-4	15.431885716500002
CO-HM-5	28.8063617085
CO-LP-1	24.4854453405
CO-LP-3	24.7624296825
CO-LS-1	27.4460297175
CO-LS-3	23.6938990145
CO-MV-1	26.5562326435
CO-MV-3	26.925021549500002
CO-MV-4	11.3148185545
CO-RNF-2	27.0454153025
CO-RNF-4	27.903498577
CO-SP-5	24.8192106595
CO-TS-3	25.963913374500002
CT-UF-2	26.1793598345
CT-UF-4	24.800407962999998
CT-UF-5	17.717263598
DE-WC-1	28.845212413
DE-WC-2	33.059154974500004
DE-WC-3	26.931317002
DE-WC-4	32.4948270655
DE-WC-5	24.469041763499998
FL-BS-3	26.3910834885
FL-BS-4	20.0910740285
FL-BS-5	28.128901059500002
FL-ON-2	29.8821774015
FL-ON-5	22.448485212
FL-PC-3	25.3845259355
FL-PI-1	23.988139990500002
FL-PI-2	30.190489691499998
FL-WP-3	22.125190303
FL-WP-4	24.809837242
FL-WP-5	23.4156705455
GA-CNF-1	20.531943903
GA-CNF-2	23.9041563695
GA-CNF-3	28.442257967499998
GA-CNF-4	19.653536662999997
GA-CNF-5	22.139331681
