	observed_otus
AL-BN-1	288
AL-BN-2	344
AL-BN-3	191
AL-BN-4	313
AL-CSP-3	169
AL-CSP-4	146
AL-CSP-5	144
AL-OM-1	183
AL-OM-2	89
AL-OM-3	142
AL-OM-4	182
AL-OM-5	144
AL-TIH-1	299
AL-TIH-2	239
AL-TIH-3	264
AL-TIH-4	321
AL-TIH-5	180
AL-TN-1	308
AL-TN-2	360
AL-TN-3	415
AL-TN-4	301
AL-TN-5	254
AR-BG-2	285
AR-BG-3	301
AR-BG-4	280
AR-BG-5	346
AR-FR-1	285
AR-FR-2	342
AR-FR-3	207
AR-FR-4	248
AR-FR-5	197
AR-LL-1	245
AR-LL-2	247
AR-LL-3	235
AR-LL-4	306
AR-LL-5	292
AZ-IF-2	198
AZ-IF-3	212
AZ-IF-4	170
AZ-PN-5	341
AZ-SD-4	173
AZ-SM-1	204
AZ-SM-3	188
AZ-TN-5	208
CA-AN-1	210
CA-AN-2	204
CA-AN-5	272
CA-BS-2	307
CA-BS-5	353
CA-DE-1	60
CA-DE-5	274
CA-JT-3	210
CA-LP-2	290
CA-LP-3	279
CA-MO-5	232
CA-MT-3	238
CA-NM-2	245
CA-NM-3	271
CA-NM-4	363
CA-PN-1	278
CA-SN-2	299
CA-SN-3	327
CA-SNP-5	362
CA-SR-2	241
CA-WM-4	228
CA-YN-1	195
CA-YNP-2	314
CA-YNP-3	273
CA-YNP-4	324
CO-BL-1	298
CO-BL-2	260
CO-CS-1	326
CO-HM-1	209
CO-HM-2	279
CO-HM-4	140
CO-HM-5	303
CO-LP-1	241
CO-LP-3	254
CO-LS-1	296
CO-LS-3	264
CO-MV-1	294
CO-MV-3	273
CO-MV-4	69
CO-RNF-2	292
CO-RNF-4	288
CO-SP-5	261
CO-TS-3	282
CT-UF-2	296
CT-UF-4	253
CT-UF-5	156
DE-WC-1	281
DE-WC-2	364
DE-WC-3	287
DE-WC-4	346
DE-WC-5	244
FL-BS-3	276
FL-BS-4	207
FL-BS-5	293
FL-ON-2	327
FL-ON-5	231
FL-PC-3	279
FL-PI-1	247
FL-PI-2	332
FL-WP-3	223
FL-WP-4	250
FL-WP-5	270
GA-CNF-1	185
GA-CNF-2	219
GA-CNF-3	293
GA-CNF-4	176
GA-CNF-5	214
GA-RT-1	269
GA-RT-2	257
GA-RT-3	264
GA-RT-4	191
GA-RT-5	295
GA-SC-2	175
GA-SC-3	180
GA-SC-4	176
GA-SC-5	180
GA-SCN-1	208
GA-SCN-2	280
GA-SCN-3	286
GA-SCN-4	287
GA-SCN-5	242
IA-BC-1	282
IA-BC-2	225
IA-BC-3	220
IA-BC-4	289
IA-BC-5	189
IA-CB-1	225
IA-CB-2	96
IA-CB-3	230
IA-CB-4	286
IA-CB-5	214
IA-CS-2	234
IA-CS-3	289
IA-CS-4	299
IA-CS-5	270
IA-RR-1	255
IA-RR-2	210
IA-RR-3	288
IA-RR-4	251
IA-RR-5	242
ID-BD-4	251
ID-BN-3	336
ID-BN-5	177
ID-MN-1	207
ID-MN-2	227
ID-MN-3	226
ID-MN-4	209
ID-MN-5	208
ID-SFP-3	223
ID-SJ-2	260
ID-SJ-4	307
ID-SJ-5	239
IL-CL-1	280
IL-CL-2	342
IL-CL-3	190
IL-CL-4	260
IL-CL-5	217
IL-KS-1	295
IL-KS-2	146
IL-KS-3	228
IL-KS-4	131
IL-KS-5	295
IL-LW-1	208
IL-LW-2	262
IL-LW-3	215
IL-LW-4	239
IL-LW-5	269
IL-PM-1	204
IL-PM-2	287
IL-PM-3	282
IL-PM-4	233
IL-PM-5	232
IN-EC-1	223
IN-EC-2	245
IN-EC-3	258
IN-EC-5	312
IN-RH-1	264
IN-RH-2	205
IN-RH-3	292
IN-RH-4	287
IN-RH-5	313
IN-SS-1	220
IN-SS-2	287
IN-SS-3	290
IN-SS-4	300
IN-SS-5	268
IN-TR-1	249
IN-TR-2	178
IN-TR-3	323
IN-TR-4	253
IN-TR-5	277
IN-WM-1	306
IN-WM-2	364
IN-WM-3	400
IN-WM-4	238
IN-WM-5	307
KS-MS-2	348
KS-MS-5	206
KY-RR-1	364
KY-RR-2	285
KY-RR-3	248
KY-RR-4	256
KY-RR-5	262
LA-AN-1	152
LA-AN-2	330
LA-AN-3	264
LA-AN-4	313
LA-AN-5	253
LA-HN-1	151
LA-HN-2	299
LA-HN-3	149
LA-HN-4	275
LA-HN-5	262
LA-JW-1	328
LA-LO-1	324
LA-LO-2	322
LA-LO-3	281
LA-LO-4	201
LA-LO-5	236
LA-TH-1	262
LA-TH-2	304
LA-TH-4	288
LA-TH-5	298
MA-BW-1	234
MA-BW-2	188
MA-BW-3	156
MA-BW-4	145
MD-AEC-1	146
MD-AEC-4	133
MD-AEC-5	128
MD-AEC-6	330
MD-AEC-7	265
MD-SERC-1	222
MD-SERC-2	307
MD-SERC-3	304
MD-SERC-4	263
MD-SERC-5	170
ME-BC-2	235
ME-CB-1	134
ME-CB-2	160
ME-CB-3	132
ME-CB-5	145
