	shannon
AL-BN-1	6.974372579431224
AL-BN-2	7.491156520709184
AL-BN-3	6.881781363337832
AL-BN-4	7.583948930489239
AL-CSP-3	6.473528553139569
AL-CSP-4	6.210446399173071
AL-CSP-5	5.776128424964277
AL-OM-1	6.651021497574783
AL-OM-2	5.687812581373313
AL-OM-3	6.187539861548819
AL-OM-4	6.525135660953235
AL-OM-5	6.430339621563434
AL-TIH-1	7.42257832759151
AL-TIH-2	6.815730721933446
AL-TIH-3	6.652734882765578
AL-TIH-4	7.2779348659149505
AL-TIH-5	6.04558578754355
AL-TN-1	7.433193698962373
AL-TN-2	7.702065221151387
AL-TN-3	7.8384555742225706
AL-TN-4	7.493651831312933
AL-TN-5	7.10033558081169
AR-BG-2	7.328005528848507
AR-BG-3	7.270626666299759
AR-BG-4	7.34495165722662
AR-BG-5	7.53674122128107
AR-FR-1	7.266637775368754
AR-FR-2	7.285978092042844
AR-FR-3	6.904533229081248
AR-FR-4	6.862933922463886
AR-FR-5	6.415538802809956
AR-LL-1	6.852156711466909
AR-LL-2	6.631413873298132
AR-LL-3	6.773726601225665
AR-LL-4	6.737895536049111
AR-LL-5	7.22122306677595
AZ-IF-2	6.630203870197654
AZ-IF-3	6.71559456652085
AZ-IF-4	6.001072486836092
AZ-PN-5	7.344849430428136
AZ-SD-4	6.495875378650634
AZ-SM-1	6.464513507083666
AZ-SM-3	6.359563993482012
AZ-TN-5	6.884806145162953
CA-AN-1	6.434429715881549
CA-AN-2	5.985327201236478
CA-AN-5	6.6182517841650945
CA-BS-2	7.295313038150727
CA-BS-5	7.4675616187952745
CA-DE-1	4.637400819115649
CA-DE-5	7.142542693869231
CA-JT-3	6.293387660812444
CA-LP-2	7.239197421848961
CA-LP-3	7.33839706584379
CA-MO-5	6.616160379477816
CA-MT-3	6.924988310648513
CA-NM-2	6.711574459745783
CA-NM-3	7.025750779739647
CA-NM-4	7.242695356199385
CA-PN-1	6.87549523325852
CA-SN-2	7.336348141282699
CA-SN-3	7.201507784260183
CA-SNP-5	7.506811887803282
CA-SR-2	6.906968777612915
CA-WM-4	6.889664506452417
CA-YN-1	6.277628977970869
CA-YNP-2	7.197756214613602
CA-YNP-3	6.23733428994148
CA-YNP-4	7.1977924279371575
CO-BL-1	7.267740057164884
CO-BL-2	7.099691387930043
CO-CS-1	7.465327855323785
CO-HM-1	6.867057995546267
CO-HM-2	7.168787031886589
CO-HM-4	4.920050497893805
CO-HM-5	7.29781223224802
CO-LP-1	6.96785867704387
CO-LP-3	7.040462455003745
CO-LS-1	7.368120921225538
CO-LS-3	6.969061097720147
CO-MV-1	7.263351196284702
CO-MV-3	7.156073077000067
CO-MV-4	2.510003377139537
CO-RNF-2	7.231686956235112
CO-RNF-4	7.115873027657925
CO-SP-5	7.148323481528192
CO-TS-3	7.206645677755062
CT-UF-2	6.91927559398837
CT-UF-4	6.645587815932515
CT-UF-5	5.973476138808485
DE-WC-1	7.300784404861377
DE-WC-2	7.427180005952993
DE-WC-3	7.226639205328652
DE-WC-4	7.562625683187832
DE-WC-5	7.01900661451528
FL-BS-3	7.20720496518911
FL-BS-4	6.896491156543237
FL-BS-5	7.285850095858251
FL-ON-2	7.642710104967002
FL-ON-5	6.800112808824279
FL-PC-3	6.95808035886205
FL-PI-1	6.725750760950144
FL-PI-2	7.57915482602854
FL-WP-3	6.945319994592652
FL-WP-4	6.826712747298226
FL-WP-5	7.358240993892239
GA-CNF-1	6.248287818674021
GA-CNF-2	6.594619034775809
GA-CNF-3	7.241209036284463
GA-CNF-4	6.109534056868852
GA-CNF-5	6.487938669756009
GA-RT-1	6.879152357237913
GA-RT-2	6.979296993998574
GA-RT-3	6.888305596178832
GA-RT-4	6.366983288412446
GA-RT-5	7.2328626260768525
GA-SC-2	5.97766117715123
GA-SC-3	6.124436885775217
GA-SC-4	5.915877034728726
GA-SC-5	6.1817056569527145
GA-SCN-1	6.572090712572849
GA-SCN-2	6.93515043417885
GA-SCN-3	7.011435132738992
GA-SCN-4	6.9967018121596976
GA-SCN-5	6.768349948345085
IA-BC-1	7.259985173212497
IA-BC-2	7.040391074782507
IA-BC-3	6.6834613012217305
IA-BC-4	7.19767183027215
IA-BC-5	6.876024430082751
IA-CB-1	6.771401003077289
IA-CB-2	5.231377745229158
IA-CB-3	6.93350483943729
IA-CB-4	7.336777509208226
IA-CB-5	6.79430126094198
IA-CS-2	6.904531906255427
IA-CS-3	7.131162751492824
IA-CS-4	7.326007641008345
IA-CS-5	7.220319290902278
IA-RR-1	7.020665755308027
IA-RR-2	6.95993121927008
IA-RR-3	7.369736491228587
IA-RR-4	7.200325074766002
IA-RR-5	7.096402567774996
ID-BD-4	7.103561398356929
ID-BN-3	7.401350302296917
ID-BN-5	6.351754877627883
ID-MN-1	6.60196066153011
ID-MN-2	6.91349720390178
ID-MN-3	6.809980268261925
ID-MN-4	6.7704644383298795
ID-MN-5	6.792330529698766
ID-SFP-3	6.833739936087631
ID-SJ-2	6.622527716560313
ID-SJ-4	7.078896645516614
ID-SJ-5	6.885193770575007
IL-CL-1	7.265398313095808
IL-CL-2	7.487819003893419
IL-CL-3	6.211474229307207
IL-CL-4	7.1519892779469325
IL-CL-5	6.423257007788396
IL-KS-1	6.847659380559848
IL-KS-2	6.111118521496883
IL-KS-3	6.947620451476721
IL-KS-4	6.217203238226001
IL-KS-5	7.343850377628452
IL-LW-1	7.061779684414735
IL-LW-2	7.029990786483131
IL-LW-3	6.641125646052635
IL-LW-4	6.961931385878151
IL-LW-5	7.22697820001755
IL-PM-1	6.96305654662935
IL-PM-2	7.365332324520043
IL-PM-3	7.434801535016055
IL-PM-4	7.195058208569417
IL-PM-5	6.97679768765453
IN-EC-1	6.663513012052049
IN-EC-2	6.588055299122781
IN-EC-3	6.734313568228481
IN-EC-5	6.998761356574684
IN-RH-1	6.85243105108314
IN-RH-2	6.968269792256503
IN-RH-3	7.004293868865097
IN-RH-4	6.982470325340374
IN-RH-5	7.401116353757308
IN-SS-1	6.502108467586081
IN-SS-2	7.087624446698029
IN-SS-3	6.917308790755033
