id,degree,closeness,betweenness
2,40,3.833627e-06,1014.0
3,108,3.129048e-06,5.0
5,17,3.049009e-06,833.0
6,34,3.571068e-06,2120.0
7,31,3.750036e-06,2051.0
8,15,3.346772e-06,5377.0
17,30,3.667055e-06,2030.0
20,29,3.498718e-06,377.0
26,32,3.523896e-06,1240.0
33,16,3.166836e-06,294.0
35,46,3.814223e-06,402.0
37,51,3.782939e-06,648.0
43,19,3.570996e-06,761.0
46,5,1.063838e-06,2269.0
47,3,1.699421e-06,0.0
50,30,3.786293e-06,1299.0
51,6,9.869967e-07,91.0
53,30,3.887772e-06,2456.0
54,18,3.490693e-06,1158.0
61,19,3.534006e-06,952.0
62,35,3.675095e-06,804.0
63,31,3.499697e-06,670.0
64,16,3.042405e-06,264.0
66,25,3.502785e-06,551.0
69,4,1.337485e-06,749.0
70,27,3.691858e-06,2053.0
71,25,3.794828e-06,2829.0
75,16,3.477796e-06,578.0
78,22,3.417e-06,485.0
84,44,3.742561e-06,574.0
86,40,3.623254e-06,1355.0
89,26,3.210396e-06,780.0
90,28,3.399471e-06,748.0
92,18,3.394919e-06,132.0
94,32,3.594839e-06,359.0
95,15,2.952263e-06,1494.0
96,16,3.420779e-06,1731.0
100,28,3.699125e-06,1531.0
104,30,3.693022e-06,1500.0
105,32,3.634925e-06,1421.0
107,32,3.697964e-06,1395.0
111,31,3.871609e-06,2055.0
112,22,3.632083e-06,1450.0
114,12,2.907282e-06,660.0
115,17,3.517995e-06,1263.0
116,44,3.658628e-06,410.0
120,6,2.383693e-06,13160.0
128,28,3.55815e-06,2338.0
131,21,2.700405e-06,42.0
134,25,3.608111e-06,939.0
135,2,9.631851e-07,0.0
142,8,2.082992e-06,1089.0
149,40,3.970216e-06,2599.0
151,8,2.827403e-06,3.0
153,30,3.805394e-06,1726.0
159,38,3.852916e-06,1913.0
160,25,3.500474e-06,399.0
164,26,3.732254e-06,2686.0
165,22,3.321207e-06,778.0
166,22,3.333371e-06,445.0
167,37,3.929076e-06,2040.0
168,24,3.858881e-06,1194.0
171,62,3.979217e-06,940.0
175,31,3.618421e-06,1632.0
177,6,2.3188e-06,0.0
178,29,3.440013e-06,496.0
181,20,3.592944e-06,579.0
183,39,3.914414e-06,1198.0
184,55,3.574081e-06,187.0
187,34,3.576529e-06,1337.0
196,14,2.770505e-06,519.0
197,26,3.610499e-06,967.0
204,39,3.721835e-06,598.0
211,29,3.608284e-06,1329.0
216,34,4.054629e-06,2733.0
222,16,2.439569e-06,34.0
224,34,3.640315e-06,647.0
228,22,3.536906e-06,914.0
232,19,3.461321e-06,1772.0
236,5,9.922133e-07,1497.0
237,42,3.517477e-06,173.0
238,36,3.962084e-06,2395.0
239,18,3.534255e-06,1177.0
240,32,3.928428e-06,1367.0
243,13,2.975421e-06,1564.0
244,19,3.313216e-06,468.0
246,22,3.753013e-06,3752.0
248,28,3.785381e-06,1635.0
250,48,3.715067e-06,434.0
251,13,2.905128e-06,2351.0
254,23,3.755813e-06,1195.0
255,46,3.570577e-06,1369.0
257,18,3.43404e-06,749.0
258,13,3.316777e-06,2354.0
259,34,3.813069e-06,2407.0
262,23,3.588562e-06,759.0
272,42,3.823837e-06,1248.0
274,22,3.661101e-06,1017.0
276,36,3.689437e-06,1041.0
282,18,3.711955e-06,2594.0
284,31,3.810275e-06,1700.0
286,6,1.975733e-06,13014.0
287,12,3.347247e-06,3181.0
291,28,3.842154e-06,1985.0
294,29,3.795814e-06,1554.0
295,19,3.197173e-06,1274.0
297,18,3.508717e-06,591.0
300,45,3.708719e-06,295.0
305,25,3.654133e-06,1170.0
306,25,3.255693e-06,1051.0
309,31,3.705885e-06,1051.0
310,45,3.582325e-06,313.0
311,37,3.864675e-06,1545.0
312,30,4.054167e-06,5394.0
315,25,3.640157e-06,2474.0
316,12,3.293815e-06,2030.0
318,28,3.69915e-06,1031.0
320,27,3.795231e-06,1700.0
324,27,3.603288e-06,760.0
326,15,3.176193e-06,639.0
328,45,3.774216e-06,479.0
329,28,3.489909e-06,3708.0
330,12,2.870838e-06,1018.0
334,34,3.944984e-06,2629.0
336,7,1.917393e-06,538.0
340,29,3.892707e-06,1833.0
341,21,3.630469e-06,1817.0
342,27,3.990657e-06,2873.0
344,25,3.564395e-06,1756.0
345,25,3.678905e-06,1844.0
352,6,2.022567e-06,921.0
353,5,2.240413e-06,18.0
364,23,3.535619e-06,1258.0
366,22,3.577694e-06,1978.0
374,29,3.800574e-06,1029.0
376,67,3.479482e-06,18.0
378,24,3.541168e-06,1267.0
381,40,3.571444e-06,439.0
382,23,3.577669e-06,976.0
386,10,3.186616e-06,134.0
390,21,3.718935e-06,1939.0
394,28,3.70224e-06,1056.0
395,16,2.95477e-06,664.0
396,17,3.261237e-06,2084.0
398,30,3.577988e-06,656.0
401,23,3.313466e-06,710.0
406,31,3.632604e-06,732.0
416,35,3.655201e-06,717.0
418,22,3.532984e-06,633.0
419,28,3.536776e-06,1612.0
423,32,4.021285e-06,3962.0
424,36,3.659183e-06,1022.0
426,5,1.626968e-06,638.0
427,35,3.799132e-06,1011.0
431,30,3.52916e-06,383.0
436,20,3.465585e-06,1379.0
440,24,3.426521e-06,1304.0
441,28,3.88501e-06,2254.0
442,27,3.642793e-06,1532.0
443,20,3.563429e-06,1163.0
