id,degree,closeness,betweenness
2,32,4.436425e-06,993.0
3,20,4.012965e-06,1522.0
5,11,2.950051e-06,842.0
7,34,4.648549e-06,1525.0
10,29,4.454854e-06,1045.0
17,19,4.159495e-06,1675.0
18,21,3.998023e-06,892.0
20,37,4.011667e-06,345.0
24,8,2.807427e-06,26.0
25,8,3.013074e-06,2157.0
27,24,4.715974e-06,3030.0
33,33,4.50897e-06,1048.0
37,16,3.155791e-06,138.0
39,24,4.089524e-06,983.0
43,21,3.961632e-06,374.0
50,23,4.468073e-06,1394.0
53,16,3.875897e-06,772.0
54,35,4.402337e-06,648.0
61,23,4.202471e-06,1274.0
62,31,4.411931e-06,715.0
63,31,4.51278e-06,1738.0
69,11,3.73869e-06,242.0
70,12,3.981129e-06,179.0
75,16,4.036486e-06,724.0
76,20,3.849236e-06,1431.0
78,27,4.204709e-06,1061.0
79,34,4.385154e-06,1219.0
84,54,4.631153e-06,578.0
86,31,4.284424e-06,415.0
89,25,4.194655e-06,522.0
90,20,3.971856e-06,1767.0
92,19,3.974171e-06,739.0
96,39,4.65519e-06,969.0
100,33,4.503288e-06,868.0
104,22,4.172213e-06,611.0
105,13,3.158501e-06,442.0
106,19,4.058358e-06,808.0
107,35,4.613874e-06,978.0
112,18,3.920983e-06,729.0
114,33,4.653511e-06,2116.0
115,25,4.280489e-06,1172.0
118,17,4.462777e-06,671.0
122,32,4.605826e-06,1027.0
126,26,4.555768e-06,1109.0
128,18,4.143768e-06,875.0
134,19,4.124598e-06,432.0
138,21,4.123823e-06,1508.0
145,13,3.202915e-06,1522.0
151,23,4.33133e-06,1421.0
153,20,3.770046e-06,404.0
159,35,4.635778e-06,1257.0
160,24,4.152898e-06,747.0
166,25,4.487853e-06,896.0
167,18,4.248983e-06,691.0
168,28,4.635305e-06,1511.0
169,19,4.124289e-06,772.0
171,40,4.37219e-06,544.0
175,24,4.505688e-06,1376.0
178,37,4.71445e-06,1593.0
179,22,4.4824e-06,1677.0
183,38,4.503406e-06,560.0
184,34,4.24404e-06,374.0
192,74,4.02048e-06,4.0
196,23,4.131676e-06,455.0
197,24,3.830891e-06,333.0
