id,degree,closeness,betweenness
2,27,4.465861e-06,1271.0
6,41,4.461581e-06,824.0
7,35,4.640056e-06,1895.0
14,43,4.329395e-06,950.0
17,24,4.435171e-06,1219.0
22,22,3.806386e-06,927.0
24,22,3.903912e-06,175.0
27,11,3.224458e-06,120.0
30,32,4.534916e-06,1670.0
33,26,4.254438e-06,762.0
36,54,4.047434e-06,50.0
40,16,4.021905e-06,364.0
43,46,4.477422e-06,680.0
50,33,4.240223e-06,420.0
53,25,4.243344e-06,1267.0
61,25,4.177111e-06,720.0
62,40,4.445137e-06,856.0
64,16,3.91837e-06,1043.0
66,11,3.410007e-06,571.0
68,28,4.053634e-06,982.0
69,22,4.258312e-06,843.0
70,27,3.885452e-06,775.0
75,54,4.444939e-06,255.0
76,16,4.011552e-06,621.0
77,27,4.078131e-06,855.0
79,15,3.350432e-06,105.0
86,28,4.381393e-06,785.0
87,23,4.003822e-06,2225.0
91,21,3.984378e-06,793.0
92,32,4.583867e-06,1626.0
98,30,4.286146e-06,685.0
107,25,4.063004e-06,1051.0
114,20,3.971641e-06,644.0
115,19,4.151104e-06,840.0
120,11,3.50555e-06,140.0
121,31,4.119423e-06,1206.0
122,24,4.487599e-06,1456.0
126,26,4.463174e-06,1646.0
127,27,4.248612e-06,839.0
128,11,3.175315e-06,432.0
132,48,4.193796e-06,316.0
134,12,3.713436e-06,298.0
139,33,4.476893e-06,1043.0
147,36,4.637163e-06,647.0
149,20,4.206516e-06,874.0
151,16,3.909814e-06,682.0
153,8,2.876263e-06,133.0
156,24,4.497335e-06,896.0
159,31,4.26303e-06,646.0
160,34,4.387752e-06,854.0
165,34,4.281503e-06,1080.0
166,23,4.241116e-06,956.0
168,31,3.93095e-06,410.0
169,41,4.393444e-06,655.0
171,33,4.316747e-06,820.0
177,25,3.977796e-06,596.0
178,21,4.067603e-06,688.0
179,27,4.528683e-06,1472.0
183,49,4.285798e-06,344.0
184,43,4.211553e-06,332.0
187,13,3.738466e-06,207.0
191,12,3.411746e-06,330.0
194,44,4.465195e-06,415.0
197,20,3.696276e-06,1821.0
204,45,4.105392e-06,158.0
206,29,4.239875e-06,830.0
207,22,4.51902e-06,2556.0
216,18,3.705381e-06,1156.0
217,48,4.35649e-06,493.0
219,21,4.35218e-06,883.0
221,3,1.4813e-06,0.0
225,11,3.349429e-06,166.0
227,15,3.067207e-06,104.0
228,23,3.979594e-06,686.0
230,15,3.807818e-06,217.0
232,29,4.390359e-06,1401.0
237,33,4.295475e-06,708.0
238,29,4.296477e-06,943.0
239,27,4.354316e-06,876.0
240,31,4.388131e-06,988.0
244,31,3.869859e-06,845.0
246,38,4.486282e-06,832.0
248,4,2.241446e-06,0.0
250,36,4.545424e-06,1239.0
254,18,3.634928e-06,792.0
255,33,4.273779e-06,468.0
256,6,1.933179e-06,1975.0
257,21,3.712308e-06,264.0
259,36,4.448768e-06,766.0
268,7,2.906646e-06,0.0
272,23,4.296484e-06,823.0
274,14,3.928135e-06,1274.0
276,20,4.230403e-06,979.0
279,17,3.269657e-06,1349.0
282,30,4.609172e-06,2135.0
283,17,4.049299e-06,495.0
284,35,4.181305e-06,377.0
286,13,3.348977e-06,143.0
287,35,4.257698e-06,436.0
290,14,3.688784e-06,501.0
291,34,4.188201e-06,792.0
294,33,4.355777e-06,465.0
299,13,3.325256e-06,1268.0
300,36,4.068534e-06,248.0
302,21,4.154184e-06,503.0
309,21,4.137278e-06,532.0
310,26,4.279388e-06,1282.0
311,33,4.40279e-06,686.0
312,39,4.527034e-06,981.0
313,14,3.513415e-06,168.0
316,26,4.106061e-06,1105.0
319,50,4.595386e-06,1342.0
320,29,4.350975e-06,1628.0
323,21,4.067038e-06,717.0
324,34,4.361627e-06,721.0
329,34,4.067008e-06,547.0
330,37,4.5785e-06,1317.0
333,13,3.756502e-06,295.0
334,32,4.322807e-06,683.0
338,11,3.532034e-06,280.0
339,26,4.327575e-06,1095.0
340,31,4.371774e-06,683.0
342,41,4.551378e-06,1000.0
344,39,4.36342e-06,734.0
351,31,4.40137e-06,1167.0
354,40,4.381228e-06,754.0
358,28,4.13545e-06,869.0
364,34,4.552695e-06,1803.0
365,31,4.504664e-06,1569.0
368,44,4.394979e-06,698.0
371,25,3.887382e-06,955.0
379,40,4.109591e-06,690.0
381,35,4.507301e-06,954.0
383,23,3.937883e-06,619.0
385,8,3.131552e-06,81.0
386,25,4.066525e-06,1095.0
390,31,4.171133e-06,355.0
394,24,3.933221e-06,236.0
397,14,3.542215e-06,613.0
402,23,4.18335e-06,717.0
406,22,3.963489e-06,662.0
409,47,3.962372e-06,131.0
416,23,4.323104e-06,999.0
418,32,4.437731e-06,999.0
423,27,4.32487e-06,1019.0
424,37,4.474164e-06,803.0
427,26,4.32545e-06,1412.0
428,20,4.063976e-06,803.0
430,60,4.316947e-06,152.0
431,23,4.181235e-06,655.0
436,28,4.496213e-06,1243.0
437,76,4.148927e-06,37.0
439,25,4.345598e-06,1158.0
440,33,4.486644e-06,983.0
441,23,4.420901e-06,1673.0
443,32,4.303001e-06,573.0
444,23,4.234003e-06,1282.0
446,3,2.286951e-06,0.0
447,35,4.65386e-06,2060.0
448,12,3.286203e-06,895.0
449,32,4.033479e-06,310.0
452,18,3.946345e-06,1224.0
453,19,4.09837e-06,704.0
454,33,4.006664e-06,601.0
455,39,4.105665e-06,214.0
456,25,4.385883e-06,1483.0
465,25,4.169518e-06,713.0
469,25,4.069708e-06,716.0
482,30,4.611116e-06,1985.0
485,45,4.423788e-06,556.0
487,28,4.408768e-06,1899.0
489,25,4.112971e-06,762.0
491,33,4.158325e-06,447.0
494,9,3.113077e-06,895.0
498,38,4.348874e-06,434.0
500,37,4.340685e-06,817.0
501,15,3.775976e-06,587.0
502,4,2.360914e-06,0.0
504,48,4.316532e-06,333.0
505,23,3.907824e-06,569.0
510,25,4.217601e-06,838.0
513,27,4.196878e-06,556.0
517,24,4.082956e-06,862.0
518,14,3.677615e-06,908.0
527,27,4.415075e-06,1476.0
528,26,3.921919e-06,1221.0
529,30,4.509011e-06,1138.0
530,26,4.426745e-06,1244.0
531,32,4.128018e-06,1040.0
533,43,4.526905e-06,746.0
540,26,4.183687e-06,523.0
541,30,4.3673e-06,599.0
548,27,4.32096e-06,937.0
551,22,4.154028e-06,909.0
552,25,4.261339e-06,840.0
555,31,4.440138e-06,847.0
557,35,4.154219e-06,982.0
558,20,4.007267e-06,863.0
559,31,4.454363e-06,1107.0
560,20,3.814789e-06,881.0
566,36,4.30046e-06,596.0
571,29,4.34289e-06,988.0
572,29,4.187772e-06,670.0
582,26,4.208997e-06,1167.0
586,20,3.762163e-06,820.0
587,17,3.803878e-06,345.0
588,9,3.215995e-06,721.0
589,36,4.398819e-06,488.0
593,33,4.510852e-06,1364.0
594,29,4.267416e-06,780.0
595,25,4.352873e-06,1048.0
596,30,4.582105e-06,1874.0
598,23,4.356795e-06,1221.0
602,33,4.3746e-06,590.0
603,45,4.523349e-06,1084.0
605,26,4.215649e-06,2246.0
608,32,4.299485e-06,954.0
611,27,4.318304e-06,2273.0
613,21,4.122387e-06,1534.0
617,11,3.161488e-06,2285.0
619,29,4.541287e-06,2026.0
620,27,4.123553e-06,1801.0
623,27,4.538267e-06,1452.0
633,29,4.448633e-06,1596.0
637,31,4.340328e-06,2202.0
638,7,3.011628e-06,67.0
639,16,3.960019e-06,464.0
640,26,4.256952e-06,953.0
641,32,4.163315e-06,992.0
643,13,3.669368e-06,147.0
644,18,3.880099e-06,2954.0
645,30,4.225094e-06,402.0
646,25,4.146344e-06,606.0
649,15,3.711274e-06,541.0
651,25,3.935003e-06,677.0
652,47,4.303841e-06,276.0
654,21,3.772961e-06,1367.0
657,15,3.880651e-06,2470.0
662,37,4.387318e-06,1340.0
665,6,2.275842e-06,104.0
671,25,4.19078e-06,1038.0
674,13,3.268824e-06,87.0
676,38,4.371441e-06,1031.0
679,27,4.39599e-06,1671.0
684,17,3.767515e-06,501.0
685,25,3.868985e-06,310.0
693,24,4.50007e-06,1660.0
701,41,4.339984e-06,555.0
703,47,4.337108e-06,322.0
706,12,3.733899e-06,318.0
714,25,4.299519e-06,810.0
715,26,4.407221e-06,956.0
716,31,4.402652e-06,754.0
717,12,3.44296e-06,327.0
719,24,4.023432e-06,1424.0
721,22,4.183418e-06,968.0
723,43,4.58178e-06,1305.0
725,32,4.454952e-06,996.0
730,20,3.94617e-06,791.0
732,38,4.144914e-06,276.0
734,33,4.513565e-06,1453.0
735,16,3.810846e-06,1247.0
741,28,4.243421e-06,827.0
748,23,4.388774e-06,1487.0
751,21,4.125238e-06,449.0
752,32,4.615613e-06,1563.0
753,30,4.381281e-06,1015.0
755,17,3.712327e-06,298.0
758,36,4.338814e-06,535.0
763,36,4.168278e-06,398.0
764,55,4.376794e-06,329.0
774,37,4.45778e-06,708.0
775,29,4.359877e-06,1050.0
779,14,3.439773e-06,1141.0
781,40,4.395359e-06,466.0
784,20,4.016711e-06,645.0
799,23,3.924155e-06,1731.0
800,12,3.215152e-06,569.0
805,21,4.000159e-06,684.0
807,31,4.492396e-06,1646.0
808,14,3.58793e-06,477.0
809,23,4.22845e-06,808.0
810,18,3.956688e-06,1258.0
811,37,4.334991e-06,462.0
812,31,4.087442e-06,604.0
818,65,4.330525e-06,291.0
819,24,4.243018e-06,616.0
822,19,4.027213e-06,1096.0
824,18,4.035091e-06,845.0
825,20,3.36119e-06,935.0
827,29,4.502706e-06,1231.0
829,26,4.153701e-06,462.0
834,29,4.167219e-06,577.0
843,32,4.548436e-06,1503.0
844,35,4.507697e-06,1098.0
847,27,4.207957e-06,983.0
849,27,4.528648e-06,1445.0
857,23,4.114005e-06,956.0
860,19,3.972114e-06,1109.0
863,18,3.617361e-06,3135.0
864,11,3.924655e-06,172.0
869,46,4.415832e-06,526.0
871,34,4.70127e-06,2385.0
873,36,4.298176e-06,638.0
875,45,4.22392e-06,343.0
876,17,3.84825e-06,867.0
878,35,4.548944e-06,2499.0
880,26,4.296864e-06,901.0
881,24,4.297777e-06,860.0
883,26,4.317133e-06,1019.0
884,27,4.293765e-06,718.0
885,22,3.644062e-06,391.0
886,31,4.512902e-06,1184.0
887,7,2.721936e-06,0.0
893,41,4.478017e-06,965.0
899,38,4.53033e-06,884.0
900,31,4.488129e-06,986.0
919,23,4.556425e-06,1610.0
925,28,4.265249e-06,523.0
927,31,3.625246e-06,45.0
928,29,4.204572e-06,560.0
929,19,3.583473e-06,254.0
933,4,1.808801e-06,47.0
942,30,4.490983e-06,1109.0
943,26,4.399236e-06,1114.0
944,12,3.118976e-06,180.0
951,24,4.229683e-06,386.0
955,34,4.395938e-06,718.0
959,12,3.254047e-06,208.0
961,24,4.270054e-06,1323.0
963,17,3.933911e-06,43.0
964,48,4.174268e-06,249.0
970,37,4.270076e-06,508.0
972,36,4.469699e-06,693.0
974,25,4.330821e-06,1006.0
975,31,4.18682e-06,1024.0
979,28,4.235242e-06,971.0
982,23,4.184804e-06,1050.0
984,29,4.224742e-06,1277.0
988,20,4.069946e-06,395.0
989,39,4.46063e-06,524.0
990,22,4.229688e-06,1340.0
992,28,4.330914e-06,1099.0
995,10,3.103013e-06,1606.0
998,43,4.203581e-06,378.0
999,22,4.292625e-06,1137.0
1002,38,4.275668e-06,593.0
1006,40,4.130479e-06,369.0
1008,26,4.266263e-06,490.0
1011,13,3.613435e-06,321.0
1013,43,4.161708e-06,326.0
1015,39,4.665799e-06,3810.0
1017,19,3.779951e-06,796.0
1020,28,4.339214e-06,1025.0
1021,20,4.125536e-06,803.0
1023,15,3.814307e-06,642.0
1033,26,4.380029e-06,1161.0
1035,25,4.193073e-06,720.0
1037,26,4.217862e-06,819.0
1042,23,3.996521e-06,750.0
1043,29,4.276745e-06,796.0
1049,13,3.855689e-06,318.0
1052,34,4.074888e-06,1610.0
1055,33,4.440053e-06,1284.0
1056,34,4.543942e-06,1670.0
1057,28,4.356034e-06,870.0
1061,33,4.165948e-06,293.0
1065,22,4.130997e-06,1083.0
1066,29,4.547624e-06,1613.0
1067,21,4.141551e-06,600.0
1068,32,4.350844e-06,1276.0
1070,21,4.23118e-06,1055.0
1074,31,4.496e-06,1471.0
1075,30,4.343042e-06,945.0
1077,24,4.283527e-06,1565.0
1080,17,4.119766e-06,730.0
1082,29,4.314848e-06,1737.0
1085,10,2.872445e-06,326.0
1088,31,4.507681e-06,1182.0
1091,28,4.113983e-06,923.0
1092,53,4.044369e-06,44.0
1099,30,4.496843e-06,2471.0
1103,31,4.310214e-06,411.0
1112,13,3.828486e-06,304.0
1116,22,3.97072e-06,863.0
1118,47,4.270395e-06,313.0
1120,30,4.360688e-06,1005.0
1121,46,4.314563e-06,470.0
1139,26,4.284076e-06,1957.0
1145,31,4.45799e-06,1127.0
1147,14,3.806928e-06,1298.0
1148,20,3.960399e-06,771.0
1150,30,4.319517e-06,1038.0
1152,34,4.166062e-06,554.0
1153,21,3.88535e-06,725.0
1156,30,4.240305e-06,494.0
1158,20,4.214144e-06,951.0
1161,36,4.304236e-06,666.0
1162,15,3.758126e-06,334.0
1163,23,4.015722e-06,990.0
1166,27,4.27598e-06,1043.0
1168,24,4.005427e-06,1219.0
1171,13,3.640591e-06,291.0
1172,26,4.507133e-06,1472.0
1177,26,4.486137e-06,1431.0
1178,39,4.11227e-06,504.0
1180,15,3.228594e-06,3262.0
1186,28,4.190813e-06,522.0
1187,28,4.025732e-06,674.0
1192,25,4.397208e-06,1426.0
1194,23,4.209691e-06,994.0
1196,42,4.553691e-06,1392.0
1199,31,4.018691e-06,393.0
1200,21,4.20894e-06,1802.0
1201,31,4.228679e-06,410.0
1203,38,4.642358e-06,695.0
1208,41,4.335095e-06,1033.0
1212,24,4.253097e-06,1096.0
1217,7,2.751274e-06,345.0
1218,29,4.266737e-06,604.0
1220,34,4.65278e-06,1704.0
1224,28,4.075667e-06,563.0
1235,18,3.837141e-06,609.0
1241,14,3.676515e-06,414.0
1242,24,4.23639e-06,942.0
1243,26,4.223882e-06,1009.0
1247,23,4.094119e-06,689.0
1248,20,3.848395e-06,700.0
1249,34,4.344216e-06,781.0
1254,29,4.332274e-06,1126.0
1257,25,4.028891e-06,353.0
1263,42,4.108404e-06,206.0
1265,22,3.591322e-06,905.0
1268,25,4.316203e-06,1193.0
1271,45,4.355553e-06,578.0
1273,38,4.289974e-06,439.0
1276,16,3.902126e-06,718.0
1277,32,4.238477e-06,717.0
1279,35,4.138578e-06,483.0
1282,34,4.533984e-06,1199.0
1286,29,4.369983e-06,1589.0
1290,30,4.5731e-06,3691.0
1302,26,4.278309e-06,1002.0
1303,6,2.507609e-06,1041.0
1306,31,4.374514e-06,1364.0
1308,25,4.394036e-06,1269.0
1318,7,2.891158e-06,22.0
1322,32,4.399261e-06,995.0
1325,23,4.274367e-06,1115.0
1327,35,4.215706e-06,541.0
1329,31,4.346615e-06,929.0
1333,33,4.355234e-06,1352.0
1338,29,4.488247e-06,1064.0
1341,22,3.957654e-06,2351.0
1342,20,4.357139e-06,1688.0
1343,26,4.122994e-06,892.0
1348,27,4.166525e-06,1003.0
1353,15,4.045441e-06,440.0
1356,38,4.354852e-06,612.0
1357,5,2.758986e-06,1040.0
1362,29,4.052294e-06,726.0
1363,33,4.528184e-06,992.0
1366,45,4.574421e-06,1332.0
1367,29,4.485525e-06,1582.0
1371,8,2.992505e-06,264.0
1372,21,4.16284e-06,975.0
1373,36,4.246694e-06,1595.0
1375,29,4.129869e-06,887.0
1379,32,4.400192e-06,904.0
1382,19,3.657568e-06,832.0
