id,degree,closeness,betweenness
1,27,4.798701e-06,2054.0
2,27,3.502051e-06,4776.0
4,9,3.317702e-06,404.0
7,31,4.134913e-06,319.0
13,24,4.737927e-06,1700.0
14,31,4.853518e-06,2858.0
17,24,3.15399e-06,3432.0
26,11,3.589426e-06,488.0
33,21,4.01879e-06,2211.0
37,30,4.183303e-06,812.0
43,23,3.317266e-06,96.0
45,12,3.774452e-06,670.0
46,31,4.372758e-06,213.0
47,29,4.147524e-06,562.0
48,19,3.979882e-06,2382.0
50,31,4.133007e-06,418.0
51,24,4.739136e-06,1670.0
53,23,4.393677e-06,1470.0
62,33,4.701e-06,943.0
65,3,1.845541e-06,0.0
66,41,4.544459e-06,290.0
68,13,2.482584e-06,1302.0
69,32,4.596516e-06,690.0
71,10,2.997112e-06,1873.0
73,22,4.272884e-06,435.0
76,8,2.112217e-06,6678.0
86,17,3.16255e-06,273.0
87,21,3.868696e-06,616.0
94,28,4.241758e-06,537.0
98,20,4.233972e-06,2434.0
108,5,2.596088e-06,1.0
109,37,4.497855e-06,349.0
115,28,4.493702e-06,3616.0
120,21,4.649767e-06,993.0
126,12,3.324064e-06,974.0
128,10,3.67373e-06,166.0
131,25,4.614505e-06,1132.0
135,26,4.378306e-06,768.0
136,4,9.234572e-07,1822.0
137,33,4.839931e-06,1782.0
141,29,4.792996e-06,1603.0
142,24,4.681275e-06,991.0
147,37,4.265609e-06,192.0
148,14,3.81643e-06,413.0
149,9,3.128364e-06,1563.0
153,19,4.265914e-06,886.0
154,25,4.773023e-06,1194.0
159,41,4.506555e-06,163.0
160,14,3.807471e-06,1308.0
168,23,3.951544e-06,338.0
171,23,4.063572e-06,1304.0
172,2,8.367922e-07,894.0
180,31,4.498898e-06,965.0
181,39,4.677263e-06,594.0
183,20,4.308917e-06,2345.0
184,34,4.473238e-06,590.0
185,2,1.733823e-06,0.0
187,47,4.246683e-06,63.0
190,11,3.916678e-06,244.0
197,14,3.526197e-06,827.0
200,9,3.064081e-06,2130.0
201,41,4.909395e-06,1653.0
204,29,4.427499e-06,391.0
207,25,4.896109e-06,4088.0
222,6,3.094842e-06,0.0
227,6,2.506555e-06,403.0
230,18,3.647377e-06,1788.0
236,17,4.349678e-06,1238.0
237,16,4.40672e-06,1178.0
238,29,4.44908e-06,904.0
239,3,1.048115e-06,2697.0
240,34,4.480767e-06,1388.0
250,37,4.526765e-06,411.0
255,38,4.657886e-06,659.0
259,22,4.090701e-06,1217.0
265,20,4.458705e-06,1413.0
268,21,3.876477e-06,605.0
272,9,2.518735e-06,1778.0
274,30,4.24379e-06,729.0
276,25,4.412384e-06,408.0
277,6,2.339532e-06,922.0
284,20,3.740193e-06,1335.0
286,27,4.75693e-06,1341.0
287,24,4.566682e-06,713.0
297,34,4.167934e-06,102.0
298,27,4.555385e-06,870.0
300,35,4.501393e-06,611.0
303,41,4.360441e-06,217.0
306,39,4.450346e-06,406.0
309,9,3.015414e-06,144.0
310,11,3.981233e-06,369.0
311,11,3.279823e-06,420.0
316,21,4.584038e-06,767.0
320,10,3.639749e-06,214.0
323,14,2.96719e-06,2651.0
325,5,2.264295e-06,912.0
329,26,4.680303e-06,1186.0
330,24,4.061094e-06,175.0
334,11,2.970564e-06,822.0
336,36,4.688555e-06,840.0
337,17,3.925599e-06,2612.0
338,22,4.496683e-06,933.0
340,25,4.204689e-06,493.0
341,24,4.318325e-06,237.0
342,41,3.889632e-06,238.0
344,14,3.980212e-06,694.0
350,7,2.078094e-06,794.25
352,15,4.277691e-06,138.0
354,34,4.806096e-06,1365.0
364,31,4.742678e-06,1717.0
369,29,4.109288e-06,205.0
370,16,4.034079e-06,366.0
371,17,4.132276e-06,1040.0
373,22,4.40092e-06,520.0
374,8,3.401988e-06,23.0
380,9,3.539041e-06,217.0
381,22,4.364917e-06,948.0
385,34,4.579206e-06,624.0
387,7,3.348619e-06,442.0
390,27,4.468213e-06,522.0
393,23,4.067265e-06,759.0
394,14,3.046241e-06,818.0
396,23,4.54567e-06,437.0
400,24,4.600754e-06,1139.0
402,23,4.485483e-06,927.0
406,20,4.394788e-06,1724.0
407,19,4.432322e-06,762.0
408,13,3.70765e-06,4498.0
418,18,2.994067e-06,99.0
423,12,3.358748e-06,886.0
424,6,2.150216e-06,771.0
426,21,4.551241e-06,827.0
427,10,3.688108e-06,349.0
428,30,4.579028e-06,906.0
430,34,4.930198e-06,2515.0
431,8,2.744776e-06,2369.0
437,48,4.862489e-06,1276.0
441,22,4.364477e-06,628.0
447,12,3.479206e-06,1591.0
449,16,3.087149e-06,1014.0
453,30,4.52422e-06,631.0
456,19,4.446542e-06,458.0
458,32,4.577452e-06,597.0
469,34,4.562898e-06,1330.0
479,22,4.497739e-06,2245.0
482,11,3.447291e-06,1097.0
484,31,4.452065e-06,345.0
488,5,8.797568e-07,5.0
489,21,3.577632e-06,782.0
491,24,3.584434e-06,638.0
494,25,3.214435e-06,10.0
497,28,4.770486e-06,1241.0
498,25,4.477851e-06,2452.0
502,23,4.677672e-06,1903.0
504,28,3.955713e-06,782.0
505,32,4.453077e-06,462.0
510,21,3.955346e-06,790.0
513,28,4.223543e-06,222.0
529,36,4.359268e-06,735.0
530,30,4.304486e-06,745.0
533,25,4.123763e-06,711.0
540,34,3.750422e-06,8.0
541,19,3.959876e-06,1151.0
544,24,4.534502e-06,498.0
547,24,4.556842e-06,631.0
548,9,2.648353e-06,1050.0
