id,degree,closeness,betweenness
2,47,4.60138e-06,683.0
4,20,3.759382e-06,1324.0
5,6,1.816658e-06,294.0
6,32,4.480427e-06,1189.0
7,37,4.730979e-06,940.0
17,32,4.682715e-06,1315.0
19,26,4.632813e-06,1191.0
23,19,4.19801e-06,1872.0
26,23,4.346565e-06,804.0
27,24,4.546844e-06,1359.0
33,31,4.689304e-06,958.0
34,6,2.567021e-06,37.0
35,26,4.138304e-06,190.0
37,15,4.223058e-06,196.0
43,25,4.638988e-06,1217.0
48,11,3.501625e-06,1761.0
50,33,4.584191e-06,444.0
53,22,4.721313e-06,1629.0
54,21,4.630833e-06,1411.0
61,35,4.609527e-06,566.0
62,47,4.425066e-06,121.0
63,17,4.134828e-06,554.0
69,9,3.172916e-06,1575.0
75,31,4.513214e-06,676.0
79,9,3.191787e-06,31.0
83,31,4.655328e-06,1494.0
84,10,3.133045e-06,48.0
86,44,4.916026e-06,1274.0
89,19,3.727241e-06,1135.0
92,25,4.698129e-06,1543.0
96,29,4.884892e-06,1589.0
100,27,4.617172e-06,1532.0
104,30,4.182172e-06,628.0
105,11,2.995728e-06,873.0
106,30,4.4847e-06,457.0
107,39,5.071574e-06,2903.0
109,22,4.425414e-06,1378.0
112,19,3.294879e-06,1785.0
113,27,4.866969e-06,1226.0
114,37,4.491341e-06,417.0
120,9,2.922449e-06,984.0
122,32,4.647345e-06,703.0
126,38,4.607567e-06,309.0
127,10,3.090522e-06,1828.0
128,31,4.568537e-06,849.0
134,33,4.808734e-06,1082.0
138,11,2.830341e-06,879.0
139,33,4.81596e-06,1071.0
142,5,2.9722e-06,46.0
146,5,2.321864e-06,466.0
151,17,4.105125e-06,364.0
159,20,4.59876e-06,1501.0
160,31,4.740489e-06,868.0
164,23,4.030748e-06,181.0
166,31,4.607547e-06,887.0
168,38,4.396132e-06,328.0
171,32,4.845685e-06,1086.0
173,32,4.492589e-06,588.0
175,21,3.687482e-06,606.0
177,7,2.751491e-06,889.0
178,26,4.559553e-06,964.0
179,62,4.44879e-06,66.0
180,22,4.026201e-06,553.0
183,38,4.747736e-06,578.0
184,42,4.623463e-06,377.0
189,25,4.409131e-06,717.0
194,18,4.178603e-06,591.0
196,8,2.801907e-06,200.0
197,28,4.780178e-06,1850.0
202,7,2.560188e-06,579.0
204,29,4.598617e-06,1339.0
215,14,4.033739e-06,369.0
216,39,4.891912e-06,1204.0
225,44,4.66351e-06,764.0
227,13,4.174162e-06,1118.0
228,30,4.386068e-06,197.0
232,26,4.71116e-06,1054.0
237,25,3.396416e-06,83.0
238,34,4.592936e-06,1035.0
240,31,4.640735e-06,1098.0
244,27,3.787566e-06,224.0
245,61,4.752241e-06,368.0
246,18,3.849937e-06,2100.0
