id,degree,closeness,betweenness
2,37,3.171665e-06,870.0
5,23,3.12253e-06,1542.0
7,27,2.847693e-06,910.0
10,12,2.6906e-06,1691.0
16,31,2.796424e-06,458.0
17,21,2.593751e-06,1576.0
20,24,3.100968e-06,856.0
23,16,2.925322e-06,344.0
25,20,3.084447e-06,1550.0
28,27,3.24448e-06,1923.0
31,27,3.160607e-06,1707.0
33,25,3.185646e-06,1001.0
37,21,3.104984e-06,1349.0
38,17,2.497904e-06,1309.0
43,17,2.567129e-06,550.0
50,29,2.889173e-06,613.0
53,4,1.681718e-06,0.0
54,32,3.136481e-06,698.0
57,37,3.275528e-06,1178.0
61,21,2.917998e-06,2849.0
62,11,2.303054e-06,1647.0
63,35,3.42056e-06,3047.0
75,29,3.139667e-06,1548.0
76,11,2.138359e-06,191.0
78,22,3.049949e-06,1178.0
80,38,3.175718e-06,754.0
83,19,3.001662e-06,595.0
84,41,3.471519e-06,3017.0
85,21,2.906823e-06,451.0
86,30,3.425501e-06,8310.0
89,25,3.176651e-06,1421.0
90,25,3.150783e-06,955.0
95,14,2.882895e-06,935.0
96,32,3.315599e-06,1840.0
100,33,3.345189e-06,1793.0
104,39,3.301665e-06,1097.0
105,24,3.123411e-06,1141.0
107,37,3.325829e-06,1849.0
108,19,2.531298e-06,1513.0
112,23,3.09843e-06,989.0
114,23,2.5396e-06,454.0
116,45,3.133462e-06,846.0
122,22,3.261561e-06,1687.0
126,23,3.029683e-06,740.0
134,30,3.138053e-06,824.0
137,5,8.223989e-07,1190.0
139,6,1.927966e-06,2372.0
142,19,2.416622e-06,28.0
143,10,2.681851e-06,210.0
153,13,2.316662e-06,1678.0
159,24,3.034194e-06,2450.0
160,21,3.069452e-06,1176.0
165,26,3.023499e-06,794.0
166,13,2.34622e-06,447.0
167,34,3.28706e-06,1936.0
168,23,2.910746e-06,602.0
170,17,3.152504e-06,2274.0
171,35,3.244542e-06,1173.0
175,44,3.256828e-06,869.0
177,29,2.689375e-06,624.0
178,14,2.394917e-06,763.0
179,24,3.111848e-06,1241.0
180,4,1.485277e-06,2.0
181,12,2.602296e-06,719.0
183,31,3.218339e-06,2120.0
184,39,3.200811e-06,715.0
192,23,3.145192e-06,895.0
196,24,3.117336e-06,952.0
197,30,3.237433e-06,3157.0
202,16,2.968633e-06,416.0
204,34,3.138135e-06,1001.0
206,10,2.023984e-06,2099.0
211,82,3.090123e-06,67.0
216,28,3.155336e-06,1605.0
218,27,3.069349e-06,928.0
222,21,2.550434e-06,895.0
224,14,2.914739e-06,607.0
228,37,3.240741e-06,872.0
232,7,1.467747e-06,460.0
237,36,3.016716e-06,523.0
238,29,2.755962e-06,879.0
240,28,2.990781e-06,1916.0
243,26,3.1168e-06,835.0
248,20,2.821839e-06,1490.0
250,56,3.077282e-06,73.0
251,32,3.234325e-06,1227.0
253,29,2.929169e-06,370.0
254,28,3.01578e-06,352.0
255,31,3.028529e-06,613.0
257,23,3.021224e-06,995.0
258,29,3.196661e-06,1370.0
259,30,3.053938e-06,617.0
262,36,3.305316e-06,865.0
264,4,1.199366e-06,403.0
265,27,2.867542e-06,2056.0
272,30,3.081913e-06,951.0
273,14,2.828723e-06,369.0
274,24,3.223301e-06,2923.0
276,21,2.615445e-06,145.0
282,23,2.963838e-06,1234.0
284,22,2.869876e-06,1809.0
287,16,2.196926e-06,920.0
294,7,1.970553e-06,59.5
296,31,3.298593e-06,3218.0
300,51,3.110151e-06,160.0
304,13,2.943753e-06,243.0
305,37,3.277316e-06,1348.0
307,27,3.383523e-06,2447.0
308,23,3.304014e-06,2978.0
309,21,2.860673e-06,2483.0
310,17,2.481424e-06,890.0
311,23,2.802563e-06,1840.0
312,25,2.934239e-06,4101.0
314,33,3.19585e-06,991.0
318,39,3.251534e-06,853.0
319,19,3.098336e-06,962.0
320,29,3.098901e-06,792.0
322,26,3.097735e-06,1039.0
324,23,3.286842e-06,5674.0
329,8,1.536074e-06,0.0
330,18,2.861944e-06,2338.0
334,23,3.020957e-06,1383.0
338,54,3.012991e-06,53.0
340,25,2.820095e-06,738.0
341,40,2.733796e-06,30.0
342,36,3.222818e-06,1406.0
344,28,2.980412e-06,561.0
345,23,3.158509e-06,896.0
349,56,3.427561e-06,2157.0
355,26,3.089651e-06,1516.0
363,29,3.221263e-06,1208.0
364,29,3.058708e-06,677.0
371,15,2.192706e-06,323.0
374,6,1.514017e-06,1.0
376,31,3.280177e-06,1959.0
378,27,3.050278e-06,812.0
381,29,3.189879e-06,1381.0
389,80,3.225261e-06,314.0
390,21,2.871643e-06,482.0
391,27,3.1547e-06,755.0
394,32,2.735294e-06,208.0
396,6,9.6255e-07,5645.0
401,31,3.132089e-06,885.0
402,3,1.019061e-06,0.0
406,33,3.307923e-06,1969.0
409,12,2.735252e-06,354.0
413,3,1.065318e-06,28.0
414,16,2.831016e-06,1469.0
415,20,3.096419e-06,840.0
416,28,3.166024e-06,886.0
418,22,2.833115e-06,1041.0
419,3,1.481871e-06,0.0
421,43,2.924296e-06,192.0
423,17,2.80634e-06,1766.0
424,33,2.993967e-06,580.0
427,23,2.923697e-06,1406.0
428,16,2.439508e-06,907.0
430,4,1.607886e-06,433.0
431,20,3.274052e-06,2040.0
434,16,2.70626e-06,905.0
435,31,3.220844e-06,883.0
436,23,3.118089e-06,1213.0
440,20,2.670011e-06,902.0
441,15,2.44517e-06,1822.0
442,4,2.347911e-06,0.0
443,10,2.277592e-06,5957.0
444,28,3.155782e-06,696.0
446,28,2.958303e-06,1042.0
447,47,3.113565e-06,328.0
449,28,3.109968e-06,1860.0
453,23,2.721499e-06,388.0
454,55,2.836819e-06,77.0
456,22,2.437001e-06,634.0
460,14,2.569893e-06,59.0
461,36,3.185153e-06,837.0
464,35,3.262156e-06,1156.0
465,24,3.101664e-06,1562.0
469,30,3.149338e-06,563.0
484,5,1.340834e-06,10312.0
489,11,1.755281e-06,2281.0
491,25,2.999777e-06,789.0
493,26,3.171761e-06,1325.0
496,19,3.180006e-06,841.0
501,28,3.096583e-06,1539.0
502,15,1.807056e-06,8.0
503,25,3.194907e-06,1967.0
505,12,2.45904e-06,4321.0
508,18,2.391611e-06,1566.0
510,44,3.284136e-06,1016.0
512,41,3.25799e-06,822.0
513,29,3.27525e-06,2198.0
514,23,3.122898e-06,1174.0
517,29,3.038957e-06,871.0
520,4,1.811064e-06,0.0
522,38,3.375614e-06,1681.0
527,31,3.039197e-06,741.0
529,32,2.912479e-06,625.0
530,28,3.27364e-06,2085.0
532,30,3.330317e-06,2161.0
533,17,1.815961e-06,630.0
535,41,3.148866e-06,436.0
539,41,2.804941e-06,158.0
540,14,2.658011e-06,737.0
541,43,3.339014e-06,1540.0
543,28,3.153051e-06,1223.0
545,31,3.332502e-06,1906.0
548,19,3.009507e-06,818.0
549,23,3.129909e-06,731.0
551,32,3.218802e-06,1192.0
552,22,2.935657e-06,770.0
554,34,3.209626e-06,2305.0
555,11,2.423264e-06,377.0
558,3,1.19247e-06,1179.0
559,29,3.125412e-06,959.0
566,43,3.135314e-06,1103.0
567,29,3.187807e-06,1037.0
579,36,3.273181e-06,1488.0
583,26,3.129624e-06,966.0
585,24,3.026011e-06,287.0
587,54,3.283152e-06,774.0
588,28,3.26475e-06,2435.0
589,27,3.033897e-06,1437.0
590,22,3.009457e-06,617.0
593,25,3.049683e-06,1503.0
594,15,2.644243e-06,2107.0
595,24,2.904249e-06,501.0
596,33,3.406346e-06,3474.0
598,33,3.059479e-06,465.0
599,31,3.248703e-06,2018.0
600,18,2.767878e-06,1253.0
602,20,2.692477e-06,1226.0
605,13,2.638655e-06,333.0
608,22,2.923776e-06,429.0
609,20,3.169952e-06,5217.0
610,32,3.5319e-06,10411.0
611,29,3.194563e-06,1247.0
619,19,2.753289e-06,1092.0
623,27,3.139733e-06,879.0
625,11,3.026669e-06,965.0
626,29,3.142625e-06,890.0
631,14,2.188828e-06,750.0
633,33,2.90508e-06,795.0
637,12,2.365143e-06,435.0
640,26,3.29814e-06,2487.0
641,17,2.692312e-06,969.0
645,6,1.843113e-06,52.0
646,26,2.882413e-06,277.0
656,79,2.94126e-06,12.0
659,36,3.439293e-06,2511.0
661,20,2.806849e-06,754.0
662,3,1.408347e-06,0.0
665,18,3.095477e-06,413.0
668,31,3.146886e-06,805.0
669,16,3.055228e-06,218.0
670,23,3.25611e-06,2548.0
671,31,3.300322e-06,2193.0
673,28,3.244932e-06,1625.0
674,61,2.768911e-06,40.0
676,32,2.977352e-06,901.0
683,39,3.126866e-06,518.0
685,9,2.168722e-06,165.0
693,39,3.143146e-06,787.0
695,36,3.207434e-06,1016.0
697,18,2.955976e-06,601.0
703,7,1.392883e-06,9.0
708,25,3.000871e-06,1146.0
711,24,3.23581e-06,2034.0
714,21,2.637516e-06,1402.0
717,23,3.068143e-06,1881.0
718,31,3.054619e-06,928.0
719,26,3.166614e-06,1119.0
720,26,2.891259e-06,857.0
721,17,2.18039e-06,233.0
722,25,3.113396e-06,989.0
723,23,3.247384e-06,2213.0
726,28,2.86983e-06,777.0
727,23,2.76627e-06,498.0
728,25,3.317814e-06,2261.0
729,18,2.98755e-06,627.0
732,33,3.126088e-06,901.0
734,38,3.218691e-06,844.0
736,21,3.03042e-06,1157.0
