id,degree,closeness,betweenness
1,63,7.987818e-07,662.0
2,60,9.884968e-07,15635.0
3,60,8.059212e-07,3583.0
4,56,9.251585e-07,4817.0
5,46,6.909831e-07,796.0
6,62,8.780296e-07,612.0
7,68,9.321357e-07,4715.0
8,57,8.655894e-07,1330.0
9,55,9.180383e-07,1199.0
10,44,9.529475e-07,2821.0
11,48,8.824853e-07,4249.0
12,62,9.3341e-07,4214.0
13,51,8.265215e-07,4876.0
14,65,8.568878e-07,814.0
15,51,9.198899e-07,1833.0
16,45,8.064322e-07,2225.0
17,64,9.266711e-07,1880.0
18,58,9.288297e-07,1838.0
19,40,8.982676e-07,2584.0
20,35,6.585006e-07,138.0
21,40,7.276085e-07,3095.0
22,46,8.651867e-07,3370.0
23,69,9.198018e-07,1272.0
24,52,9.429962e-07,3112.0
25,46,6.901857e-07,1044.0
26,59,8.388513e-07,808.0
27,53,9.501172e-07,4415.0
28,53,9.26061e-07,3751.0
29,54,8.480645e-07,3836.0
30,70,8.533015e-07,426.0
31,65,8.992849e-07,3748.0
32,57,9.466122e-07,3005.0
33,59,9.996568e-07,13650.0
34,58,9.346089e-07,4818.0
35,60,8.620905e-07,465.0
36,42,8.44809e-07,2413.0
37,40,7.259064e-07,842.0
38,62,9.454912e-07,5674.0
39,47,7.516404e-07,2423.0
40,36,9.0218e-07,1727.0
41,63,9.170281e-07,1686.0
42,42,7.16821e-07,2326.0
43,72,9.627695e-07,4381.0
44,58,9.373782e-07,2090.0
45,43,8.44654e-07,2460.0
46,36,7.693004e-07,1103.0
47,55,7.918082e-07,1798.0
48,51,9.345889e-07,3883.0
49,50,9.450759e-07,3630.0
50,62,9.618242e-07,6758.0
51,38,7.837977e-07,2379.0
52,47,8.94051e-07,4310.0
53,67,8.611684e-07,704.0
54,55,7.759355e-07,810.0
55,58,9.609116e-07,5826.0
56,49,7.614211e-07,2134.0
57,41,8.384812e-07,12748.0
58,60,9.568178e-07,2947.0
59,44,6.805356e-07,533.0
60,47,9.386909e-07,2639.0
61,49,9.563267e-07,2351.0
62,26,7.656163e-07,865.0
63,74,8.287664e-07,583.0
64,58,8.914036e-07,1293.0
65,60,9.323436e-07,4657.0
66,60,8.76235e-07,717.0
67,64,9.361996e-07,2033.0
68,50,9.09347e-07,2902.0
69,42,8.751595e-07,3009.0
70,34,8.436108e-07,2180.0
71,58,9.152977e-07,7634.0
72,92,9.044506e-07,551.0
73,46,8.315888e-07,8175.0
74,58,9.544889e-07,4161.0
75,56,8.732304e-07,2849.0
76,60,8.987478e-07,618.0
77,61,9.4549e-07,2610.0
78,47,7.097106e-07,1883.0
79,64,9.531908e-07,2215.0
80,34,8.425328e-07,2936.0
81,48,9.361351e-07,2507.0
82,64,9.625183e-07,2895.0
83,42,8.869247e-07,3734.0
84,47,8.405525e-07,7361.0
85,60,9.259923e-07,4362.0
86,50,8.712359e-07,1753.0
87,59,8.628752e-07,2447.0
88,49,9.486865e-07,10600.0
89,28,6.923415e-07,2130.0
90,65,7.427593e-07,804.0
91,51,8.560775e-07,2312.0
92,53,9.536694e-07,3966.0
93,51,8.85966e-07,2447.0
94,58,9.071545e-07,5040.0
95,48,7.128481e-07,3121.0
96,48,8.14766e-07,3190.0
97,79,8.973279e-07,737.0
98,51,8.728695e-07,1393.0
99,72,7.937021e-07,236.0
100,49,8.690041e-07,5428.0
101,70,9.871385e-07,6040.0
102,68,9.38721e-07,3000.0
103,51,8.034256e-07,287.0
104,43,7.730299e-07,4461.0
105,31,6.707134e-07,195.0
106,50,9.189122e-07,6615.0
107,57,9.492067e-07,5583.0
108,47,9.451169e-07,5170.0
109,45,8.254853e-07,2243.0
110,63,7.078803e-07,1410.0
111,46,8.363795e-07,3287.0
112,30,6.440616e-07,327.0
113,45,9.162912e-07,1203.0
114,66,9.53324e-07,3350.0
115,61,9.3456e-07,2295.0
116,63,8.688031e-07,431.0
117,46,8.923654e-07,965.0
118,51,9.141741e-07,4980.0
119,40,8.085879e-07,8282.0
120,32,7.20944e-07,176.0
121,68,8.309954e-07,147.0
122,58,9.866411e-07,6604.0
123,57,8.79065e-07,2400.0
124,51,9.372153e-07,3090.0
125,48,9.089264e-07,3211.0
126,56,9.182589e-07,2158.0
127,61,9.273351e-07,1857.0
128,53,9.531819e-07,4197.0
129,58,7.979259e-07,3096.0
130,49,9.225014e-07,3227.0
131,47,7.440069e-07,265.0
132,38,8.966831e-07,643.0
133,37,9.486357e-07,3234.0
134,55,9.695946e-07,8884.0
135,43,7.535601e-07,2397.0
136,69,9.299586e-07,2237.0
137,46,7.898714e-07,1750.0
138,50,7.63306e-07,4731.0
139,49,9.226923e-07,1691.0
140,58,8.516055e-07,6359.0
141,69,7.852877e-07,997.0
142,37,7.191577e-07,345.0
143,52,7.801354e-07,3740.0
144,68,9.229892e-07,2824.0
145,39,6.912663e-07,203.0
146,57,8.914066e-07,2027.0
147,49,8.348516e-07,4087.0
148,70,9.112757e-07,2380.0
149,51,8.619742e-07,3804.0
150,46,8.592137e-07,3402.0
151,48,9.585548e-07,6281.0
152,61,7.232772e-07,79.0
153,64,9.599266e-07,4215.0
154,52,7.866152e-07,2115.0
155,56,9.124648e-07,3554.0
156,55,8.797711e-07,4589.0
157,58,8.52964e-07,7525.0
158,29,8.572946e-07,1721.0
159,54,8.683744e-07,512.0
160,54,8.998483e-07,2148.0
161,43,7.930363e-07,3822.0
162,52,9.144623e-07,1579.0
163,61,9.454293e-07,1853.0
164,52,9.434513e-07,3042.0
165,57,8.595554e-07,451.0
166,49,9.816626e-07,6206.0
167,42,8.306192e-07,3845.0
168,52,9.326263e-07,3069.0
169,56,8.991192e-07,1323.0
170,51,7.667391e-07,6474.0
171,70,9.366622e-07,2801.0
172,64,9.479928e-07,6966.0
173,61,7.929263e-07,299.0
174,48,8.63051e-07,2877.0
175,32,7.171249e-07,852.0
176,63,8.75221e-07,768.0
177,65,8.164494e-07,618.0
178,65,9.568775e-07,2886.0
179,55,8.86732e-07,474.0
180,47,8.783693e-07,8786.0
181,56,8.182464e-07,1938.0
182,38,6.849438e-07,444.0
183,89,9.270179e-07,762.0
184,104,6.40761e-07,0.0
185,63,8.97509e-07,2393.0
186,55,8.436904e-07,1348.0
187,49,8.068533e-07,2460.0
188,72,9.232096e-07,819.0
189,60,9.639647e-07,5063.0
190,57,8.313848e-07,2364.0
191,61,9.085702e-07,5844.0
192,43,7.811566e-07,7416.0
193,69,9.614905e-07,4078.0
194,64,9.554244e-07,2396.0
195,50,9.012242e-07,6001.0
196,35,6.974451e-07,1142.0
197,47,9.10608e-07,22440.0
198,58,8.850403e-07,1465.0
199,57,9.196677e-07,2320.0
200,49,9.486289e-07,3565.0
201,37,7.897988e-07,1621.0
202,50,7.410178e-07,3177.0
203,53,9.27486e-07,3336.0
204,61,8.491482e-07,211.0
205,65,9.143651e-07,1160.0
206,70,9.380973e-07,2117.0
207,36,8.443821e-07,2820.0
208,58,9.29029e-07,3654.0
209,46,9.160106e-07,4506.0
210,57,8.662232e-07,1892.0
211,62,9.041063e-07,6066.0
212,63,8.888069e-07,3601.0
213,45,8.611933e-07,2189.0
214,61,9.419814e-07,1964.0
215,54,8.232512e-07,3109.0
216,67,9.233162e-07,857.0
217,63,8.905568e-07,967.0
218,48,7.779771e-07,5317.0
219,52,9.441631e-07,3091.0
220,64,9.424522e-07,2560.0
221,19,6.97758e-07,239.0
222,49,8.504901e-07,4801.0
223,69,9.516988e-07,2665.0
224,49,7.606206e-07,3305.0
225,59,9.670738e-07,4455.0
226,34,8.247212e-07,5655.0
227,23,7.410085e-07,1818.0
228,66,9.370854e-07,3695.0
229,54,8.690033e-07,2601.0
230,57,9.277794e-07,1711.0
231,83,7.928639e-07,97.0
232,59,9.503578e-07,4390.0
233,60,8.047718e-07,1955.0
234,53,8.985884e-07,1683.0
235,61,7.97903e-07,844.0
236,40,7.908335e-07,2952.0
237,44,6.951378e-07,202.0
238,56,9.336017e-07,3684.0
239,80,9.170963e-07,1698.0
240,49,9.533837e-07,8511.0
241,43,8.739766e-07,2856.0
242,53,9.425616e-07,8535.0
243,64,9.125759e-07,1419.0
244,51,7.152295e-07,10.0
245,59,9.454116e-07,2293.0
246,59,9.288423e-07,3192.0
247,66,9.67595e-07,4453.0
248,55,9.466492e-07,2878.0
249,48,8.967917e-07,4635.0
250,41,8.579487e-07,3100.0
251,50,7.232296e-07,1915.0
252,57,9.481714e-07,2892.0
253,76,7.201333e-07,84.0
254,49,8.519549e-07,6194.0
255,77,7.433676e-07,9.0
256,50,8.871803e-07,895.0
257,78,9.52187e-07,1181.0
258,66,9.830209e-07,7863.0
259,53,9.246431e-07,2730.0
260,49,9.210296e-07,10469.0
