Sample ID,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
AL-BN-2,34.0065,-87.2695,219.72,0.2424,0.1706,2.5868,6.321,4.019,24.7825,1631.6533,0.0709,3.3301,107.725,91.0448,17.316,0.0172,25.156,5.0548,9.4147,0.0657,125.95,9.5465,-1.3342,3.2963,7.9285,4.8933,0.7854,0.5053,64.678,3.3541,4.4481,12.2189,0.1858,1.0026
AL-BN-3,34.0142,-87.2635,209.85,0.2135,0.0681,0.964,5.756,2.6229,15.7502,1144.0518,0.0851,3.5724,40.1549,109.3611,16.1571,0.0511,38.2563,2.3021,7.1643,0.6517,125.95,9.5465,-1.3342,3.2963,9.1174,5.1682,0.8295,0.5262,63.5151,3.262,4.5037,12.1378,0.1434,0.7968
AL-TIH-3,33.2583,-87.0571,150.97,0.385,0.3116,7.6083,4.304,9.9457,225.3092,585.1188,0.1482,73.4263,77.5347,117.0637,349.4359,0.0643,33.4703,11.0434,38.7243,3.9698,154.6,10.7423,-0.1435,3.1302,1.3536,8.7898,3.193,0.1486,66.4173,4.6895,4.5921,7.6638,0.0021,3.1501
CA-BS-5,35.8301,-121.3431,360.6,0.0793,0.4144,6.7779,6.298,9.2867,16.0117,4193.4314,0.0,2.0757,196.4152,538.2986,36.7672,0.0261,69.0848,7.3413,7.188,0.8421,170.775,18.1735,-2.5645,3.1241,22.4978,2.2282,0.1025,0.007,46.6543,26.5842,1.6039,0.0,0.0004,0.3216
CA-MT-3,32.8271,-117.0522,80.21,0.015,0.2947,4.2806,6.255,6.3577,14.6104,1477.0355,0.0,1.3475,325.6419,134.1861,40.9549,0.0,69.307,1.7289,5.5286,0.6116,131.7,17.2935,5.1165,3.3852,0.423,9.9918,44.5214,0.1482,0.0489,40.1754,3.1795,0.0745,0.0166,1.4207
CA-YN-1,37.8811,-119.3399,2724.16,0.0147,0.1365,4.0142,5.018,3.8388,38.9934,48.4956,0.0,9.3202,13.5375,0.6975,4.0345,0.0,15.6452,0.0,0.5058,0.0,308.375,-3.9794,-16.4852,2.603,0.7088,0.6862,0.0464,5.1529,56.6054,30.2645,3.7145,0.0,0.0,2.8215
CO-MV-1,37.3314,-108.3824,2049.58,0.0221,0.0975,2.4179,7.998,2.7304,8.1738,31445.5265,0.0049,4.1382,349.9219,490.402,37.0857,0.043,143.6155,6.7903,27.0325,0.3185,37.7,2.3135,-14.4277,2.3131,0.2824,0.8655,1.3375,0.0183,30.4339,46.1846,11.5502,4.1734,4.4537,0.7005
ME-SM-1,44.9708,-68.5382,39.59,0.3628,0.2759,6.3465,4.358,7.2078,243.2719,324.7911,0.0,320.8441,59.1547,83.4849,32.3574,0.0,42.3412,14.0817,31.3803,2.0041,108.675,-1.2361,-11.2455,3.7951,1.4599,1.7765,1.8287,0.1629,59.556,0.7486,0.8143,0.3199,0.0176,33.3155
MN-BE-1,45.106,-93.027,279.58,0.2548,0.2824,4.6714,7.482,4.6823,3.0313,5560.6364,0.3405,3.0935,214.6611,307.5642,20.146,0.0342,70.336,30.273,12.747,13.0969,30.45,-6.5626,-15.7255,3.2215,16.9224,17.3977,22.0244,0.0325,13.1325,0.1036,0.7189,11.4195,3.8973,14.3513
MN-BE-2,45.1186,-93.028,280.86,0.3573,0.4759,7.001,7.311,6.9113,2.2765,7358.1551,0.2348,5.527,215.5917,357.168,28.2218,0.0451,108.3828,90.3428,20.4341,23.6287,30.45,-6.5626,-15.7255,3.2215,15.3721,15.4369,19.1069,0.0321,14.0292,0.1209,0.6637,12.8633,4.9969,17.3779
MN-BE-3,45.11,-93.0278,277.28,1.3486,2.1094,33.7896,7.103,32.5926,5.5153,15531.1344,0.0,5.5749,381.0977,1164.1948,30.9325,0.0,251.0671,365.2878,61.6369,55.8255,30.45,-6.5626,-15.7255,3.2215,16.6761,16.1879,20.5789,0.0321,13.3876,0.1211,0.6825,11.8859,4.2157,16.2322
MN-BE-4,45.1146,-93.0284,281.03,0.3253,0.2539,4.5464,7.473,4.9934,4.8078,5583.9972,1.238,6.0086,221.9395,193.5521,22.9121,0.0353,116.6686,17.294,17.2003,28.8442,30.45,-6.5626,-15.7255,3.2215,16.0407,15.562,19.5804,0.0321,13.9203,0.1257,0.7019,12.2904,4.6152,17.1312
NC-GSM-4,35.4844,-83.8381,707.26,1.0843,0.478,7.5004,5.396,11.0852,137.5845,1098.006,0.4162,24.2804,219.8493,232.2258,42.1056,0.2625,55.089,7.1522,16.3886,2.7404,173.575,7.7397,-3.0623,3.6666,2.9263,1.2952,0.1345,0.0548,95.0007,0.3064,0.0917,0.1326,0.0,0.0577
NM-CC1-1,32.1723,-104.3864,1113.97,0.0156,0.1475,4.186,7.738,2.3021,2.5946,30199.6908,0.1919,0.468,338.7619,283.7656,10.0427,0.1075,41.7837,8.8973,40.0647,0.3509,11.275,12.8277,-5.0394,2.9487,0.0034,1.4892,0.3487,0.0132,0.0,56.9518,40.7252,0.0,0.0,0.4685
NY-BM-2,42.4112,-76.5286,134.1,0.4978,0.4963,7.7779,5.505,10.1863,58.5778,2255.0876,0.0133,9.3912,198.4469,354.2559,39.871,0.028,35.6014,10.8573,14.1481,1.8806,130.8,1.1739,-6.6552,4.378,2.2729,7.6389,7.1181,0.1543,46.2938,1.145,0.3342,25.7664,4.3824,4.894
OR-DN-3,43.9519,-121.4197,1234.55,0.0695,0.1533,3.6228,6.364,5.5039,106.9109,2291.8458,0.1174,27.3299,279.2016,141.9308,29.3794,0.0465,67.6508,9.9038,5.6728,0.7777,17.475,3.2181,-9.0,3.0107,1.6281,4.5649,1.2489,0.4187,65.4826,23.186,1.7944,0.1601,0.0031,1.5131
OR-DN-5,43.9458,-121.4308,1236.51,0.1353,0.5761,23.0399,5.215,33.7819,84.3396,2427.4358,0.0833,31.1058,594.5395,552.4204,161.6815,0.0631,89.4032,29.2133,20.0802,6.6096,17.475,3.2181,-9.0,3.0107,1.3441,4.3847,0.9836,0.0711,70.4346,19.9231,1.8937,0.1931,0.0,0.7719
PA-AN-1,41.62,-79.1526,374.72,0.2742,0.1504,4.3917,3.783,6.1413,160.1402,53.4338,0.1246,246.693,28.1488,19.7873,4.1893,0.0586,39.7531,5.9812,25.7959,1.823,105.025,0.3752,-10.4358,4.2071,0.5301,3.5892,0.0455,0.0258,88.2499,3.887,0.7077,0.3173,0.0,2.6475
PA-SGL-4,40.7761,-77.9585,378.2,0.1805,0.1895,3.852,5.047,4.7776,108.2547,570.5851,0.0957,15.1439,39.3273,43.8225,70.0542,0.044,32.7437,6.8464,16.6541,1.2326,143.925,-0.4587,-7.841,3.9847,0.0586,7.5595,6.553,0.1327,60.3301,0.3213,0.2955,8.1807,16.4526,0.1159
TN-CS-2,36.3091,-83.9662,366.42,0.1719,0.1759,3.2451,4.478,4.4971,95.6284,364.3418,0.0199,19.2082,59.5587,54.9666,45.254,-0.0008,44.3693,5.3586,17.3544,0.8489,118.775,7.3716,-2.3616,3.682,18.1202,5.3649,1.0276,0.3978,61.9644,1.1663,3.7901,8.13,0.0092,0.0294
TX-BB-2,29.2534,-103.1715,1052.56,0.0896,0.0755,0.8817,8.052,1.7999,37.0076,5545.604,0.0009,0.4344,301.4978,141.6655,3.7222,0.0034,55.8132,6.775,6.3336,0.1234,18.675,13.5942,-1.34,2.7438,0.0,0.4989,0.1337,0.0371,3.7048,95.4397,0.1517,0.0,0.0,0.034
TX-BB-3,29.2533,-103.1687,1038.03,0.1022,0.1406,1.8545,7.943,3.0072,20.0175,15066.2091,0.0407,0.5242,314.3663,142.8445,6.4387,0.0239,70.078,10.6712,14.4051,0.1492,18.675,13.5942,-1.34,2.7438,0.0,0.4959,0.2122,0.0476,3.3356,95.7271,0.1475,0.0,0.0,0.034
TX-GCS-2,29.5499,-98.7643,312.12,0.3422,0.2005,2.8119,8.152,4.872,10.8959,11617.3231,0.0651,0.3047,663.5393,209.1221,2.4373,0.0401,31.2795,4.1107,8.4683,0.0889,37.075,15.6935,1.9519,2.8997,0.0319,7.8724,12.3576,0.5923,55.1802,14.6287,5.6984,0.0,3.6162,0.0222
