Sample ID,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
AL-BN-1,33.9963,-87.2721,200.81,0.2142,0.132,2.2062,5.1,3.5671,68.6579,719.6313,0.099,11.245,73.8579,71.2858,25.0665,0.055,41.0575,4.0451,10.577,0.8525,126.175,9.8061,-1.151,3.2748,7.0624,4.8273,0.7421,0.4861,63.4083,3.3323,4.4209,14.197,0.2426,1.2811
AL-BN-4,34.0181,-87.2597,164.27,0.209,0.1239,2.2925,6.954,3.0755,11.6151,4274.8988,0.0823,2.1391,68.9635,106.2814,31.6272,0.0259,30.4545,3.9043,9.6554,1.2933,125.95,9.5465,-1.3342,3.2963,10.475,5.0703,0.8143,0.6137,62.5905,3.3854,4.3148,11.8953,0.1152,0.7254
AL-CSP-3,33.4414,-85.8395,355.09,0.6326,0.2179,6.9944,4.788,14.0675,278.0488,419.9945,0.2473,38.336,59.9907,66.2614,77.7777,0.0406,40.6036,5.5241,12.5867,2.3151,178.2,9.9519,-1.0648,3.2556,0.2372,2.5205,0.0439,0.0134,91.5174,1.7424,1.8761,1.5894,0.0,0.4597
AL-CSP-4,33.4439,-85.8414,348.56,0.9942,0.3702,12.0164,4.161,61.09,248.6777,348.9973,0.0808,18.5318,73.0408,71.1784,100.8304,0.0398,46.4929,7.0866,25.4372,2.7015,178.2,9.9519,-1.0648,3.2556,0.241,2.7369,0.0575,0.0143,91.5785,1.6689,1.8459,1.4438,0.0,0.4133
AL-CSP-5,33.4517,-85.85,319.69,0.3294,0.1891,5.2622,4.508,7.3714,59.9707,263.2588,0.0583,32.2823,137.3742,71.5194,41.4951,0.0194,146.1116,8.4076,26.8569,3.7405,178.2,9.9519,-1.0648,3.2556,0.2124,2.3745,0.035,0.0155,92.2608,1.6685,1.8456,1.2991,0.0036,0.285
AL-OM-1,33.3367,-86.7408,166.79,0.4779,0.2209,4.7618,5.021,7.2373,120.5236,616.5903,0.0621,15.4205,86.3417,107.1221,155.7901,0.0443,27.1566,9.3319,27.1481,2.9381,173.85,11.0832,0.09,3.1822,1.1957,15.2978,16.3078,0.199,60.361,1.2673,1.7196,3.0719,0.0059,0.574
AL-OM-2,33.3348,-86.745,171.75,0.6317,0.4715,11.2526,4.77,15.7221,350.8469,556.5869,0.1653,17.2119,103.2879,73.2267,352.866,0.0858,37.9913,13.3819,50.1672,7.4915,173.85,11.0832,0.09,3.1822,1.2117,15.612,16.6892,0.1921,59.6038,1.2302,1.7506,3.1435,0.0073,0.5595
AL-OM-3,33.3411,-86.7381,178.5,0.5674,0.3373,7.707,4.464,10.8026,193.6764,529.743,0.3416,55.9627,101.9189,82.2581,330.769,0.0601,32.5584,13.911,42.0067,4.201,173.85,11.0832,0.09,3.1822,1.207,15.6655,16.9638,0.2076,59.357,1.2647,1.7012,3.0526,0.0059,0.5748
AL-OM-4,33.3451,-86.7299,188.07,0.4816,0.2316,6.5538,5.416,9.586,277.7182,953.3403,0.3991,37.5949,76.219,79.6141,148.6135,0.066,31.5792,7.2505,27.1153,3.2391,173.85,11.0832,0.09,3.1822,1.4181,15.8209,16.8788,0.216,59.0314,1.1802,1.7449,3.0987,0.0069,0.6041
AL-OM-5,33.3436,-86.7345,168.23,0.6168,0.4064,7.4142,5.872,10.3793,121.2031,2121.3049,0.1058,4.0984,164.3999,313.5546,163.9772,0.0482,33.8735,9.7837,28.0048,2.4636,173.85,11.0832,0.09,3.1822,1.2593,15.9222,17.1589,0.2156,58.8213,1.2285,1.7277,3.0817,0.0065,0.5783
AL-TIH-1,33.2473,-87.0671,128.91,0.1599,0.0943,1.8886,6.7,3.0568,5.975,1196.3214,0.047,0.9935,103.4498,164.6988,53.1582,0.0225,19.882,5.4851,8.8502,0.6645,155.275,10.7613,-0.2461,3.1084,1.34,8.916,2.5605,0.1639,66.8759,5.3508,4.4861,6.7835,0.0029,3.5203
AL-TIH-2,33.2506,-87.0625,162.94,0.536,0.3537,8.2669,5.321,12.6087,148.4847,1494.922,0.0711,16.7544,142.1045,320.6336,328.1941,0.058,37.4036,10.2248,29.1171,5.7345,154.6,10.7423,-0.1435,3.1302,1.338,8.8681,2.6471,0.1625,67.0981,5.0939,4.4784,6.9832,0.0027,3.3279
AL-TIH-4,33.2518,-87.0592,174.06,0.7337,0.6663,13.3043,5.949,18.1761,126.0744,4177.5375,0.1395,3.5852,209.7654,423.6747,297.4096,0.0621,49.1532,13.2592,29.5732,4.3411,154.6,10.7423,-0.1435,3.1302,1.363,8.6852,2.7309,0.1591,67.4094,4.9234,4.4104,7.1428,0.0027,3.1731
AL-TIH-5,33.2471,-87.0626,175.78,0.3767,0.2978,9.299,4.199,13.4356,119.6532,685.9433,0.4934,72.7777,70.9714,111.0401,45.3823,0.0681,55.1533,4.3879,23.3529,5.4748,155.275,10.7613,-0.2461,3.1084,1.327,8.6567,2.5198,0.1585,67.4483,5.1739,4.3543,6.796,0.0027,3.5628
AL-TN-1,33.1865,-86.1639,213.98,0.0977,0.0377,2.3679,8.102,1.6138,6.6814,19474.0196,0.1213,1.4952,31.5152,176.0474,7.874,0.0839,42.8319,0.9448,5.4489,0.2048,177.2,11.239,0.7319,3.2113,0.7215,4.9363,1.9352,0.0579,78.7139,3.3816,3.8882,4.6036,0.7333,1.0284
AL-TN-2,33.1864,-86.1561,206.61,0.2555,0.1342,2.7237,7.467,3.9538,9.6509,4634.623,0.0749,1.9487,70.8283,433.924,38.9282,0.0415,45.7144,3.4023,6.3374,0.4692,177.2,11.239,0.7319,3.2113,0.6239,4.651,1.6081,0.0493,79.0837,3.6693,4.5107,4.2156,0.5704,1.018
AL-TN-3,33.1909,-86.1508,226.48,0.1711,0.1292,4.8396,8.008,4.3042,3.5443,22815.165,0.1207,1.9451,74.9786,290.42,30.18,0.0893,41.1915,2.8692,8.845,0.5697,176.45,11.4965,0.7458,3.2195,0.7826,4.4152,1.3229,0.0468,78.7758,4.9539,4.013,4.1096,0.5971,0.9831
AL-TN-4,33.192,-86.1465,210.45,0.1291,0.1046,3.9313,7.877,5.3357,4.6107,18929.3644,0.0983,1.4089,67.2256,229.7329,17.6083,0.0752,36.2743,1.9665,5.8637,0.3008,176.45,11.4965,0.7458,3.2195,0.8351,4.1562,1.0125,0.0485,79.6775,4.4292,4.1481,3.9875,0.6147,1.0908
