Sample ID,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
CO-BL-1,39.9478,-104.7483,1554.24,0.0617,0.1091,1.204,7.691,1.5325,1.4666,444.9278,0.0,0.6258,278.7044,57.0835,2.8356,0.0,53.8893,18.1342,7.4002,0.2827,14.6,6.0574,-11.1335,4.6644,9.3119,8.9453,12.016,0.095,0.0682,0.6433,16.4679,1.8867,45.8754,4.6904
CO-BL-2,39.9458,-104.7464,1552.58,0.0706,0.0835,0.8818,7.054,1.3148,1.7157,320.8122,0.0,0.4717,187.096,43.2566,2.51,0.0,26.0987,9.3347,2.2424,0.8282,14.6,6.0574,-11.1335,4.6644,7.8231,8.8062,11.7383,0.0869,0.0682,0.5946,17.2491,2.0942,46.8129,4.7264
CO-HM-1,40.4231,-105.1597,1586.42,0.073,0.1429,2.0648,7.272,2.5114,3.8848,2196.4272,0.0186,0.3971,211.332,197.609,11.1489,0.0217,21.9329,6.7211,6.4208,0.241,7.325,5.579,-11.3858,4.7833,3.7574,7.9649,13.4819,0.0672,8.0278,27.7955,26.8036,2.4821,5.9236,3.6961
CO-HM-2,40.42,-105.1569,1580.18,0.0542,0.1263,1.3813,7.42,2.0413,1.533,529.5526,0.0,0.1156,121.9729,53.8986,2.0814,0.0,21.7551,1.127,1.2427,0.0,7.325,5.579,-11.3858,4.7833,4.016,8.2933,14.0557,0.0617,7.5041,26.6588,26.8913,2.6425,6.1157,3.761
CO-HM-4,40.4167,-105.1522,1556.1,0.0969,0.0748,3.452,7.395,1.8166,5.3796,3047.5171,0.0,0.1122,117.1783,82.7461,1.0978,0.0,31.7085,2.3279,532.2316,0.0,7.325,5.579,-11.3858,4.7833,4.4909,8.6648,14.9959,0.059,6.6846,25.1069,26.7793,2.7565,6.6061,3.8561
CO-HM-5,40.4144,-105.1525,1552.88,0.0956,0.1781,3.2228,7.797,2.9872,3.8104,21288.0744,0.0022,0.4651,401.9915,400.6314,11.7574,0.0554,50.9557,54.9721,42.1278,0.3671,7.325,5.579,-11.3858,4.7833,4.5731,8.5826,15.1138,0.0607,6.703,24.6782,26.6176,2.8788,6.549,4.2432
CO-LP-1,38.2905,-104.7837,1510.57,0.0366,0.0925,2.3321,8.163,1.4243,2.8646,39172.6338,0.0713,1.4099,496.9922,157.7563,18.392,0.0692,48.2138,21.2158,72.9484,1.5085,2.3,9.699,-6.1529,3.7948,6.9842,4.8088,7.7574,0.2254,0.1123,11.6366,67.8125,0.0,0.0002,0.6626
CO-MV-4,37.3452,-108.2128,2364.38,0.019,0.0935,3.3123,8.281,2.3945,10.3704,30556.1895,0.0,53.5041,179.2518,484.4588,36.7039,0.0397,217.6918,1.7638,9.4316,0.3382,46.475,0.9026,-15.6406,2.292,0.2573,0.6338,1.1065,0.131,60.2302,18.7385,12.078,4.4539,1.8838,0.487
IA-BC-1,41.8199,-93.7376,286.63,0.2174,0.2023,2.2855,6.99,3.54,4.98,2818.82,0.1,3.47,111.89,335.85,16.6,0.02,29.85,9.15,8.63,1.72,35.775,-2.9961,-12.8455,3.9809,9.3172,5.3653,3.0154,0.5242,9.0871,0.0143,3.2102,8.3181,58.624,2.5244
IA-BC-2,41.8135,-93.7352,282.28,0.1739,0.2068,2.066,6.9,3.5412,4.13,2322.4107,0.0677,1.2607,115.9761,306.8244,16.5374,0.0318,43.9672,10.9375,8.0232,0.7446,35.775,-2.9961,-12.8455,3.9809,10.1249,5.3824,2.9667,0.5793,9.3986,0.0168,2.8642,8.7916,57.0621,2.8134
