Sample ID,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
AZ-IF-2,32.3697,-111.3856,642.53,0.0271,0.0296,0.2633,7.965,0.9215,29.5152,2614.4253,0.9671,0.3253,272.9264,214.1962,2.7529,0.0359,38.0829,20.2917,4.0613,0.2309,32.925,16.6671,6.4148,2.5112,0.0,3.1427,0.4783,0.9938,0.0,85.117,7.866,0.0,2.0003,0.4019
AZ-IF-3,32.3723,-111.3922,647.61,0.0139,0.0266,0.1778,6.931,0.5535,17.2491,1097.7048,2.3095,0.3483,161.7994,158.4775,2.3771,0.0311,27.0562,15.3401,2.6532,0.4752,32.925,16.6671,6.4148,2.5112,0.0002,3.0369,0.454,1.058,0.0,86.7341,6.7087,0.0,1.6916,0.3165
AZ-IF-4,32.3697,-111.3993,654.63,0.0261,0.0229,0.1166,8.027,0.7545,20.567,1667.4665,0.6428,0.2388,240.4296,278.3674,0.7418,0.0315,35.3745,15.2124,2.5731,0.2047,32.925,16.6671,6.4148,2.5112,0.0002,2.7117,0.3963,1.0955,0.0,87.9268,6.1529,0.0,1.4101,0.3065
AZ-SD-4,32.8139,-112.2523,546.27,0.032,0.0268,0.4171,8.546,0.8748,27.0338,9391.8079,0.2108,0.2714,253.7365,160.6192,3.6233,0.0585,48.6446,26.136,11.9799,0.101,52.275,16.3897,1.4781,2.7218,0.0,0.5403,0.3567,1.7173,0.0,88.3255,9.0464,0.0,0.0,0.0138
AZ-SM-1,33.3404,-112.0873,453.47,0.0177,0.0794,0.7752,7.162,1.3238,14.2089,1611.6211,0.1649,0.4145,232.968,208.5457,5.979,0.0292,38.8153,20.0236,4.9279,0.6626,69.85,15.6081,1.6258,2.7361,0.2695,8.4022,26.2463,0.1131,0.0,56.7423,0.1883,0.1218,7.3776,0.5389
AZ-SM-3,33.344,-112.0581,712.87,0.0457,0.3008,2.8706,6.102,5.5024,12.8633,3490.6213,0.3408,1.3729,431.3683,433.2363,29.9002,0.0384,70.3665,22.053,15.6825,1.9752,79.1,15.4619,1.4445,2.7154,0.2084,8.5823,33.9387,0.0848,0.0,52.0518,0.1618,0.0974,4.6004,0.2743
AZ-TN-5,33.6926,-111.4586,889.54,0.0859,0.0474,0.6168,6.357,1.0484,12.596,1034.8451,0.244,0.8328,103.1027,183.8482,2.9833,0.0268,34.1761,6.9097,4.1301,0.7693,107.425,12.5045,0.8035,2.4714,0.0002,0.4358,0.0638,0.1331,1.2272,98.0822,0.0181,0.0,0.0,0.0397
CA-AN-1,34.2855,-118.222,659.93,0.0181,0.1081,1.9901,6.334,2.889,10.2353,2106.8643,0.0,1.3258,81.4901,155.7017,11.3232,0.0167,34.1282,4.5309,4.4753,0.2243,205.25,12.9606,1.0561,3.0308,0.0828,5.7628,7.1844,0.2087,1.115,79.773,5.5522,0.0,0.0006,0.3205
CA-AN-2,34.2831,-118.2104,721.85,0.0128,0.2324,2.6818,6.562,4.2861,15.7073,2219.7566,0.0,2.2364,127.6953,419.6163,35.2308,0.0241,49.7306,15.8004,9.8953,0.545,205.25,12.9606,1.0561,3.0308,0.0772,5.5043,7.2042,0.2074,1.4418,82.5962,2.7603,0.0,0.0006,0.208
CA-AN-5,34.2999,-118.1592,1012.68,0.0088,0.0658,1.0277,6.582,1.0401,12.1992,996.1079,0.0,2.0855,64.2243,52.1853,8.8608,0.0157,27.7113,10.4107,3.3396,0.4662,191.275,11.7061,0.0223,3.0272,0.0806,3.4334,1.0647,0.2544,2.5456,92.1577,0.3996,0.0,0.0,0.064
CA-JT-3,33.9794,-116.081,1349.61,0.0216,0.0318,0.368,7.582,0.228,8.0284,885.7515,0.0,0.3282,90.659,93.7177,4.164,0.0134,27.6311,26.766,2.3133,0.1609,133.975,10.5358,-4.0255,2.9792,0.0,0.6118,0.0835,0.0474,0.0382,77.3174,21.8979,0.0,0.0,0.0038
CA-LP-2,34.5024,-120.2128,384.89,0.0346,0.3178,3.5988,6.881,5.6367,5.7947,3683.4651,0.0,0.9023,287.1252,298.7073,18.1089,0.0231,67.8353,7.2564,6.8195,0.5423,190.225,15.2023,3.0465,3.0909,20.9149,2.2806,0.9497,0.0061,25.795,37.0071,12.5849,0.0604,0.1909,0.2104
CA-LP-3,34.5049,-120.2064,531.1,0.018,0.2118,3.9515,5.629,6.1024,23.4,1094.7096,0.0,2.4334,201.0221,280.571,44.1874,0.0197,48.3135,4.012,5.7771,0.5417,190.225,15.2023,3.0465,3.0909,19.6841,2.1589,0.9636,0.0055,27.2432,36.8474,12.6159,0.0602,0.2152,0.2059
CA-SR-2,33.5612,-116.516,1546.48,0.0096,0.0974,1.5437,6.437,1.8737,5.9715,494.2388,0.0,0.9105,48.8955,43.9331,5.4233,0.0,26.9581,0.7352,1.0305,0.0759,92.625,9.7574,-4.1926,3.0113,0.0019,2.345,0.4535,0.5009,16.6772,77.7456,2.148,0.0321,0.0,0.0958
CO-CS-1,38.6107,-104.6817,1640.63,0.2361,0.1864,2.166,7.8,2.7792,1.9719,1649.9658,0.0,0.3537,283.7148,102.3085,6.9439,0.0,48.9296,15.714,4.9096,0.0309,2.825,8.9077,-5.2045,3.9686,0.9545,3.2959,2.8583,0.0733,0.0317,9.5686,72.6556,0.0582,2.0562,8.4477
CO-LP-3,38.2779,-104.7797,1504.47,0.032,0.0921,2.3273,8.117,1.246,2.5667,41141.486,0.0704,1.504,458.1142,116.6838,16.8519,0.0624,48.1706,21.8569,101.0822,1.2337,2.3,9.699,-6.1529,3.7948,7.9111,3.9857,6.966,0.0798,0.1659,12.1137,67.998,0.0,0.0002,0.7796
CO-RNF-4,40.6992,-105.3147,1777.57,0.139,0.2257,2.7042,6.601,3.89,3.2591,2022.3809,0.0,0.934,241.9269,171.0181,9.2424,0.0,41.5411,12.4304,6.1263,0.5718,7.05,1.6074,-14.9568,4.8436,0.1664,0.6908,0.2564,0.0046,21.3803,34.4315,41.4271,0.0468,0.1286,1.4676
