Sample ID,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
AR-BG-4,36.1417,-94.1246,393.4,0.311,0.3576,5.64,6.737,7.5478,3.9611,3094.139,0.0192,2.5754,175.4358,315.4629,81.1282,0.0224,32.1792,15.7686,14.8686,1.8081,56.3,8.5587,-2.8939,3.5777,2.3028,12.4834,25.8322,0.3056,23.6479,0.221,0.6415,34.3377,0.0004,0.2275
CO-LS-3,37.608,-104.8288,1952.12,0.0994,0.0581,0.9022,8.092,1.6861,24.5444,13600.2566,0.07,1.6103,342.1277,546.4871,16.8017,0.0315,102.0029,4.0783,16.7391,0.0847,13.425,4.7774,-12.6665,3.56,2.7238,3.0462,2.2526,0.0,7.9408,42.9791,39.6911,0.0596,0.4212,0.8855
DE-WC-2,39.7226,-75.7402,79.8,0.2645,0.2261,2.6841,6.062,5.4784,43.2503,1185.3194,0.0526,4.0256,103.0839,352.2144,24.9337,0.0188,32.0529,3.4287,10.7206,0.6323,154.775,5.5935,-3.0594,3.9721,0.1645,22.3127,22.3486,0.0623,33.5957,1.0573,0.2837,13.0514,3.8197,3.304
ID-SFP-3,42.5977,-114.3834,1105.6,0.0233,0.289,2.9537,6.699,4.4021,6.9388,3109.093,0.0681,1.1148,428.9984,368.1915,21.7071,0.0302,55.5275,24.6075,10.5771,0.4562,18.5,1.7077,-10.691,3.0162,2.5446,6.4789,9.853,0.0191,0.0285,13.2294,29.5014,2.817,35.3726,0.1555
IN-RH-1,40.4046,-87.0719,197.8,0.1634,0.0854,1.9563,5.861,2.9445,15.3131,1121.7635,0.0184,1.8809,78.5808,182.9893,19.6148,0.0023,22.2776,3.753,6.0887,0.7108,66.575,-0.0061,-10.269,4.0621,1.8745,3.4965,1.551,0.0485,22.8875,0.0363,0.7037,7.5328,59.1659,2.7033
IN-RH-2,40.4051,-87.0697,166.09,0.1759,0.1972,4.2865,7.69,3.7731,3.1608,6815.0529,0.0696,1.4157,103.7307,206.9086,18.2777,0.0122,28.0858,230.7853,9.8318,1.7163,66.575,-0.0061,-10.269,4.0621,1.9763,3.5632,1.6318,0.0518,22.9255,0.0388,0.7188,7.542,58.6936,2.858
IN-RH-3,40.4084,-87.0705,204.95,0.1506,0.0949,1.7357,5.753,2.6867,35.7895,761.8175,0.0446,12.3246,61.6694,214.1157,8.3937,-0.0006,26.4438,2.434,6.6352,0.7538,66.575,-0.0061,-10.269,4.0621,1.6164,3.7882,1.8704,0.0506,22.3106,0.0388,0.6977,8.2045,59.2682,2.1546
IN-RH-5,40.4091,-87.079,204.28,0.3958,0.275,3.5206,6.328,5.0501,7.0181,2683.1096,0.0596,6.6681,228.7652,352.3629,15.2717,-0.0012,35.5643,26.3316,13.4391,1.7633,66.575,-0.0061,-10.269,4.0621,1.1797,3.6929,1.7762,0.0325,20.0438,0.034,0.6289,7.3923,63.4906,1.729
IN-TR-1,41.1176,-86.5857,216.32,0.2216,0.2436,3.7104,6.124,4.8589,59.9124,1698.5886,0.074,4.0448,45.4693,272.3103,23.8471,0.0309,23.585,7.4029,13.6242,1.8367,62.875,-0.0071,-10.3652,4.1387,0.4441,4.3062,1.985,0.051,24.5323,0.0267,0.771,0.6656,59.6608,7.5573
IN-TR-4,41.134,-86.5917,214.37,0.1192,0.1412,2.3237,5.506,2.9207,38.2291,612.2672,0.0209,7.6467,38.5051,154.2148,23.5362,0.0246,19.0656,5.8933,9.3347,1.6232,61.125,-0.1148,-10.1965,4.1377,1.2758,4.0781,2.0133,0.042,24.4957,0.0275,0.9107,0.9113,56.0017,10.2439
