Sample ID,Latitude,Longitude,Elevation (m),Moisture,Total nitrogen (%),Total carbon (%),pH,Organic matter (%),Aluminum (mg/Kg),Calcium (mg/Kg),Copper (mg/Kg),Iron (mg/Kg),Potassium (mg/Kg),Magnesium (mg/Kg),Manganese (mg/Kg),Molybdenum (mg/Kg),Sodium (mg/Kg),Phosphorus (mg/Kg),Sulfur (mg/Kg),Zinc (mg/Kg),Precipitation (mm),Max temperature (C),Min temperature (C),Wind speed (m/s),Open water (%),Developed (< 20% Impervious) (%),Developed (> 20% Impervious) (%),Barren (%),Forest (%),Shrubland (%),Grassland (%),Cropland (%),Pasture (%),Wetland (%)
CA-BS-2,35.841,-121.3393,504.09,0.0605,0.6062,10.5634,5.876,18.0596,34.4413,3646.4004,0.0,5.5039,265.0492,656.5814,62.5467,0.032,81.5461,11.9332,12.3395,1.2827,170.775,18.1735,-2.5645,3.1241,17.7507,1.8924,0.0986,0.0067,48.4452,29.9763,1.5822,0.0,0.0004,0.2475
CO-RNF-2,40.6931,-105.3108,1750.17,0.1659,0.298,3.6207,6.542,4.4695,2.0153,2193.0276,0.0,0.9769,299.8152,193.0251,10.8393,0.0,44.2917,26.3164,6.9067,0.8312,6.825,1.8571,-14.7365,4.8824,0.1978,1.0107,0.3062,0.0046,22.1815,31.4238,43.0953,0.0951,0.32,1.365
CT-UF-4,41.8236,-72.2357,95.49,0.2852,0.309,5.0993,4.848,5.9429,230.8168,126.7116,0.0,57.0065,53.1462,35.6719,37.4289,0.0007,38.787,7.7777,26.1249,1.0125,223.025,2.1235,-6.1719,6.6524,1.6152,6.4755,3.9847,0.2483,71.3985,0.6,0.5859,4.1499,1.2315,9.7105
FL-BS-3,29.8537,-81.8772,27.47,0.0986,0.0987,1.3927,6.38,1.6832,10.5163,719.4009,0.0224,0.454,14.8472,67.0166,18.8279,0.0187,22.5967,8.0272,4.2364,3.4421,90.475,18.9903,7.7352,3.7957,1.5103,5.1092,0.7547,0.3826,52.1154,11.8252,5.9379,6.5782,0.0537,15.7326
FL-BS-4,29.85,-81.8759,27.56,0.1418,0.1553,2.2763,5.182,4.1389,31.2157,643.7668,0.0306,1.2957,32.7354,77.1362,12.6037,0.0284,33.9743,4.4199,9.5368,0.5522,90.475,18.9903,7.7352,3.7957,1.5168,5.3872,0.8393,0.3626,51.2291,11.6146,6.0437,6.4866,0.0701,16.45
FL-BS-5,29.8442,-81.8767,27.68,0.0747,0.077,1.0724,6.392,1.2401,3.8082,650.9343,0.0096,0.4623,16.9653,61.9986,10.4857,0.0195,15.8914,6.4341,3.7715,0.6622,90.475,18.9903,7.7352,3.7957,1.5236,5.754,0.8044,0.401,51.2285,11.363,5.9226,6.7709,0.1394,16.0926
FL-ON-5,29.6828,-82.1997,25.58,0.0858,0.0634,1.4315,4.601,1.8868,7.602,269.2432,0.0516,0.5875,12.4228,30.4288,2.0624,0.0188,24.5194,2.4251,2.4243,1.3509,77.3,19.2374,8.3439,3.4907,8.4672,3.8202,2.1415,0.0621,47.3623,11.2626,2.3998,6.0116,0.0604,18.4124
FL-PC-3,26.2248,-80.1901,2.87,0.0664,0.0609,0.9296,6.125,1.0948,3.0068,485.5813,0.0502,0.7607,7.5437,54.5527,0.8651,0.022,27.2437,2.4172,2.4249,0.4962,74.825,23.68,15.5968,3.5561,3.1187,17.6835,69.7794,0.1135,0.1203,0.1522,0.4703,0.0019,0.4189,8.1413
FL-WP-3,29.5571,-82.6077,18.72,0.068,0.0578,1.2286,6.293,1.6257,31.2294,568.768,0.025,4.3869,13.0629,28.6957,1.6001,0.0229,15.1587,5.4729,3.7908,0.4268,80.125,19.0206,8.2894,3.386,1.1008,4.179,1.6295,0.3473,28.5466,9.6415,6.7637,33.1053,9.1577,5.5285
FL-WP-4,29.5692,-82.6076,17.02,0.0852,0.1491,2.6351,5.56,1.8103,36.3886,384.9575,0.1794,7.3196,6.173,16.5381,1.429,0.0236,26.3178,1.0767,3.8258,3.4978,80.625,18.86,8.1668,3.3871,0.6202,4.4402,1.7775,0.2588,27.5053,9.0384,5.9702,36.3112,9.6442,4.4341
FL-WP-5,29.5622,-82.6081,20.61,0.0428,0.0506,0.6776,6.736,0.6259,7.4289,633.0369,0.0493,0.5185,5.388,13.3894,0.2747,0.02,22.4435,6.0757,1.8668,0.1602,80.125,19.0206,8.2894,3.386,0.6184,4.3083,1.6485,0.2618,27.5823,9.4867,6.5403,35.4714,9.2165,4.8658
GA-SCN-2,33.978,-83.3833,183.0,0.4038,0.2536,2.736,4.907,7.1091,40.4158,908.7955,0.2775,33.2753,70.3504,181.1483,98.4472,0.0403,53.5176,4.3576,15.7118,2.8633,195.7,11.0503,-0.0661,3.4281,0.7591,18.5361,25.1326,0.4244,36.9437,0.3051,1.3039,10.1506,0.1331,6.3115
ID-MN-4,43.2519,-116.3857,703.67,0.1257,0.0506,1.1209,8.407,0.7902,7.1197,10626.6201,0.0777,1.3149,572.1545,264.3411,19.9925,0.0485,92.4784,64.4659,22.2837,0.1643,39.7,2.4216,-9.339,3.2569,1.9624,0.7281,0.0919,0.0,0.0,37.017,53.8268,0.2007,6.0928,0.0803
ID-MN-5,43.2549,-116.3886,708.45,0.0256,0.0929,0.9615,7.88,1.3344,8.716,2687.9899,0.0534,0.6557,410.6787,214.5422,11.8767,0.022,43.5966,82.1082,8.7063,0.1821,39.7,2.4216,-9.339,3.2569,1.7971,0.7263,0.0846,0.0,0.0,36.9638,54.1914,0.2036,5.9534,0.0798
