,All taxa
AL-BN-2,7.491156520709184
AL-BN-3,6.881781363337832
AL-TIH-3,6.652734882765578
CA-BS-5,7.467561618795274
CA-MT-3,6.924988310648513
CA-YN-1,6.277628977970869
CO-MV-1,7.263351196284702
ME-SM-1,5.917145922251317
MN-BE-1,7.1521494142845405
MN-BE-2,7.3107231546787155
MN-BE-3,7.047577793626105
MN-BE-4,7.3605772844333
NC-GSM-4,6.923355086494639
NM-CC1-1,6.57625602405129
NY-BM-2,7.241189055155987
OR-DN-3,7.024231107583281
OR-DN-5,6.357428483192923
PA-AN-1,5.770324167356232
PA-SGL-4,6.533871368503701
TN-CS-2,6.553024503179801
TX-BB-2,6.731080325449071
TX-BB-3,6.673938894586661
TX-GCS-2,6.704584317440212
