,All taxa
CO-BL-1,7.267740057164884
CO-BL-2,7.099691387930043
CO-HM-1,6.867057995546267
CO-HM-2,7.168787031886589
CO-HM-4,4.920050497893805
CO-HM-5,7.29781223224802
CO-LP-1,6.96785867704387
CO-MV-4,2.510003377139537
IA-BC-1,7.259985173212497
IA-BC-2,7.040391074782507
IA-BC-3,6.6834613012217305
IA-BC-5,6.876024430082751
IA-CB-1,6.771401003077289
IA-CB-2,5.231377745229158
IA-CB-3,6.93350483943729
IA-CB-4,7.336777509208226
IA-CB-5,6.79430126094198
IA-CS-2,6.904531906255427
IA-CS-3,7.131162751492824
IA-CS-4,7.326007641008345
IA-CS-5,7.220319290902278
IA-RR-2,6.95993121927008
IA-RR-3,7.369736491228587
IA-RR-4,7.200325074766002
IA-RR-5,7.096402567774996
ID-BN-3,7.401350302296917
ID-BN-5,6.351754877627883
ID-MN-2,6.91349720390178
IL-CL-1,7.265398313095808
IL-CL-3,6.211474229307207
IL-CL-5,6.423257007788396
IL-LW-2,7.029990786483131
IL-LW-3,6.641125646052635
IL-LW-4,6.961931385878151
IL-LW-5,7.22697820001755
IN-TR-2,6.320880499278084
IN-TR-3,7.445560009305938
KS-MS-2,7.614801096273393
KS-MS-5,6.55079785267418
MN-BR-1,7.174088888854515
MN-BR-3,6.89359831331815
MN-BR-4,7.491502019890846
MN-BR-5,6.364075267060028
MN-FL-4,6.57794780166378
MO-CSP-4,7.132386300898011
MO-CSP-5,4.946277382174066
MT-CG-1,6.957799627880516
MT-CG-3,7.177481082570286
MT-CG-4,6.861091884341641
MT-CG-5,6.513051440960943
MT-GNF-2,7.038879597983291
MT-GNF-4,6.921124126107816
MT-LTR-1,7.090243910249321
MT-LTR-2,7.256850284617134
MT-LTR-4,6.875189535289001
MT-LTR-5,6.860932909392516
MT-PC-1,7.026693234907956
MT-PC-3,7.415904099158052
MT-PC-4,7.379738300971102
MT-TP-2,6.846151367369223
MT-TP-3,6.888313713609152
MT-UTR-2,6.9582889338355525
MT-UTR-4,7.227180887404718
MT-UTR-5,7.334386543919834
ND-AN-1,7.22406363814538
ND-AN-2,7.358000390498594
ND-AN-3,6.223191306440712
ND-AN-4,6.835765515478289
ND-AN-5,7.003296454798089
ND-ER-5,7.135051521953247
ND-KS-1,6.572788371098357
ND-KS-2,7.505805666365741
ND-KS-3,7.233175213082221
ND-KS-4,7.271258187035185
ND-KS-5,7.316191791075592
ND-LI-5,6.7899204148411325
ND-LL-3,7.474233532037691
ND-LL-4,7.68807189473445
ND-LL-5,7.643218325131939
ND-LN-1,6.729818451188658
ND-LN-4,6.976513687183467
ND-LN-5,7.031689203645707
ND-LZ-1,6.821026198308112
ND-LZ-2,6.926858063730454
ND-LZ-5,7.173409849639678
ND-WL-1,6.77923501985227
ND-WL-2,7.217222094919902
ND-WL-3,5.016083093833201
ND-WL-4,7.087486973788666
ND-WL-5,7.18501080436462
NM-OM-1,6.795135469980132
OK-MP-1,7.102280817320414
OK-MP-2,6.814709512666115
OK-MP-3,6.756312446631636
OK-MP-5,6.843757492156617
SD-AS-2,7.422536374843969
SD-AS-3,7.754617932681739
SD-AS-4,6.519301819562275
SD-AS-5,7.351040212787931
SD-BN-1,7.128377115588744
SD-BN-2,7.104746900998142
SD-BN-4,7.364393831182079
SD-DN-1,7.955113090609448
SD-DN-3,6.916097361744966
SD-DN-4,7.048317689358476
SD-DN-5,7.292254747566347
SD-LH-3,7.389035673711315
SD-LH-4,7.609472632137504
SD-LH-5,7.008355753462505
SD-OL-1,6.981984522507873
SD-OL-2,7.503447173647958
SD-OL-5,6.983939904931384
SD-SS-1,7.485073006157954
SD-SS-2,7.583184419892213
SD-SS-3,7.57343383806882
SD-SS-4,7.759037279504259
SD-SS-5,7.800686831790433
TX-CB-1,7.296536373764492
TX-CB-2,7.363488325905856
TX-CB-4,7.35517584740561
TX-GCS-4,6.9572467823703
UT-CG-2,6.944368105679788
UT-CG-3,7.130773226705792
WY-BH-1,6.714883673765241
WY-BH-3,7.135530597008276
WY-BH-4,7.176161284837347
WY-BH-5,7.090813337150716
WY-BN-2,7.443526490449974
WY-BN-5,7.492431349999181
WY-TB-1,6.973352046787563
WY-TB-2,7.189616661049729
WY-TB-3,7.134323319600436
WY-TB-5,7.445390206895582
WY-YN-5,6.490375250049223
