,All taxa
AZ-IF-2,6.630203870197654
AZ-IF-3,6.71559456652085
AZ-IF-4,6.001072486836092
AZ-SD-4,6.495875378650634
AZ-SM-1,6.464513507083666
AZ-SM-3,6.359563993482012
AZ-TN-5,6.884806145162953
CA-AN-1,6.434429715881549
CA-AN-2,5.985327201236478
CA-AN-5,6.618251784165095
CA-JT-3,6.293387660812444
CA-LP-2,7.239197421848961
CA-LP-3,7.33839706584379
CA-SR-2,6.906968777612915
CO-CS-1,7.465327855323785
CO-LP-3,7.040462455003745
CO-RNF-4,7.115873027657925
CO-SP-5,7.148323481528192
ID-BD-4,7.103561398356929
ID-MN-1,6.60196066153011
ID-MN-3,6.809980268261925
NM-CC1-5,6.510469466620807
NM-CC2-1,6.671849087731308
NM-EB-2,6.612415759099733
NM-EB-3,6.865908477258058
NM-OM-4,6.5952356091959405
NM-SAN-1,6.829617606108062
NM-SAN-2,7.019000935460847
NV-LM-1,6.006631719229641
NV-LM-2,6.616788168751821
NV-LM-5,5.614576196089388
TX-BB-1,6.835982062267535
TX-CR-1,7.537602631480365
TX-CR-3,7.138883535145042
TX-CR-4,7.7490020194449825
TX-CR-5,7.843147539430949
TX-GCS-1,6.982005686616264
TX-GCS-3,6.770819428152283
TX-PDC-3,6.738663154901484
TX-PDC-4,6.769338038317045
UT-BD-1,6.494300124502688
UT-BD-4,5.911879080942053
UT-BD-5,6.174980976888339
