,All taxa
AR-BG-4,7.34495165722662
CO-LS-3,6.969061097720147
DE-WC-2,7.427180005952993
ID-SFP-3,6.833739936087631
IN-RH-1,6.85243105108314
IN-RH-2,6.968269792256503
IN-RH-3,7.004293868865097
IN-RH-5,7.401116353757308
IN-TR-1,6.887058584007948
IN-TR-4,6.860001838539675
IN-TR-5,7.201087387676568
MI-HN-2,5.7751929942796005
MI-HN-4,6.522100283815295
MI-HN-5,5.879620013587386
MN-MH-1,6.503684481802608
MN-MH-2,5.3113764818336
MN-MH-3,7.550852404068122
MN-MH-4,7.004892595169366
MN-MH-5,7.318224112419091
OH-KPW-3,7.610588209236208
OH-KPW-5,6.982422302248988
OR-DN-1,7.064338155585591
SD-BN-5,7.456635484643723
UT-DN-2,6.397678578136798
WA-KB-1,6.895425279408349
WA-KB-4,7.456720716949101
WA-KB-5,6.786800810490129
WA-SB-2,7.169151378492096
WA-SB-4,7.2439049078983375
WA-SB-5,7.098797841385866
