,All taxa
CA-BS-2,7.295313038150727
CO-RNF-2,7.231686956235112
CT-UF-4,6.645587815932515
FL-BS-3,7.20720496518911
FL-BS-4,6.896491156543237
FL-BS-5,7.285850095858251
FL-ON-5,6.800112808824279
FL-PC-3,6.95808035886205
FL-WP-3,6.945319994592652
FL-WP-4,6.826712747298226
FL-WP-5,7.358240993892239
GA-SCN-2,6.93515043417885
ID-MN-4,6.77046443832988
ID-MN-5,6.792330529698766
IL-LW-1,7.061779684414735
LA-JW-1,7.572902399386699
LA-LO-4,6.8444079689246085
MD-AEC-6,7.213980723507356
MD-AEC-7,6.9455318868560045
MN-SD-2,6.4714760387172285
ND-ER-1,6.784704021495717
ND-LN-2,5.71747884505277
NJ-MC-3,6.320052193165277
NJ-MC-4,6.957156621178348
NJ-MC-5,7.023661422683165
NY-BM-1,7.756790705024746
OH-CV-1,7.097023449500211
OH-CV-3,7.926498889253153
OR-SF-1,6.033271835777264
PA-AN-2,5.9230336383804
PA-AN-3,5.6238357908584256
PA-AN-4,5.51711877596038
PA-AN-5,5.56963204508024
PA-RC-5,7.696828504809392
PA-SGL-1,7.801140803931372
PA-SGL-3,6.762680528136946
SD-DN-2,6.6329386874979175
TX-AB-1,7.204691599222474
TX-AB-2,7.406204342838647
TX-AB-4,7.5586682092674735
TX-AB-5,5.855608796423127
UT-FN-3,7.262084513610981
UT-FN-4,7.457293061006911
UT-SLC-3,7.072624228321307
UT-SLC-4,6.0239626744613615
UT-SLC-5,7.40772203416028
