index,k__Bacteria;__;__,k__Bacteria;p__;c__,k__Bacteria;p__AD3;c__ABS-6,k__Bacteria;p__AD3;c__JG37-AG-4,k__Bacteria;p__Acidobacteria;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,k__Bacteria;p__Acidobacteria;c__BPC102,k__Bacteria;p__Acidobacteria;c__DA052,k__Bacteria;p__Acidobacteria;c__PAUC37f,k__Bacteria;p__Acidobacteria;c__RB25,k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__Solibacteres,k__Bacteria;p__Acidobacteria;c__Sva0725,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],k__Bacteria;p__Acidobacteria;c__iii1-8,k__Bacteria;p__Actinobacteria;__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Actinobacteria;c__MB-A2-108,k__Bacteria;p__Actinobacteria;c__Nitriliruptoria,k__Bacteria;p__Actinobacteria;c__OPB41,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,k__Bacteria;p__Armatimonadetes;c__0319-6E2,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,k__Bacteria;p__Armatimonadetes;c__OPB50,k__Bacteria;p__Armatimonadetes;c__SJA-176,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],k__Bacteria;p__BHI80-139;c__,k__Bacteria;p__BRC1;c__PRR-11,k__Bacteria;p__Bacteroidetes;c__Bacteroidia,k__Bacteria;p__Bacteroidetes;c__Cytophagia,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia,k__Bacteria;p__Bacteroidetes;c__[Saprospirae],k__Bacteria;p__Chlamydiae;c__Chlamydiia,k__Bacteria;p__Chlorobi;c__,k__Bacteria;p__Chlorobi;c__BSV26,k__Bacteria;p__Chlorobi;c__OPB56,k__Bacteria;p__Chlorobi;c__SJA-28,k__Bacteria;p__Chloroflexi;__,k__Bacteria;p__Chloroflexi;c__,k__Bacteria;p__Chloroflexi;c__Anaerolineae,k__Bacteria;p__Chloroflexi;c__C0119,k__Bacteria;p__Chloroflexi;c__Chloroflexi,k__Bacteria;p__Chloroflexi;c__Ellin6529,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__Chloroflexi;c__SAR202,k__Bacteria;p__Chloroflexi;c__SHA-26,k__Bacteria;p__Chloroflexi;c__TK10,k__Bacteria;p__Chloroflexi;c__TK17,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,k__Bacteria;p__Chloroflexi;c__[Thermobacula],k__Bacteria;p__Cyanobacteria;__,k__Bacteria;p__Cyanobacteria;c__4C0d-2,k__Bacteria;p__Cyanobacteria;c__Chloroplast,k__Bacteria;p__Cyanobacteria;c__ML635J-21,k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Cyanobacteria;c__Oscillatoriophycideae,k__Bacteria;p__Elusimicrobia;c__Elusimicrobia,k__Bacteria;p__FBP;c__,k__Bacteria;p__FCPU426;c__,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Firmicutes;c__Clostridia,k__Bacteria;p__GAL15;c__,k__Bacteria;p__Gemmatimonadetes;c__,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,k__Bacteria;p__Gemmatimonadetes;c__Gemm-3,k__Bacteria;p__Gemmatimonadetes;c__Gemm-5,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Nitrospirae;c__Nitrospira,k__Bacteria;p__Planctomycetes;__,k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5,k__Bacteria;p__Planctomycetes;c__BD7-11,k__Bacteria;p__Planctomycetes;c__C6,k__Bacteria;p__Planctomycetes;c__OM190,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,k__Bacteria;p__Planctomycetes;c__Pla3,k__Bacteria;p__Planctomycetes;c__Pla4,k__Bacteria;p__Planctomycetes;c__Planctomycetia,k__Bacteria;p__Planctomycetes;c__vadinHA49,k__Bacteria;p__Proteobacteria;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,k__Bacteria;p__TM6;c__SBRH58,k__Bacteria;p__TM6;c__SJA-4,k__Bacteria;p__TM7;c__SC3,k__Bacteria;p__Verrucomicrobia;c__,k__Bacteria;p__Verrucomicrobia;c__Opitutae,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__WPS-2;c__,k__Bacteria;p__WS2;c__SHA-109,k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__[Thermi];c__Deinococci
AL-BN-1,8,0,13,0,0,4,299,263,0,59,0,0,4,55,0,101,10,0,47,389,24,0,0,8,436,0,0,6,0,0,0,0,0,0,4,4,25,54,0,0,0,0,0,0,0,0,2,5,24,0,49,0,0,0,29,0,0,0,0,3,2,0,0,0,0,0,0,0,43,5,0,0,0,0,0,0,14,16,0,0,0,0,0,13,0,0,350,0,8,1019,503,139,79,0,0,0,0,0,0,0,11,692,25,0,4,0
AL-BN-2,2,0,1,0,0,6,553,82,0,23,7,0,2,12,2,137,11,0,40,469,40,0,0,5,598,2,0,7,0,0,0,0,1,0,6,0,15,124,9,0,0,0,0,0,0,6,21,0,104,7,22,10,0,1,45,0,8,0,0,0,2,2,0,0,0,0,0,0,111,0,0,0,19,0,0,0,14,14,0,0,0,0,0,13,0,0,259,0,22,954,256,241,169,0,2,0,0,7,3,0,23,341,0,0,14,0
AL-BN-3,0,0,0,0,0,0,859,87,0,19,7,0,15,0,17,316,32,0,42,645,24,0,0,4,438,3,0,0,0,0,0,0,0,0,0,0,17,23,0,0,0,0,0,0,0,6,0,0,123,0,12,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,49,9,0,0,13,0,0,0,0,65,0,0,0,0,0,32,0,0,398,0,12,852,191,102,110,0,0,0,0,4,0,0,6,351,0,0,8,0
AL-BN-4,3,0,0,0,0,0,750,0,0,0,0,0,15,40,37,338,20,0,27,284,51,0,0,48,372,2,0,0,0,0,0,0,0,0,36,6,3,85,0,0,0,0,0,0,0,43,8,10,87,0,0,4,0,0,25,0,23,0,0,0,4,0,5,0,0,0,0,4,39,3,0,0,30,0,0,0,0,40,0,4,0,0,8,5,3,0,251,0,20,918,335,212,193,0,0,0,0,9,10,0,14,73,0,0,3,0
AL-CSP-3,44,0,15,3,0,20,18,518,0,235,0,0,0,96,0,6,12,0,14,323,0,0,0,0,163,0,0,3,0,0,0,0,0,0,3,0,17,46,6,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,24,0,0,0,0,21,0,0,0,0,9,0,0,0,51,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,582,0,0,1408,199,208,229,0,10,0,0,27,0,16,46,399,19,0,0,0
AL-CSP-4,34,0,0,0,0,0,37,642,0,189,0,0,0,82,11,0,0,0,18,508,0,0,0,0,223,0,0,0,0,0,0,0,0,0,3,0,28,50,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,7,0,50,0,0,0,0,0,0,0,4,0,0,0,0,0,0,36,0,0,423,0,0,1524,83,102,268,0,10,0,0,14,0,18,100,263,57,0,0,0
AL-CSP-5,72,0,0,0,0,0,44,511,0,19,0,0,0,81,0,0,0,0,36,1552,0,0,0,0,188,0,2,0,0,0,0,0,0,0,0,4,45,142,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,81,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,165,0,0,950,49,68,465,0,4,0,0,0,0,11,0,74,87,0,0,0
AL-OM-1,3,0,9,6,0,0,218,174,0,57,0,0,0,17,0,60,10,0,40,611,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,7,18,44,0,0,0,0,0,0,0,2,0,5,31,0,50,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,278,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,670,0,0,1178,249,204,215,0,0,0,6,0,0,7,12,363,25,0,0,0
AL-OM-2,3,0,0,14,0,0,36,292,0,63,0,0,0,50,0,9,0,0,49,837,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,15,0,0,0,0,37,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,558,0,0,1453,122,173,149,0,7,0,0,0,0,12,23,420,61,0,0,0
AL-OM-3,4,0,3,14,0,0,130,320,0,97,0,0,0,24,0,22,0,0,69,879,0,0,0,0,455,0,0,0,0,0,0,0,0,0,13,5,26,27,0,0,0,0,0,0,0,0,0,0,16,0,24,0,0,0,27,0,0,0,0,11,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,574,0,0,1137,138,168,196,0,0,0,0,7,0,3,17,449,33,0,0,0
AL-OM-4,6,0,43,10,0,8,197,219,0,54,0,0,0,24,0,84,11,0,40,750,0,0,0,0,252,0,0,0,0,0,0,0,0,0,13,0,0,17,0,1,0,0,0,0,0,5,0,0,16,0,70,0,0,0,23,0,2,0,0,0,0,0,0,0,10,0,0,0,129,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,520,0,0,1261,176,165,187,0,0,0,14,7,0,4,20,501,31,0,0,0
AL-OM-5,0,0,0,0,0,0,572,44,0,13,0,0,0,0,23,166,22,0,93,712,0,0,0,0,395,0,0,0,0,0,0,0,0,0,26,12,0,37,0,0,0,0,0,0,0,17,0,0,35,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,17,0,6,0,0,0,10,0,0,376,0,1,1320,160,131,153,0,0,0,0,0,5,0,0,419,5,0,0,0
