Sample ID,Ecosystem_recode
NC-GSM-1,Forest/Woodland
NC-GSM-2,Forest/Woodland
NC-GSM-3,Forest/Woodland
NC-GSM-4,Barren
NC-GSM-5,Forest/Woodland
MD-AEC-1,Wetland
MD-AEC-4,Wetland
MD-AEC-5,Wetland
MD-AEC-6,Wetland
MD-AEC-7,Wetland
TX-LL-1,Forest/Woodland
TX-LL-2,Forest/Woodland
TX-LL-3,Unknown
TX-LL-4,Unknown
TX-LL-5,Forest/Woodland
TX-CR-1,Shrubland
TX-CR-2,Herbaceous
TX-CR-3,Shrubland
TX-CR-4,Shrubland
TX-CR-5,Shrubland
TX-MC-1,Forest/Woodland
TX-MC-2,Forest/Woodland
TX-MC-3,Forest/Woodland
TX-MC-4,Forest/Woodland
TX-MC-5,Forest/Woodland
NC-CMSP-1,Forest/Woodland
NC-CMSP-2,Forest/Woodland
NC-CMSP-3,Forest/Woodland
NC-CMSP-4,Forest/Woodland
NC-CMSP-5,Forest/Woodland
TX-GCS-1,Shrubland
TX-GCS-2,Barren
TX-GCS-3,Shrubland
TX-GCS-4,Herbaceous
TX-GCS-5,Unknown
TX-DP-1,Forest/Woodland
TX-DP-2,Forest/Woodland
TX-DP-3,Forest/Woodland
TX-DP-4,Forest/Woodland
TX-DP-5,Forest/Woodland
OR-MD-1,Forest/Woodland
OR-MD-2,Forest/Woodland
OR-MD-3,Forest/Woodland
OR-MD-4,Forest/Woodland
CO-RNF-1,Shrubland
CO-RNF-2,Wetland
CO-RNF-3,Shrubland
CO-RNF-4,Shrubland
CO-RNF-5,Wetland
WY-BB-1,Unknown
WY-BB-2,Steppe/Savanna
WY-BB-3,Shrubland
WY-BB-4,Shrubland
WY-BB-5,Wetland
CA-YNP-1,Forest/Woodland
CA-YNP-2,Forest/Woodland
CA-YNP-3,Forest/Woodland
CA-YNP-4,Forest/Woodland
CA-YNP-5,Wetland
CO-HM-1,Herbaceous
CO-HM-2,Herbaceous
CO-HM-3,Herbaceous
CO-HM-4,Herbaceous
CO-HM-5,Herbaceous
MO-CSP-1,Forest/Woodland
MO-CSP-2,Herbaceous
MO-CSP-3,Forest/Woodland
MO-CSP-4,Herbaceous
MO-CSP-5,Herbaceous
OR-SN-1,Forest/Woodland
OR-SN-2,Forest/Woodland
OR-SN-3,Forest/Woodland
OR-SN-4,Forest/Woodland
OR-SN-5,Forest/Woodland
CA-DE-1,Steppe/Savanna
CA-DE-2,Shrubland
CA-DE-3,Shrubland
CA-DE-4,Shrubland
CA-DE-5,Shrubland
NC-CNF-1,Forest/Woodland
NC-CNF-2,Forest/Woodland
NC-CNF-3,Forest/Woodland
NC-CNF-4,Forest/Woodland
NC-CNF-5,Forest/Woodland
OH-WN-1,Forest/Woodland
OH-WN-2,Wetland
OH-WN-3,Forest/Woodland
OH-WN-4,Forest/Woodland
OH-WN-5,Forest/Woodland
IN-TR-1,Steppe/Savanna
IN-TR-2,Herbaceous
IN-TR-3,Herbaceous
IN-TR-4,Steppe/Savanna
IN-TR-5,Steppe/Savanna
OH-CV-1,Wetland
OH-CV-2,Forest/Woodland
OH-CV-3,Wetland
OH-CV-4,Forest/Woodland
OH-CV-5,Forest/Woodland
PA-AN-1,Barren
PA-AN-2,Wetland
PA-AN-3,Wetland
PA-AN-4,Wetland
PA-AN-5,Wetland
AL-OM-1,Forest/Woodland
AL-OM-2,Forest/Woodland
AL-OM-3,Forest/Woodland
AL-OM-4,Forest/Woodland
AL-OM-5,Forest/Woodland
AR-BG-1,Forest/Woodland
AR-BG-2,Forest/Woodland
AR-BG-3,Forest/Woodland
AR-BG-4,Steppe/Savanna
AR-BG-5,Forest/Woodland
AR-FR-1,Forest/Woodland
AR-FR-2,Forest/Woodland
AR-FR-3,Forest/Woodland
AR-FR-4,Forest/Woodland
AR-FR-5,Forest/Woodland
AR-LL-1,Forest/Woodland
AR-LL-2,Forest/Woodland
AR-LL-3,Forest/Woodland
AR-LL-4,Forest/Woodland
AR-LL-5,Forest/Woodland
