index,k__Bacteria;__,k__Bacteria;p__,k__Bacteria;p__AD3,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__BHI80-139,k__Bacteria;p__BRC1,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chlorobi,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__FBP,k__Bacteria;p__FCPU426,k__Bacteria;p__Fibrobacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__GAL15,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Nitrospirae,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__TM6,k__Bacteria;p__TM7,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__WPS-2,k__Bacteria;p__WS2,k__Bacteria;p__WS3,k__Bacteria;p__[Thermi]
AL-BN-1,8,0,13,795,904,6,0,0,87,0,0,109,5,0,0,0,0,48,0,14,16,363,1748,0,0,703,25,0,4,0
AL-BN-2,2,0,1,835,1152,9,0,1,145,9,0,224,4,0,0,0,0,111,0,33,14,272,1642,2,0,374,0,0,14,0
AL-BN-3,0,0,0,1352,1153,3,0,0,40,0,0,171,0,0,0,0,0,58,0,13,65,430,1267,0,0,361,0,0,8,0
AL-BN-4,3,0,0,1200,782,2,0,0,130,0,0,200,9,0,0,0,4,42,0,30,40,271,1678,0,0,106,0,0,3,0
AL-CSP-3,44,0,18,905,500,3,0,0,66,6,0,60,21,9,0,0,0,51,0,5,0,595,2044,10,0,488,19,0,0,0
AL-CSP-4,34,0,0,961,749,0,0,0,81,0,0,20,74,0,0,7,0,50,0,4,0,459,1977,10,0,395,57,0,0,0
AL-CSP-5,72,0,0,655,1776,2,0,0,191,11,2,0,17,0,0,0,0,86,0,0,0,195,1532,4,0,85,87,0,0,0
AL-OM-1,3,0,15,536,990,0,0,0,69,0,0,111,0,0,0,2,0,278,0,0,5,678,1846,0,0,388,25,0,0,0
AL-OM-2,3,0,14,450,1159,0,0,0,32,0,0,67,37,0,0,0,0,113,0,0,0,566,1897,7,0,455,61,0,0,0
AL-OM-3,4,0,17,593,1403,0,0,0,71,0,0,67,11,0,0,0,0,75,0,0,0,578,1639,0,0,476,33,0,0,0
AL-OM-4,6,0,53,597,1042,0,0,0,30,0,1,116,0,10,0,0,0,129,0,8,0,520,1789,0,0,546,31,0,0,0
AL-OM-5,0,0,0,840,1200,0,0,0,75,0,0,80,0,0,0,0,0,118,0,0,17,392,1765,0,0,424,5,0,0,0
AL-TIH-1,4,0,0,858,1359,0,0,0,98,0,0,167,1,0,0,0,0,74,0,37,78,206,1004,0,0,386,0,0,3,0
AL-TIH-2,4,0,2,656,1025,21,0,0,48,0,0,89,7,0,0,0,0,30,0,16,6,619,1734,2,0,673,13,0,0,0
AL-TIH-3,2,0,2,607,1065,5,0,0,33,6,0,50,0,4,0,2,0,31,0,11,11,824,1657,14,0,559,7,0,0,0
AL-TIH-4,3,0,8,832,1131,0,0,0,47,0,0,126,0,0,0,0,0,56,0,51,0,607,1649,0,0,381,8,0,0,0
AL-TIH-5,2,0,41,675,1416,11,0,0,28,0,0,15,17,1,0,0,0,7,0,7,0,609,1605,14,0,331,101,0,0,0
AL-TN-1,0,0,0,1275,1112,26,0,0,43,0,0,419,0,0,0,0,0,16,0,43,45,445,1026,0,0,0,0,0,8,11
AL-TN-2,0,0,0,888,1055,0,0,0,87,0,0,319,0,0,0,0,2,31,0,38,48,307,1865,0,0,79,0,0,17,0
AL-TN-3,4,0,0,806,906,11,0,0,44,0,3,283,0,0,0,0,0,71,0,39,52,632,1734,0,0,69,0,0,8,0
AL-TN-4,0,0,0,1195,1038,32,0,0,44,0,3,465,4,0,0,0,0,37,0,68,29,345,1463,0,0,53,0,0,9,0
AL-TN-5,4,0,17,633,1710,0,0,0,46,0,0,153,8,0,0,0,6,35,0,76,0,346,1673,0,0,133,29,0,2,0
AR-BG-2,2,0,0,644,1110,0,0,0,125,0,0,173,0,0,0,0,3,255,0,2,48,195,1181,0,0,349,0,0,0,0
AR-BG-3,0,0,0,895,1274,5,0,0,66,0,2,244,0,0,0,0,0,245,0,9,48,210,1202,1,0,410,0,0,18,0
AR-BG-4,0,0,0,888,1279,0,0,0,151,0,3,265,0,0,0,0,0,186,0,28,38,336,1386,0,0,175,0,0,0,0
AR-BG-5,5,3,0,830,1229,4,0,4,136,0,0,324,0,0,0,0,2,235,0,21,27,235,1317,0,0,230,0,0,0,0
AR-FR-1,3,0,0,1360,602,0,0,3,84,0,3,131,0,0,0,0,0,62,0,34,116,318,1707,5,0,129,0,0,8,0
AR-FR-2,0,0,0,1291,839,1,0,3,56,0,0,242,0,0,0,0,0,37,0,20,122,347,1009,0,0,158,0,0,38,0
AR-FR-3,0,0,0,1244,867,0,0,0,35,0,0,168,0,0,0,0,3,50,0,37,110,227,1548,0,0,219,0,0,0,0
AR-FR-4,0,0,0,1366,818,2,0,0,32,0,0,217,0,0,0,0,0,32,0,8,141,238,748,0,0,175,0,0,32,0
AR-FR-5,0,0,0,1601,552,7,0,0,34,0,0,156,0,2,0,0,2,37,0,13,188,196,686,0,0,240,0,0,32,0
AR-LL-1,5,0,12,696,1364,3,0,0,38,0,0,126,6,0,0,0,0,97,0,5,9,449,1293,0,0,582,35,0,0,0
