OTUs,Phylum,Class,Order,Family,Genus,Species
OTU_1,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
OTU_2,Actinobacteria,Thermoleophilia,Solirubrobacterales,Patulibacteraceae,NA,NA
OTU_3,Elusimicrobia,Elusimicrobia,Elusimicrobiales,NA,NA,NA
OTU_4,Chloroflexi,Thermomicrobia,JG30-KF-CM45,NA,NA,NA
OTU_5,WPS-2,NA,NA,NA,NA,NA
OTU_6,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
OTU_7,Proteobacteria,Alphaproteobacteria,SphingomoNAdales,SphingomoNAdaceae,Kaistobacter,NA
OTU_8,Chloroflexi,Ellin6529,NA,NA,NA,NA
OTU_9,Chlorobi,NA,NA,NA,NA,NA
OTU_10,Planctomycetes,Phycisphaerae,WD2101,NA,NA,NA
OTU_11,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,NA,NA
OTU_12,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,NA
OTU_13,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,NA,NA
OTU_14,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Ellin517,NA,NA
OTU_15,WS3,PRR-12,LD1-PA13,NA,NA,NA
OTU_16,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,NA,NA
OTU_17,Proteobacteria,Gammaproteobacteria,XanthomoNAdales,Sinobacteraceae,NA,NA
OTU_18,Acidobacteria,Chloracidobacteria,PK29,NA,NA,NA
OTU_19,Verrucomicrobia,Pedosphaerae,Pedosphaerales,Ellin517,NA,NA
OTU_20,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,NA
OTU_21,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,NA,NA
OTU_22,Planctomycetes,Phycisphaerae,CPla-3,NA,NA,NA
OTU_23,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,NA,NA
OTU_24,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,NA,NA
OTU_25,Planctomycetes,Phycisphaerae,WD2101,NA,NA,NA
OTU_26,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,NA
OTU_27,Gemmatimonadetes,Gemm-1,NA,NA,NA,NA
OTU_28,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
OTU_29,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,NA,NA
OTU_30,Proteobacteria,Gammaproteobacteria,XanthomoNAdales,XanthomoNAdaceae,StenotrophomoNAs,rhizophila
OTU_31,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,NA,NA
OTU_32,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,NA,NA
OTU_33,Actinobacteria,MB-A2-108,0319-7L14,NA,NA,NA
OTU_34,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,JG37-AG-70,NA
OTU_35,Proteobacteria,Betaproteobacteria,Ellin6067,NA,NA,NA
OTU_36,Chloroflexi,Thermomicrobia,Ellin6537,NA,NA,NA
OTU_37,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,NA
OTU_38,Acidobacteria,S035,NA,NA,NA,NA
OTU_39,AD3,JG37-AG-4,NA,NA,NA,NA
OTU_40,WS3,PRR-12,Sediment-1,NA,NA,NA
OTU_41,Armatimonadetes,ChthonomoNAdetes,SJA-22,NA,NA,NA
OTU_42,WPS-2,NA,NA,NA,NA,NA
OTU_43,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,NA,NA
OTU_44,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,NA,NA
OTU_45,Acidobacteria,iii1-8,DS-18,NA,NA,NA
OTU_46,Proteobacteria,Deltaproteobacteria,Entotheonellales,Entotheonellaceae,NA,NA
OTU_47,Gemmatimonadetes,Gemm-3,NA,NA,NA,NA
OTU_48,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
OTU_49,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,NA
OTU_50,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,NA,NA
OTU_51,Actinobacteria,MB-A2-108,0319-7L14,NA,NA,NA
OTU_52,Proteobacteria,Gammaproteobacteria,XanthomoNAdales,Sinobacteraceae,NA,NA
OTU_53,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,NA,NA
OTU_54,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodomicrobium,vannielii
OTU_55,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
OTU_56,NA,NA,NA,NA,NA,NA
OTU_57,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,NA
OTU_58,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,A17,NA
OTU_59,NA,NA,NA,NA,NA,NA
OTU_60,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,NA
OTU_61,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,NA,NA
OTU_62,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,NA
OTU_63,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,NA,NA
OTU_64,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,ANAeromyxobacter,NA
OTU_65,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,NA
OTU_66,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,NA
OTU_67,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
OTU_68,Proteobacteria,Betaproteobacteria,MND1,NA,NA,NA
OTU_69,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,NA
OTU_70,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA,NA
OTU_71,Proteobacteria,Deltaproteobacteria,Entotheonellales,Entotheonellaceae,NA,NA
OTU_72,Planctomycetes,Phycisphaerae,Phycisphaerales,NA,NA,NA
OTU_73,Chloroflexi,TK10,B07_WMSP1,NA,NA,NA
OTU_74,Chloroflexi,ANAerolineae,GCA004,NA,NA,NA
OTU_75,Actinobacteria,Thermoleophilia,Gaiellales,NA,NA,NA
OTU_76,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
OTU_77,Proteobacteria,Gammaproteobacteria,Marinicellales,Marinicellaceae,NA,NA
OTU_78,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,NA,NA
OTU_79,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,A17,NA
OTU_80,Gemmatimonadetes,GemmatimoNAdetes,Ellin5290,NA,NA,NA
OTU_81,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,NA,NA
OTU_82,Chloroflexi,S085,NA,NA,NA,NA
OTU_83,Acidobacteria,Solibacteres,Solibacterales,NA,NA,NA
OTU_84,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,NA
OTU_85,Gemmatimonadetes,GemmatimoNAdetes,GemmatimoNAdales,Ellin5301,NA,NA
OTU_86,Proteobacteria,Gammaproteobacteria,PseudomoNAdales,PseudomoNAdaceae,PseudomoNAs,umsongensis
OTU_87,Acidobacteria,Solibacteres,Solibacterales,NA,NA,NA
OTU_88,Actinobacteria,MB-A2-108,0319-7L14,NA,NA,NA
OTU_89,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,NA,NA
OTU_90,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
OTU_91,Actinobacteria,MB-A2-108,0319-7L14,NA,NA,NA
OTU_92,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,NA,NA
OTU_93,Proteobacteria,Deltaproteobacteria,Myxococcales,NA,NA,NA
OTU_94,Actinobacteria,Actinobacteria,Actinomycetales,Cryptosporangiaceae,Cryptosporangium,NA
OTU_95,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,NA,NA
OTU_96,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,NA,NA
OTU_97,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,NA,NA
OTU_98,Proteobacteria,Alphaproteobacteria,Rhodospirillales,NA,NA,NA
OTU_99,Acidobacteria,DA052,Ellin6513,NA,NA,NA
OTU_100,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,NA
OTU_101,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,NA,NA
OTU_102,Armatimonadetes,0319-6E2,NA,NA,NA,NA
OTU_103,Cyanobacteria,Chloroplast,Stramenopiles,NA,NA,NA
OTU_104,AD3,ABS-6,NA,NA,NA,NA
OTU_105,Actinobacteria,Actinobacteria,Actinomycetales,NA,NA,NA
OTU_106,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,NA,NA
OTU_107,Gemmatimonadetes,GemmatimoNAdetes,Ellin5290,NA,NA,NA
OTU_108,Chloroflexi,C0119,NA,NA,NA,NA
OTU_109,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rhodocytophaga,NA
OTU_110,Acidobacteria,Solibacteres,Solibacterales,NA,NA,NA
OTU_111,Proteobacteria,Alphaproteobacteria,SphingomoNAdales,SphingomoNAdaceae,Kaistobacter,NA
OTU_112,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,NA,NA
OTU_113,Verrucomicrobia,Pedosphaerae,Pedosphaerales,NA,NA,NA
OTU_114,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,NA,NA
OTU_115,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,NA
OTU_116,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Shimazuella,NA
OTU_117,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,NA,NA
OTU_118,Actinobacteria,OPB41,NA,NA,NA,NA
OTU_119,Gemmatimonadetes,GemmatimoNAdetes,Ellin5290,NA,NA,NA
OTU_120,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,NA,NA
OTU_121,Chloroflexi,TK10,B07_WMSP1,FFCH4570,NA,NA
OTU_122,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,NA,NA
OTU_123,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,NA,NA
OTU_124,WS3,PRR-12,Sediment-1,NA,NA,NA
OTU_125,Planctomycetes,Phycisphaerae,WD2101,NA,NA,NA
OTU_126,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,NA
OTU_127,Chloroflexi,Thermomicrobia,JG30-KF-CM45,NA,NA,NA
OTU_128,Proteobacteria,Betaproteobacteria,MND1,NA,NA,NA
OTU_129,Chloroflexi,Ellin6529,NA,NA,NA,NA
OTU_130,Proteobacteria,Gammaproteobacteria,XanthomoNAdales,XanthomoNAdaceae,PseudoxanthomoNAs,NA
OTU_131,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Flavisolibacter,NA
OTU_132,Proteobacteria,Deltaproteobacteria,Entotheonellales,Entotheonellaceae,Candidatus Entotheonella,NA
OTU_133,Acidobacteria,Chloracidobacteria,24-Nov,NA,NA,NA
OTU_134,Acidobacteria,Acidobacteria-6,iii1-15,NA,NA,NA
OTU_135,Actinobacteria,Thermoleophilia,Solirubrobacterales,NA,NA,NA
OTU_136,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,NA
OTU_137,Chloroflexi,Chloroflexi,AKIW781,NA,NA,NA
OTU_138,Proteobacteria,Gammaproteobacteria,XanthomoNAdales,XanthomoNAdaceae,Luteibacter,rhizovicinus
OTU_139,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA,NA
OTU_140,Planctomycetes,Phycisphaerae,WD2101,NA,NA,NA
OTU_141,Actinobacteria,MB-A2-108,0319-7L14,NA,NA,NA
OTU_142,Actinobacteria,Thermoleophilia,Solirubrobacterales,Conexibacteraceae,NA,NA
OTU_143,WPS-2,NA,NA,NA,NA,NA
OTU_144,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Cupriavidus,NA
OTU_145,Chloroflexi,Ktedonobacteria,Thermogemmatisporales,Thermogemmatisporaceae,NA,NA
OTU_146,TM6,SJA-4,NA,NA,NA,NA
OTU_147,Planctomycetes,Phycisphaerae,WD2101,NA,NA,NA
OTU_148,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,NA,NA
OTU_149,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,NA
OTU_150,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA
OTU_151,Actinobacteria,Acidimicrobiia,Acidimicrobiales,NA,NA,NA
OTU_152,Planctomycetes,Planctomycetia,Gemmatales,Isosphaeraceae,NA,NA
OTU_153,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,NA
OTU_154,Chloroflexi,C0119,NA,NA,NA,NA
OTU_155,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Sporocytophaga,NA
OTU_156,Chloroflexi,Chloroflexi,HerpetosiphoNAles,NA,NA,NA
OTU_157,Chloroflexi,ANAerolineae,SBR1031,oc28,NA,NA
OTU_158,Proteobacteria,Gammaproteobacteria,XanthomoNAdales,XanthomoNAdaceae,Lysobacter,NA
OTU_159,Proteobacteria,Alphaproteobacteria,SphingomoNAdales,SphingomoNAdaceae,Kaistobacter,NA
OTU_160,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,NA
OTU_161,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,NA,NA
OTU_162,Acidobacteria,iii1-8,DS-18,NA,NA,NA
OTU_163,Chloroflexi,ANAerolineae,SBR1031,A4b,NA,NA
