0319-6A21 0319-6G20 211ds20 5B-12 A4b Acetobacteraceae Acidobacteriaceae Actinospicaceae Actinosynnemataceae AK1AB1_02E AKIW874 AlcaligeUnassignedceae Alicyclobacillaceae AlteromoUnassigneddaceae ArdenscateUnassignedceae ArmatimoUnassigneddaceae AUnassignederoliUnassignedceae auto67_4W Bacillaceae Bacteriovoracaceae BdellovibrioUnassignedceae Beijerinckiaceae Bogoriellaceae Bradyrhizobiaceae Bryobacteraceae Burkholderiaceae C111 Caldilineaceae Caulobacteraceae CellulomoUnassigneddaceae Chitinophagaceae Chlamydiaceae Chthoniobacteraceae ChthonomoUnassigneddaceae Clostridiaceae ComamoUnassigneddaceae Conexibacteraceae Coxiellaceae Cryomorphaceae Cryptosporangiaceae CV106 Cyclobacteriaceae Cystobacteraceae Cytophagaceae Deinococcaceae Desulfobulbaceae Dolo_23 EB1003 EB1017 Ellin515 Ellin517 Ellin5301 Ellin6075 Enterobacteriaceae Entotheonellaceae Erythrobacteraceae Euzebyaceae FFCH4570 FFCH7168 FimbriimoUnassigneddaceae Flavobacteriaceae Frankiaceae FW Gaiellaceae Gemmataceae GemmatimoUnassigneddaceae Geobacteraceae Geodermatophilaceae Gracilibacteraceae Haliangiaceae HalomoUnassigneddaceae HTCC2089 Hyphomicrobiaceae HyphomoUnassigneddaceae Iamiaceae Intrasporangiaceae Isosphaeraceae Kineosporiaceae koll13 Koribacteraceae Kouleothrixaceae Ktedonobacteraceae Lachnospiraceae Legionellaceae Marinicellaceae mb2424 Methylobacteriaceae Methylocystaceae Microbacteriaceae Micrococcaceae Micromonosporaceae Microthrixaceae mitochondria MND4 Moraxellaceae Mycobacteriaceae Myxococcaceae NB1-i NitrosomoUnassigneddaceae Nitrospiraceae Nocardiaceae Nocardioidaceae Nostocaceae oc28 OM27 OM60 OPB35 Opitutaceae Oxalobacteraceae Paenibacillaceae Parachlamydiaceae Patulibacteraceae Pedosphaeraceae Peptococcaceae Peptostreptococcaceae Phormidiaceae Phycisphaeraceae Phyllobacteriaceae Pirellulaceae Piscirickettsiaceae Planctomycetaceae Planococcaceae Polyangiaceae Promicromonosporaceae PRR-10 PseudomoUnassigneddaceae Pseudonocardiaceae R4-41B RB40 Rhizobiaceae Rhodobacteraceae Rhodobiaceae Rhodospirillaceae Rubrobacteraceae Ruminococcaceae S47 Saprospiraceae Sinobacteraceae SJA-101 Solibacteraceae Solirubrobacteraceae Sphingobacteriaceae SphingomoUnassigneddaceae Sporichthyaceae Sporolactobacillaceae Streptomycetaceae Streptosporangiaceae Symbiobacteriaceae Syntrophobacteraceae Thermoactinomycetaceae Thermobaculaceae Thermogemmatisporaceae Thermomonosporaceae Trueperaceae Turicibacteraceae UD5 Unassigned Unassignedkamurellaceae Unassignednnocystaceae Verrucomicrobiaceae Weeksellaceae Williamsiaceae Xanthobacteraceae XanthomoUnassigneddaceae
AL.BN.1 16 0 0 0 0 77 110 5 0 0 0 0 9 0 0 0 0 0 10 0 0 0 0 230 0 318 0 0 35 3 51 0 692 4 5 77 159 0 0 0 0 0 19 4 0 0 0 9 19 11 0 10 29 0 6 0 0 0 0 0 4 13 0 128 131 0 0 10 0 6 0 0 414 0 0 12 160 0 0 153 5 26 0 0 0 20 4 17 11 22 35 0 0 0 0 99 5 0 0 0 0 35 0 0 0 0 0 0 54 13 0 26 0 0 0 0 0 13 36 5 21 0 9 0 0 13 27 0 13 12 0 0 105 8 0 0 3 35 0 39 14 25 57 0 0 21 0 0 30 0 0 13 7 0 0 0 995 0 0 0 0 0 10 26
AL.BN.2 14 0 0 0 2 42 29 0 0 0 0 2 10 0 0 0 0 8 25 0 5 4 0 166 8 50 9 3 15 1 121 0 341 7 0 79 6 0 0 0 0 0 20 6 0 0 30 0 31 7 0 8 69 0 0 0 0 0 0 0 0 10 0 204 149 0 3 0 0 24 0 4 438 0 0 28 53 0 0 53 0 9 0 5 0 31 2 0 9 15 69 0 0 0 0 96 3 1 0 0 0 81 0 0 0 4 0 7 21 20 9 30 0 0 0 0 0 35 33 7 18 4 27 0 5 0 62 0 35 33 0 3 47 5 0 0 3 107 0 0 65 5 109 0 0 51 0 0 32 3 0 0 1 0 0 0 1609 0 0 3 0 0 4 42
AL.BN.3 65 0 0 0 0 30 32 0 0 0 0 0 3 0 0 0 0 6 23 0 0 0 0 204 0 101 0 0 23 0 23 0 351 0 0 46 27 0 0 0 0 0 22 0 0 0 23 0 42 0 0 0 79 0 0 0 0 0 0 0 0 21 0 148 143 0 0 16 0 0 0 5 292 0 0 35 124 0 0 55 0 0 0 0 0 50 0 0 4 33 92 0 0 0 0 78 0 0 0 0 0 172 0 0 0 0 0 4 0 9 0 37 0 0 0 0 0 49 106 0 25 14 0 0 0 23 138 0 30 34 0 0 58 4 9 6 0 46 0 0 70 13 111 0 0 42 0 0 57 0 0 0 0 0 0 0 1617 0 0 0 0 0 15 36
AL.BN.4 29 0 0 0 3 4 0 0 0 0 0 11 12 0 0 0 0 0 15 1 0 13 0 88 0 31 5 6 4 0 85 0 73 0 3 59 0 0 0 0 0 0 12 36 0 0 21 0 8 0 14 0 95 0 15 0 0 0 0 0 6 0 0 110 116 0 4 6 0 19 0 7 362 5 9 10 9 21 0 0 7 0 0 11 0 128 0 1 5 6 51 0 0 0 0 28 9 0 0 11 0 43 5 3 2 0 0 9 9 0 0 0 0 0 0 0 0 57 111 34 15 4 0 0 0 0 82 0 37 42 12 18 126 48 0 9 0 123 0 0 107 0 103 0 0 8 0 0 66 0 0 0 0 0 0 0 1798 4 0 10 0 0 13 18
AL.CSP.3 0 0 0 0 0 159 144 0 0 0 0 0 14 0 0 0 0 27 12 1 0 0 0 290 0 199 0 0 8 0 46 0 399 3 0 0 98 13 0 0 0 0 8 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 269 0 0 0 0 0 0 0 448 0 0 0 197 0 0 374 0 3 0 12 0 0 0 137 0 0 9 0 0 0 0 242 0 0 0 0 0 0 0 0 0 0 0 27 0 13 6 0 0 0 0 0 0 0 46 0 70 0 0 0 0 0 0 0 0 5 0 0 301 0 0 0 0 204 0 62 0 17 0 0 0 11 0 0 131 0 0 16 0 0 0 0 787 0 0 0 0 0 0 0
AL.CSP.4 0 0 0 0 0 150 415 9 0 0 0 0 0 0 0 0 0 100 20 0 11 0 0 315 0 83 0 0 34 0 50 0 263 0 0 0 91 20 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 114 0 0 0 0 5 0 0 457 0 0 0 265 0 0 227 0 9 0 26 0 0 0 270 0 0 0 0 0 0 0 372 0 0 0 0 0 0 0 0 0 0 0 14 0 30 0 0 0 0 0 0 0 0 27 0 17 0 8 0 0 0 0 0 0 0 0 0 185 0 0 0 0 218 0 53 0 28 0 0 0 18 0 0 0 0 0 5 0 0 0 0 938 0 0 0 0 0 10 4
AL.CSP.5 0 0 0 0 0 185 335 0 11 0 0 0 3 0 0 2 0 0 14 0 0 0 0 179 0 49 0 0 22 0 142 0 74 0 0 0 110 8 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 7 0 0 0 0 0 0 4 35 0 8 40 0 5 0 0 3 0 0 224 0 0 0 111 0 0 176 0 0 5 22 0 0 0 170 56 946 0 0 0 0 14 175 1 0 0 0 0 9 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 14 0 7 0 0 24 0 0 0 5 27 0 79 0 0 0 0 191 0 81 0 45 27 0 0 13 0 0 27 0 0 0 0 0 0 0 812 0 0 0 0 0 0 199
AL.OM.1 5 0 0 0 2 67 76 0 0 0 0 0 0 0 0 0 0 0 208 0 0 0 0 262 0 185 0 0 26 0 44 0 363 0 0 64 73 33 0 0 0 0 0 0 0 0 0 0 33 12 0 0 13 0 0 0 0 0 0 0 7 36 0 95 212 0 0 0 0 19 0 0 394 0 0 0 335 0 0 98 5 4 0 17 0 0 0 82 24 0 42 0 0 0 0 326 0 0 0 0 0 35 0 0 0 0 0 0 0 33 0 11 0 0 0 0 0 7 74 8 49 7 0 0 0 0 0 0 9 34 0 0 204 0 0 0 0 105 0 0 0 12 51 0 0 24 0 0 63 0 0 16 20 0 7 0 953 0 0 0 0 0 10 52
AL.OM.2 0 0 0 0 0 181 118 0 0 0 0 0 0 0 0 0 0 23 76 0 0 0 0 285 0 122 0 0 42 0 32 0 420 0 0 0 166 23 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 55 0 29 110 0 0 0 0 0 0 0 410 0 0 0 350 0 0 174 0 19 0 36 0 0 0 153 0 0 0 0 0 0 0 548 5 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 35 25 0 73 0 0 0 0 0 0 0 0 0 0 0 282 0 0 0 0 77 0 50 0 0 0 0 0 42 0 0 41 0 0 17 0 0 0 0 760 0 0 0 0 0 0 13
AL.OM.3 0 0 0 0 0 156 107 0 0 0 0 0 0 0 0 0 0 0 48 0 0 0 0 234 0 114 0 0 5 0 27 0 449 0 0 24 221 0 0 0 0 0 14 13 0 0 0 0 53 0 0 0 0 0 0 0 0 0 0 0 0 31 0 91 127 0 0 0 0 7 0 0 298 0 0 0 360 0 0 213 0 15 0 14 0 0 0 149 0 0 0 0 0 0 0 561 13 0 0 0 0 17 0 0 0 0 0 7 0 27 0 16 0 0 0 0 0 0 32 0 55 0 0 0 0 0 20 0 0 17 0 0 161 0 0 0 0 174 0 0 0 26 25 0 0 38 0 0 27 0 0 3 25 0 0 0 940 0 0 0 5 0 0 8
