Phylum Class Order Family Genus OTUs_completeDS OTUs_wholeDS
0.01 1967110 2274685 2392444 1865490 997013 2639411 2639411
0.05 1967110 2274685 2392444 1865490 997013 2556021 2556021
0.1 1967110 2274685 2392444 1865490 997013 2418565 2418565
0.15 1967110 2274685 2054992 1865490 997013 2308193 2308193
0.2 1967110 1921126 2054992 1865490 997013 2177575 2177575
0.25 1967110 1921126 1796597 1865490 997013 2034282 2034282
0.3 1213401 1625213 1796597 1865490 997013 1911278 1911278
0.35 1213401 1625213 1621700 1675527 997013 1769126 1769126
0.4 1213401 1625213 1621700 1505195 997013 1631486 1631486
0.45 1213401 1356103 1451368 1388568 997013 1502073 1502073
0.5 1213401 1356103 1299478 1302087 997013 1361649 1361649
0.55 1213401 1175640 1168963 1230419 997013 1226443 1226443
0.6 727244 1005308 1047947 1064167 997013 1092949 1092949
0.65 727244 880480 891210 929067 841709 956409 956409
0.7 727244 795663 761497 816593 727976 820553 820553
0.75 530085 636460 638365 672872 668084 683552 683552
0.8 530085 513287 513304 546794 514131 546179 546179
0.85 338655 371466 402729 393996 400566 410358 410358
0.9 202233 251721 262559 266564 262513 273395 273395
0.95 81864 136754 136080 132894 135750 136662 136662
0.99 24511 26822 26083 26184 26489 27320 27320
