Phylum Class Order Family Genus Species OTUs_completeDS OTUs_wholeDS
0.01 2704237 2706974 2708686 2708596 2708842 2703212 2708878 2708878
0.05 2598078 2585600 2593522 2597839 2595016 2564779 2599407 2599407
0.1 2397594 2461431 2456947 2455881 2460719 0 2462425 2462425
0.15 2206164 2322454 2296789 2323967 2314023 0 2325093 2325093
0.2 2009005 2162085 2185385 2161119 2188191 0 2188797 2188797
0.25 2009005 2024761 2037048 2028420 2008273 0 2050841 2050841
0.3 1522848 1855769 1911565 1882568 1894540 0 1913182 1913182
0.35 1522848 1730941 1770990 1764663 1739236 0 1776539 1776539
0.4 1522848 1560609 1567286 1624569 0 0 1639082 1639082
0.45 769139 1380146 1436771 1434162 0 0 1504359 1504359
0.5 769139 1111036 1284881 1347681 0 0 1367947 1367947
0.55 769139 1111036 1114549 1231054 0 0 1224968 1224968
0.6 769139 815123 939652 1060722 0 0 1094324 1094324
0.65 769139 815123 939652 870759 0 0 954395 954395
0.7 769139 815123 681257 0 0 0 808872 808872
0.75 0 461564 681257 0 0 0 681139 681139
0.8 0 461564 343805 0 0 0 527961 527961
0.85 0 0 343805 0 0 0 393371 393371
0.9 0 0 0 0 0 0 250043 250043
0.95 0 0 0 0 0 0 96838 96838
0.99 0 0 0 0 0 0 0 0
