Phylum Class Order Family Genus Species OTUs_completeDS OTUs_wholeDS
0.01 0.998066560598893 0.999667648707542 0.999708009024542 0.999625454771809 0.99866108453874 0.993592302254279 0.999975515504775 0.999975515504775
0.05 0.992873568037871 0.99795983174593 0.99837500392103 0.998267767604372 0.991667389652133 NA 0.999685243524555 0.999685243524555
0.1 0.971291418082531 0.994954123025159 0.994972040821569 0.994380606557627 0.975501821267347 NA 0.99917364031289 0.99917364031289
0.15 0.944602595950194 0.989135966408371 0.990949857805463 0.991039985382698 0.947641988313939 NA 0.998581967419998 0.998581967419998
0.2 0.910352469791759 0.971266063307336 0.988103821043782 0.981433069047129 0.898431230285995 NA 0.998080665160737 0.998080665160737
0.25 0.910352469791759 0.955094571535963 0.972732221984769 0.971198930132426 0.771815294972008 NA 0.997435693108063 0.997435693108063
0.3 0.842216762892142 0.936330232888617 0.958900005708982 0.954037508968772 0.758592191586825 NA 0.996455075082259 0.996455075082259
0.35 0.842216762892142 0.921378098548255 0.945753409131985 0.9357586814858 NA NA 0.995299915784334 0.995299915784334
0.4 0.842216762892142 0.895480502231272 0.915065370954562 0.899612790261472 NA NA NA NA
0.45 NA 0.853454894136495 0.883223449294426 0.83454314567832 NA NA NA NA
0.5 NA 0.717500211663672 0.86006548930328 0.813054407238764 NA NA NA NA
0.55 NA 0.717500211663672 0.842887511222865 0.762577518720658 NA NA NA NA
0.6 NA 0.633982308157356 0.83039223271849 0.753655202184478 NA NA NA NA
0.65 NA 0.633982308157356 0.83039223271849 NA NA NA NA NA
0.7 NA 0.633982308157356 0.606559191597508 NA NA NA NA NA
0.75 NA NA 0.606559191597508 NA NA NA NA NA
0.8 NA NA NA NA NA NA NA NA
0.85 NA NA NA NA NA NA NA NA
0.9 NA NA NA NA NA NA NA NA
0.95 NA NA NA NA NA NA NA NA
0.99 NA NA NA NA NA NA NA NA
