Phylum Class Order Family Genus Species OTUs_completeDS OTUs_wholeDS
0.01 0.999990753602465 0.999005328449602 0.999985587060341 0.999997465111471 0.532235137470142 0.999752577269231 0.999792290457397 0.999792290457397
0.05 0.999849025500075 0.999390158831192 0.999992532138986 0.999996431659079 0.998773031030024 NA 0.999689350815033 0.999689350815033
0.1 0.998455286764024 0.99975115525823 0.99978454885311 0.999992270573051 0.992455566407869 NA 0.99955261079353 0.99955261079353
0.15 0.955345816458114 0.999999333025309 0.997771278933659 0.999997600785191 0.991803713453766 NA 0.99924926208044 0.99924926208044
0.2 0.871902772816839 0.999746183287585 0.999981381652803 0.999997412074083 0.989791399709507 NA 0.99885876697999 0.99885876697999
0.25 0.871902772816839 0.999732621121281 0.999557484809825 0.999998616955413 0.987513658938625 NA 0.996932207438486 0.996932207438486
0.3 0.999629908187 0.998965429126887 0.999323166815959 0.999987702634225 0.978173609235521 NA 0.99582788569668 0.99582788569668
0.35 0.999629908187 0.999466308279264 0.99861232193729 0.999335374184173 NA NA 0.988997549346943 0.988997549346943
0.4 0.999629908187 0.999201029353318 0.997475133896543 0.994142349385324 NA NA NA NA
0.45 NA 0.998976332965938 0.998163581741941 0.99927363686838 NA NA NA NA
0.5 NA 0.275954801134438 0.992934273112451 0.986335305466347 NA NA NA NA
0.55 NA 0.275954801134438 0.998853548434802 0.999287288344991 NA NA NA NA
0.6 NA 0.336798651081823 0.894842707930733 0.995789213168129 NA NA NA NA
0.65 NA 0.336798651081823 0.894842707930733 NA NA NA NA NA
0.7 NA 0.336798651081823 0.428187558794796 NA NA NA NA NA
0.75 NA NA 0.428187558794796 NA NA NA NA NA
0.8 NA NA NA NA NA NA NA NA
0.85 NA NA NA NA NA NA NA NA
0.9 NA NA NA NA NA NA NA NA
0.95 NA NA NA NA NA NA NA NA
0.99 NA NA NA NA NA NA NA NA
