0319-7L14 24-Nov 258ds10 32-20 A21b A31 Acidimicrobiales Acidobacteriales Actinomycetales agg27 AKIW781 AKYG1722 AKYG885 AlteromoUnassigneddales ArdenscateUnassignedles ArmatimoUnassigneddales AUnassignederolineales B07_WMSP1 B12-WMSP1 B97 Bacillales Bacteroidales BdellovibrioUnassignedles BPC015 Burkholderiales Caldilineales Caulobacterales CCU21 CFB-26 Chlamydiales Chloroflexales Chlorophyta Chromatiales Chthoniobacterales ChthonomoUnassigneddales CL500-15 Clostridiales CPla-3 Cytophagales Deinococcales Desulfobacterales DesulfuromoUnassigneddales DH61 DS-100 DS-18 Ellin329 Ellin5290 Ellin6067 Ellin6513 Ellin6537 Ellin7246 Elusimicrobiales Enterobacteriales Entotheonellales Euzebyales FAC87 FAC88 FimbriimoUnassigneddales Flavobacteriales FW68 Gaiellales GCA004 Gemmatales GemmatimoUnassigneddales H39 HerpetosiphoUnassignedles HTCC2188 IIb iii1-15 IS-44 JG30-KF-AS9 JG30-KF-CM45 KD8-87 Ktedonobacterales LD1-PA13 Legionellales Marinicellales Methylacidiphilales Micrococcales MIZ46 MLE1-12 mle1-48 MND1 MVS-107 MVS-40 Myxococcales N1423WL NB1-j NitrosomoUnassigneddales Nitrospirales Nostocales Oceanospirillales OPB54 Opitutales Oscillatoriales p04_C01 Pedosphaerales Phycisphaerales Pirellulales PK29 PK329 Pla1 Planctomycetales PseudomoUnassigneddales RB046 RB41 Rhizobiales Rhodobacterales Rhodospirillales Rickettsiales Roseiflexales Rubrobacterales S-BQ2-57 S0208 Saprospirales SBR1031 SC-I-84 Sediment-1 SJA-15 SJA-22 SJA-36 SM1D11 Solibacterales Solirubrobacterales Sphaerobacterales Sphingobacteriales SphingomoUnassigneddales Spirobacillales Stramenopiles Streptophyta Sva0725 Syntrophobacterales Thermobaculales Thermogemmatisporales Thiotrichales Turicibacterales Unassigned Verrucomicrobiales wb1_H11 WCHB1-50 WD2101 XanthomoUnassigneddales
AL.BN.1 24 7 0 0 9 0 47 263 389 0 0 0 0 0 0 0 0 26 0 2 43 0 0 0 449 0 35 10 0 0 0 1 0 692 4 0 5 0 4 0 0 0 0 0 10 17 4 0 59 0 0 0 0 6 0 0 0 0 4 0 139 0 291 10 0 0 0 0 289 0 10 0 0 26 0 0 0 0 0 23 3 0 0 0 0 78 0 0 0 16 0 0 0 0 0 0 11 0 36 0 0 0 21 13 0 94 728 0 182 0 5 8 0 0 54 0 17 4 0 2 0 0 55 297 0 25 57 2 0 1 0 30 0 13 5 0 119 0 0 0 13 61
AL.BN.2 40 9 0 0 0 0 40 82 469 0 0 0 30 4 0 0 0 13 0 6 111 0 5 0 152 3 15 12 0 9 0 0 0 341 7 0 0 0 6 0 0 3 0 0 11 21 6 21 23 0 0 0 0 0 0 0 0 0 0 0 207 0 202 8 0 0 4 0 541 0 13 8 0 9 0 5 0 0 0 27 0 0 6 0 0 173 0 1 0 14 0 0 0 7 0 0 23 2 33 10 0 0 18 0 0 118 714 0 95 0 0 5 0 0 124 2 23 14 0 0 0 0 12 391 0 15 109 0 0 2 2 32 0 0 7 0 265 3 0 1 11 149
AL.BN.3 19 23 0 11 0 6 42 87 645 0 0 0 23 0 0 0 0 0 0 0 49 0 0 0 147 0 23 42 0 0 0 0 0 351 0 0 9 0 0 0 0 0 0 0 21 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 148 0 267 0 0 0 5 0 817 0 12 0 0 0 0 0 0 0 0 22 0 0 0 0 0 22 0 0 0 65 0 0 0 4 0 0 6 0 106 19 0 0 25 23 0 274 630 0 88 0 0 4 0 0 23 0 17 8 0 0 0 0 0 290 0 17 111 1 0 0 17 57 0 0 0 0 212 0 0 0 32 82
AL.BN.4 51 24 4 3 0 9 27 0 264 0 0 0 21 0 0 0 0 0 0 0 39 0 1 0 110 6 4 40 0 0 3 0 0 73 0 8 3 0 36 0 0 4 0 5 17 10 0 6 0 0 0 0 0 15 0 0 0 0 6 0 110 0 125 0 4 0 7 0 710 11 0 23 0 0 0 11 0 0 20 0 0 0 54 0 0 120 0 0 0 40 5 0 0 9 0 0 14 0 111 9 0 0 15 0 0 300 642 17 142 0 7 48 0 15 85 6 49 3 0 0 0 0 40 262 0 3 103 6 4 0 37 66 0 0 34 0 285 10 0 3 5 141
AL.CSP.3 0 0 0 0 0 0 14 518 323 0 0 0 0 0 0 0 0 23 0 0 51 0 1 0 199 0 8 0 0 6 0 0 0 399 3 0 0 0 3 0 0 0 0 0 12 44 5 0 235 0 0 0 0 0 0 0 9 0 0 0 32 0 466 0 0 0 0 0 18 0 17 0 0 3 0 25 0 11 0 25 21 0 0 0 0 51 0 0 0 0 0 0 0 27 0 0 46 0 46 0 0 0 70 0 0 6 896 0 460 0 0 0 5 0 46 0 0 0 0 0 0 0 96 131 0 17 0 0 0 0 0 131 0 16 0 0 112 0 0 0 13 204
AL.CSP.4 0 0 0 0 0 0 18 642 508 0 0 0 0 0 0 0 0 0 0 0 50 0 11 0 83 0 34 0 0 0 0 0 0 263 0 0 0 0 3 0 0 0 0 0 0 51 0 0 189 0 0 0 0 0 0 0 0 0 0 0 14 0 379 0 0 0 0 0 37 0 0 0 0 9 0 46 0 18 0 23 74 0 0 0 0 68 0 0 0 0 0 0 0 14 0 0 100 0 27 0 0 0 17 0 0 0 1079 0 335 0 0 0 0 0 50 0 0 0 0 0 0 0 82 209 0 28 0 0 0 0 11 0 0 5 0 0 143 0 0 0 36 222
AL.CSP.5 0 0 0 0 0 0 36 511 1552 0 0 0 0 0 0 2 0 0 0 0 81 0 0 0 49 0 22 0 0 11 0 0 0 74 0 0 5 0 0 0 0 5 0 0 0 32 0 0 19 0 0 0 7 0 0 0 0 0 4 0 8 0 151 0 0 0 0 0 44 0 0 0 0 0 0 30 0 11 0 14 14 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 38 0 0 578 27 264 0 0 0 0 0 142 0 0 0 0 0 0 0 81 180 0 45 27 0 0 0 0 27 0 0 0 0 168 0 0 0 30 390
AL.OM.1 0 0 0 10 0 0 40 174 611 0 0 0 0 0 0 0 0 15 0 0 271 0 0 0 249 0 26 7 0 0 0 0 0 363 0 0 0 8 0 0 0 0 0 0 0 41 0 0 57 0 0 0 0 0 0 0 0 0 7 0 107 0 547 0 0 0 0 0 211 0 27 0 0 4 0 50 0 7 0 17 0 0 0 0 0 124 0 0 0 5 0 0 0 0 0 0 12 0 74 3 0 0 49 0 0 57 789 0 271 0 5 0 0 0 44 2 0 0 0 0 0 0 17 232 0 18 51 0 0 0 0 63 0 16 8 7 93 0 0 0 0 157
AL.OM.2 0 0 0 0 0 0 49 292 837 0 0 0 0 0 0 0 0 0 0 0 113 0 0 0 122 0 42 0 0 0 0 0 0 420 0 0 0 8 0 0 0 0 0 0 0 57 0 0 63 0 0 0 0 0 0 0 0 0 0 0 29 0 460 0 0 0 0 0 36 0 16 0 0 19 0 59 0 12 0 55 37 0 0 0 0 77 0 0 0 0 0 0 0 0 0 0 23 0 25 0 0 0 73 0 0 9 883 0 463 0 0 0 0 0 32 0 0 0 0 0 0 0 50 244 0 0 0 0 0 0 0 41 0 17 0 0 108 0 0 0 0 90
AL.OM.3 0 10 0 0 0 0 69 320 879 0 0 0 0 0 0 0 0 17 0 0 75 0 0 0 138 0 5 0 0 0 0 0 0 449 0 0 0 4 13 0 0 0 0 0 0 66 0 0 97 0 0 0 0 0 0 0 0 0 5 0 105 0 487 0 0 0 0 0 130 0 6 0 0 15 0 14 0 3 0 44 11 0 0 0 0 97 0 0 0 0 0 0 0 7 0 0 17 0 32 0 0 0 55 0 0 12 720 0 317 0 0 0 0 0 27 0 0 0 0 0 0 0 24 350 0 26 25 0 0 0 0 27 0 3 0 0 84 0 0 0 0 182
