028H05-P-BN-P5 0319-6E2 4C0d-2 ABS-6 Acidimicrobiia Acidobacteria-5 Acidobacteria-6 Acidobacteriia Actinobacteria Alphaproteobacteria ArmatimoUnassigneddia AUnassignederolineae Bacilli Bacteroidia BD7-11 Betaproteobacteria BPC102 BSV26 C0119 C6 Chlamydiia Chloracidobacteria Chloroflexi Chloroplast ChthonomoUnassigneddetes Clostridia Cytophagia DA052 Deinococci Deltaproteobacteria Ellin6529 Elusimicrobia Fibrobacteria FimbriimoUnassigneddia Flavobacteriia Gammaproteobacteria Gemm-1 Gemm-2 Gemm-3 Gemm-5 GemmatimoUnassigneddetes Gitt-GS-136 iii1-8 JG37-AG-4 Ktedonobacteria MB-A2-108 Methylacidiphilae ML635J-21 Nitriliruptoria Nitrospira Nostocophycideae OM190 OPB41 OPB50 OPB56 Opitutae Oscillatoriophycideae PAUC37f Pedosphaerae Phycisphaerae Pla3 Pla4 Planctomycetia PRR-11 PRR-12 RB25 Rubrobacteria S035 S085 Saprospirae SAR202 SBRH58 SC3 SHA-109 SHA-26 SJA-176 SJA-28 SJA-4 Solibacteres Spartobacteria Sphingobacteriia Sva0725 Thermobacula Thermoleophilia Thermomicrobia TK10 TK17 Unassigned vadinHA49 Verrucomicrobiae
AL.BN.1 0 0 3 13 47 4 299 263 389 1019 0 0 43 0 0 503 0 0 2 0 0 101 5 2 6 5 4 59 0 139 24 0 0 0 4 79 0 0 0 0 14 0 10 0 49 24 0 0 0 16 0 0 0 0 0 0 0 0 11 13 0 0 350 0 4 0 8 4 0 54 0 0 0 0 0 0 0 0 55 692 25 0 0 436 0 29 0 41 0 0
AL.BN.2 0 2 0 1 40 6 553 82 469 954 0 6 111 0 0 256 0 0 21 0 9 137 0 2 7 0 6 23 0 241 104 0 0 0 0 169 19 0 0 0 14 7 11 0 22 40 0 2 0 14 0 0 0 0 0 7 0 7 23 13 0 0 259 1 14 0 5 2 10 124 0 0 0 0 1 0 0 2 12 341 15 2 0 598 8 45 0 24 0 3
AL.BN.3 0 3 0 0 42 0 859 87 645 852 0 6 49 0 0 191 0 0 0 0 0 316 0 0 0 9 0 19 0 102 123 0 0 0 0 110 13 0 0 0 0 0 32 0 12 24 0 0 0 65 0 0 0 0 0 4 0 7 6 32 0 0 398 0 8 0 4 15 0 23 0 0 0 0 7 0 0 0 0 351 17 17 0 438 0 23 0 12 0 0
AL.BN.4 4 2 0 0 27 0 750 0 284 918 0 43 39 0 0 335 0 0 8 0 0 338 10 4 0 3 36 0 0 212 87 0 4 0 6 193 30 0 0 0 0 0 20 0 0 51 0 0 0 40 5 8 0 0 0 9 0 0 14 5 3 0 251 0 3 0 48 15 4 85 0 0 0 0 0 0 0 0 40 73 3 37 0 372 23 25 0 23 0 10
AL.CSP.3 0 0 21 15 14 20 18 518 323 1408 0 0 51 0 0 199 0 0 0 0 6 6 0 0 3 0 3 235 0 208 0 9 0 0 0 229 0 0 0 0 5 0 12 3 36 0 16 0 0 0 0 0 0 0 0 27 0 0 46 13 0 0 582 0 0 0 0 0 0 46 0 0 0 0 0 0 0 10 96 399 17 0 0 163 0 24 0 63 0 0
AL.CSP.4 0 0 74 0 18 0 37 642 508 1524 0 0 50 0 0 83 0 0 0 0 0 0 0 0 0 0 3 189 0 102 0 0 0 0 0 268 0 0 0 0 4 0 0 0 20 0 18 0 0 0 0 0 0 0 0 14 0 0 100 36 0 0 423 0 0 0 0 0 0 50 0 0 0 0 0 0 0 10 82 263 28 11 0 223 0 0 0 98 0 0
AL.CSP.5 0 0 14 0 36 0 44 511 1552 950 2 0 81 0 0 49 0 0 0 0 11 0 0 0 0 5 0 19 0 68 0 0 0 0 4 465 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 165 0 0 0 0 0 0 142 0 0 0 0 0 0 0 4 81 74 45 0 0 188 0 0 0 164 0 0
AL.OM.1 0 0 0 9 40 0 218 174 611 1178 0 2 278 0 0 249 0 0 0 0 0 60 5 0 0 0 0 57 0 204 31 0 0 0 7 215 0 0 0 0 0 0 10 6 50 0 7 0 0 5 0 0 0 0 0 0 0 0 12 8 0 0 670 0 0 0 0 0 0 44 0 0 0 0 0 0 0 0 17 363 18 0 0 339 0 23 0 36 0 0
AL.OM.2 0 0 37 0 49 0 36 292 837 1453 0 0 113 0 0 122 0 0 0 0 0 9 0 0 0 0 0 63 0 173 0 0 0 0 0 149 0 0 0 0 0 0 0 14 52 0 12 0 0 0 0 0 0 0 0 0 0 0 23 8 0 0 558 0 0 0 0 0 0 32 0 0 0 0 0 0 0 7 50 420 0 0 0 273 0 15 0 64 0 0
AL.OM.3 0 0 11 3 69 0 130 320 879 1137 0 0 75 0 0 138 0 0 0 0 0 22 0 0 0 0 13 97 0 168 16 0 0 0 5 196 0 0 0 0 0 0 0 14 24 0 3 0 0 0 0 0 0 0 0 7 0 0 17 4 0 0 574 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 24 449 26 0 0 455 0 27 0 37 0 0
