Acidobacteria Actinobacteria AD3 ArmatimoUnassigneddetes Bacteroidetes BHI80-139 BRC1 Chlamydiae Chlorobi Chloroflexi Cyanobacteria Elusimicrobia FBP FCPU426 Fibrobacteres Firmicutes GAL15 GemmatimoUnassigneddetes Nitrospirae Planctomycetes Proteobacteria Thermi TM6 TM7 Unassigned Verrucomicrobia WPS-2 WS2 WS3
AL.BN.1 795 904 13 6 87 0 0 0 0 109 5 0 0 0 0 48 0 14 16 363 1748 0 0 0 8 703 25 0 4
AL.BN.2 835 1152 1 9 145 0 1 9 0 224 4 0 0 0 0 111 0 33 14 272 1642 0 2 0 2 374 0 0 14
AL.BN.3 1352 1153 0 3 40 0 0 0 0 171 0 0 0 0 0 58 0 13 65 430 1267 0 0 0 0 361 0 0 8
AL.BN.4 1200 782 0 2 130 0 0 0 0 200 9 0 0 0 4 42 0 30 40 271 1678 0 0 0 3 106 0 0 3
AL.CSP.3 905 500 18 3 66 0 0 6 0 60 21 9 0 0 0 51 0 5 0 595 2044 0 10 0 44 488 19 0 0
AL.CSP.4 961 749 0 0 81 0 0 0 0 20 74 0 0 7 0 50 0 4 0 459 1977 0 10 0 34 395 57 0 0
AL.CSP.5 655 1776 0 2 191 0 0 11 2 0 17 0 0 0 0 86 0 0 0 195 1532 0 4 0 72 85 87 0 0
AL.OM.1 536 990 15 0 69 0 0 0 0 111 0 0 0 2 0 278 0 0 5 678 1846 0 0 0 3 388 25 0 0
AL.OM.2 450 1159 14 0 32 0 0 0 0 67 37 0 0 0 0 113 0 0 0 566 1897 0 7 0 3 455 61 0 0
AL.OM.3 593 1403 17 0 71 0 0 0 0 67 11 0 0 0 0 75 0 0 0 578 1639 0 0 0 4 476 33 0 0
AL.OM.4 597 1042 53 0 30 0 0 0 1 116 0 10 0 0 0 129 0 8 0 520 1789 0 0 0 6 546 31 0 0
AL.OM.5 840 1200 0 0 75 0 0 0 0 80 0 0 0 0 0 118 0 0 17 392 1765 0 0 0 0 424 5 0 0
AL.TIH.1 858 1359 0 0 98 0 0 0 0 167 1 0 0 0 0 74 0 37 78 206 1004 0 0 0 4 386 0 0 3
AL.TIH.2 656 1025 2 21 48 0 0 0 0 89 7 0 0 0 0 30 0 16 6 619 1734 0 2 0 4 673 13 0 0
AL.TIH.3 607 1065 2 5 33 0 0 6 0 50 0 4 0 2 0 31 0 11 11 824 1657 0 14 0 2 559 7 0 0
AL.TIH.4 832 1131 8 0 47 0 0 0 0 126 0 0 0 0 0 56 0 51 0 607 1649 0 0 0 3 381 8 0 0
AL.TIH.5 675 1416 41 11 28 0 0 0 0 15 17 1 0 0 0 7 0 7 0 609 1605 0 14 0 2 331 101 0 0
AL.TN.1 1275 1112 0 26 43 0 0 0 0 419 0 0 0 0 0 16 0 43 45 445 1026 11 0 0 0 0 0 0 8
AL.TN.2 888 1055 0 0 87 0 0 0 0 319 0 0 0 0 2 31 0 38 48 307 1865 0 0 0 0 79 0 0 17
AL.TN.3 806 906 0 11 44 0 0 0 3 283 0 0 0 0 0 71 0 39 52 632 1734 0 0 0 4 69 0 0 8
AL.TN.4 1195 1038 0 32 44 0 0 0 3 465 4 0 0 0 0 37 0 68 29 345 1463 0 0 0 0 53 0 0 9
AL.TN.5 633 1710 17 0 46 0 0 0 0 153 8 0 0 0 6 35 0 76 0 346 1673 0 0 0 4 133 29 0 2
AR.BG.2 644 1110 0 0 125 0 0 0 0 173 0 0 0 0 3 255 0 2 48 195 1181 0 0 0 2 349 0 0 0
AR.BG.3 895 1274 0 5 66 0 0 0 2 244 0 0 0 0 0 245 0 9 48 210 1202 0 1 0 0 410 0 0 18
AR.BG.4 888 1279 0 0 151 0 0 0 3 265 0 0 0 0 0 186 0 28 38 336 1386 0 0 0 0 175 0 0 0
AR.BG.5 830 1229 0 4 136 0 4 0 0 324 0 0 0 0 2 235 0 21 27 235 1317 0 0 0 8 230 0 0 0
AR.FR.1 1360 602 0 0 84 0 3 0 3 131 0 0 0 0 0 62 0 34 116 318 1707 0 5 0 3 129 0 0 8
AR.FR.2 1291 839 0 1 56 0 3 0 0 242 0 0 0 0 0 37 0 20 122 347 1009 0 0 0 0 158 0 0 38
