acidiphila aerilata alaskensis alba amylolyticus andropogonis badius bifermentans boronitolerans bowmanii bryophila butyricum celatum cellulosum chondroitinus columnare curdlanolyticus dilutus equi exedens fasciculatus genosp. globerulus globiformis guillouiae halophobica halotolerans henricii iriomotensis koreensis leptocrescens limosus longiquaesitum mallensis maritima massiliensis meridiei mirabilis obscurus ochraceum paludicola plantarum pomorum pyridinolyticus rhizophila rhizosphaerae rhizovicinus ruber scabrisporus starrii succinicans sullae tenuis terrigena thermolimosa ultimum umsongensis Unassigned vannielii versatilis vinacea viridiflava wittichii
AL.BN.1 0 0 0 0 0 0 0 0 0 5 266 0 45 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 23 0 16 0 0 0 0 0 2 0 0 0 0 0 0 4 8 0 0 0 0 13 4440 17 0 0 0 0
AL.BN.2 0 0 0 0 0 0 0 0 0 0 21 0 21 0 0 0 0 0 0 0 27 0 0 7 0 13 6 0 0 1 0 0 0 0 0 27 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 4687 0 0 0 0 0
AL.BN.3 0 0 0 0 0 0 0 0 14 0 83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 56 21 0 0 0 0 0 0 0 0 21 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 23 4686 0 0 0 0 0
AL.BN.4 8 0 0 0 0 6 0 0 0 0 25 3 0 0 0 0 0 0 0 0 0 0 0 4 0 9 0 4 0 0 0 0 0 0 0 37 0 8 0 0 0 0 0 19 0 0 0 0 0 1 0 10 0 0 0 0 0 4366 0 0 0 0 0
AL.CSP.3 0 0 0 0 0 0 5 0 0 0 149 0 216 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4444 8 0 0 0 0
AL.CSP.4 0 0 0 0 0 0 0 0 0 0 0 0 324 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4536 10 0 0 0 0
AL.CSP.5 0 0 0 0 0 0 0 0 0 0 0 0 175 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 13 0 0 0 0 0 0 4 0 102 0 0 0 0 0 0 0 0 0 24 4377 0 0 0 0 0
AL.OM.1 42 0 0 0 0 0 0 0 5 0 97 0 317 0 12 0 0 0 0 0 0 0 0 0 0 0 4 0 20 0 0 0 130 0 0 50 0 24 0 0 0 0 0 0 0 0 0 0 0 0 7 21 0 0 0 0 0 4194 0 0 0 0 23
AL.OM.2 0 0 0 0 0 0 0 0 0 0 122 0 523 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0 0 4138 14 0 0 0 0
AL.OM.3 0 0 0 0 0 0 0 0 0 0 114 0 507 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 4277 0 0 0 0 10
AL.OM.4 26 0 0 0 0 0 0 0 0 0 104 0 367 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 0 0 0 0 0 67 0 51 0 0 0 0 0 0 0 0 0 0 0 0 0 28 0 0 0 0 35 4171 0 0 0 0 5
AL.OM.5 29 0 0 0 0 0 0 0 0 0 43 0 164 0 0 0 5 0 0 0 0 0 0 15 0 0 9 6 0 0 0 0 0 0 0 55 0 40 0 0 0 0 0 0 0 0 0 0 0 5 12 31 0 0 0 0 34 4468 0 0 0 0 0
