,OTU_2,OTU_7,OTU_50,OTU_86,OTU_89,OTU_112,OTU_160,OTU_171,OTU_175,OTU_184,OTU_196,OTU_237,OTU_238,OTU_240,OTU_250,OTU_254,OTU_255,OTU_259,OTU_272,OTU_284,OTU_300,OTU_340,OTU_344,OTU_364,OTU_381,OTU_390,OTU_394,OTU_418,OTU_423,OTU_449,OTU_453,OTU_462,OTU_469,OTU_514,OTU_529,OTU_541,OTU_549,OTU_551,OTU_552,OTU_559,OTU_567,OTU_583,OTU_593,OTU_595,OTU_596,OTU_611,OTU_619,OTU_623,OTU_640,OTU_673,OTU_723,OTU_732,OTU_734,OTU_751,OTU_761,OTU_774,OTU_781,OTU_784,OTU_807,OTU_811,OTU_829,OTU_843,OTU_873,OTU_883,OTU_900,OTU_925,OTU_927,OTU_943,OTU_951,OTU_970,OTU_972,OTU_998,OTU_1033,OTU_1043,OTU_1061,OTU_1068,OTU_1074,OTU_1092,OTU_1116,OTU_1118,OTU_1153,OTU_1156,OTU_1199,OTU_1254,OTU_1257,OTU_1263,OTU_1322,OTU_1327,OTU_1379,OTU_1397,OTU_1398,OTU_1444,OTU_1458,OTU_1485,OTU_1520,OTU_1540,OTU_1551,OTU_1555,OTU_1573,OTU_1583,OTU_1599,OTU_1604,OTU_1653,OTU_1657,OTU_1660,OTU_1662,OTU_1739,OTU_1798,OTU_1821,OTU_1840,OTU_1841,OTU_1873,OTU_1916,OTU_1932,OTU_1937,OTU_1947,OTU_1958,OTU_2001,OTU_2018,OTU_2027,OTU_2043,OTU_2044,OTU_2075,OTU_2076,OTU_2084,OTU_2085,OTU_2097,OTU_2111,OTU_2121,OTU_2138,OTU_2166,OTU_2199,OTU_2222,OTU_2224,OTU_2253,OTU_2269,OTU_2276,OTU_2282,OTU_2303,OTU_2313,OTU_2314,OTU_2323,OTU_2335,OTU_2373,OTU_2426,OTU_2429,OTU_2445,OTU_2448,OTU_2457,OTU_2466,OTU_2487,OTU_2499,OTU_2504,OTU_2519,OTU_2531,OTU_2533,OTU_2534,OTU_2537,OTU_2542,OTU_2582,OTU_2584,OTU_2608,OTU_2624,OTU_2644,OTU_2660,OTU_2672,OTU_2702,OTU_2707,OTU_2717,OTU_2722,OTU_2737,OTU_2757,OTU_2763,OTU_2775,OTU_2786,OTU_2795,OTU_2809,OTU_2834,OTU_2840,OTU_2847,OTU_2851,OTU_2853,OTU_2859,OTU_2870,OTU_2872,OTU_2888,OTU_2900,OTU_2904,OTU_2916,OTU_2946,OTU_2956,OTU_2959,OTU_2967,OTU_3038,OTU_3049,OTU_3058,OTU_3073,OTU_3104,OTU_3129,OTU_3132,OTU_3145
AL-BN-1,20,11,0,13,0,17,0,17,16,50,3,18,4,0,11,20,14,11,8,6,10,0,13,45,0,5,20,0,0,0,0,0,23,3,11,4,29,0,5,0,33,74,0,0,0,32,0,7,19,54,9,0,13,7,0,0,24,0,19,27,108,5,0,0,15,32,150,5,0,15,11,0,0,0,0,0,0,0,0,9,29,0,7,0,49,9,0,16,0,0,43,0,21,7,3,0,0,0,223,0,0,0,2,10,11,14,0,8,64,146,0,8,10,20,275,24,0,0,45,12,10,50,0,14,30,0,0,21,0,4,20,4,0,26,0,0,0,13,10,0,26,28,0,0,0,0,0,6,13,0,13,4,0,8,7,10,8,26,0,14,0,0,0,11,8,0,222,2,4,0,266,0,0,0,12,0,0,0,9,0,0,0,0,0,12,4,22,13,0,43,38,76,0,0,13,28,0,25,173,0,22
AL-BN-2,20,13,13,0,0,0,0,43,0,67,0,13,9,0,49,10,34,8,22,0,25,30,7,21,7,0,29,0,10,20,0,0,27,0,9,23,0,0,12,0,0,8,40,0,21,12,0,0,36,0,19,21,0,39,0,0,78,0,20,12,132,27,0,0,0,31,104,7,29,68,4,8,3,21,6,0,5,4,0,9,32,0,9,0,0,15,2,24,0,4,55,6,6,31,1,0,0,0,88,15,0,0,0,0,7,0,11,10,26,6,13,14,12,22,154,14,15,0,23,87,14,69,0,65,0,0,0,72,8,6,0,0,0,13,17,0,0,10,0,6,13,21,0,0,0,5,11,16,0,0,21,0,5,0,8,0,47,13,9,20,0,0,0,12,0,0,160,15,32,0,21,0,0,2,16,0,0,26,4,7,0,0,0,2,28,14,15,50,0,14,58,30,4,0,10,15,7,25,259,21,107
AL-BN-3,37,21,19,23,3,0,0,39,0,46,0,6,0,0,0,18,68,29,12,0,23,23,9,0,7,0,0,1,19,0,0,0,22,0,4,29,0,0,30,11,0,20,29,0,21,22,0,0,46,14,30,32,11,20,0,0,91,0,22,0,79,0,0,0,38,130,55,0,28,26,13,58,9,0,0,4,0,10,0,0,24,0,5,0,0,17,0,12,0,7,46,0,0,31,0,0,0,0,82,12,0,0,0,12,0,0,21,5,14,0,56,8,42,17,92,62,0,12,19,24,27,78,4,70,13,0,0,60,28,0,7,0,0,29,5,0,0,21,0,0,0,79,0,12,0,0,13,0,14,0,22,0,0,4,0,0,80,0,14,0,0,0,0,20,0,0,178,12,45,0,83,0,4,21,18,0,0,21,58,0,0,0,10,0,35,0,33,148,0,0,60,81,0,0,0,0,38,0,357,0,82
AL-BN-4,0,25,0,0,0,0,11,27,0,28,0,4,0,27,8,0,46,0,20,15,15,0,0,0,4,0,18,49,0,7,0,0,0,0,0,32,0,18,21,3,0,0,51,6,0,0,0,0,11,0,58,11,0,40,0,0,58,0,12,29,18,0,0,13,0,110,102,33,18,0,10,0,37,9,16,16,0,17,0,13,4,21,10,0,14,11,8,8,10,0,41,38,0,15,0,0,0,0,0,24,13,0,19,0,0,0,17,10,0,0,9,0,0,0,28,26,3,18,0,16,0,28,7,107,0,0,0,43,0,0,0,0,9,0,43,30,20,0,0,27,0,32,0,0,10,14,30,19,24,0,26,0,18,0,66,0,24,0,19,0,0,0,0,39,23,9,47,0,24,0,25,25,6,0,17,0,0,38,0,0,0,0,0,11,10,13,6,102,0,9,17,9,0,0,9,0,63,0,144,0,120
AL-CSP-3,0,0,0,0,14,137,0,0,149,0,18,0,0,0,12,26,0,0,0,0,7,0,70,216,0,0,0,0,0,0,0,0,25,69,0,5,67,8,0,0,23,91,0,0,0,15,0,0,0,133,0,0,7,0,22,0,0,0,0,0,98,11,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,39,26,0,0,0,0,0,0,20,0,0,0,0,0,82,0,0,0,0,0,0,64,0,0,43,82,0,0,0,0,42,6,0,0,88,0,0,14,0,0,33,0,0,0,0,12,13,0,0,9,0,0,0,0,91,0,12,0,0,0,0,0,0,0,0,0,0,0,0,82,0,79,0,0,0,0,70,0,0,0,0,0,290,52,0,59,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,11,0,89,0,83,18,0,0
AL-CSP-4,0,0,0,0,19,270,0,0,51,0,37,27,0,0,0,0,0,0,0,0,20,0,40,324,0,0,0,0,0,0,0,0,23,151,0,0,45,35,0,0,62,68,0,0,0,0,0,0,0,152,0,0,0,0,44,0,0,0,0,0,69,18,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,38,77,0,0,0,0,0,0,0,0,80,0,0,38,0,0,101,0,0,0,0,10,32,11,0,0,0,0,0,0,62,0,17,0,0,0,0,0,0,5,0,0,0,0,0,166,0,122,0,0,0,0,0,0,0,0,0,0,315,40,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,12,0,60,0,92,37,0,0
AL-CSP-5,0,0,0,24,1,170,0,0,0,0,65,0,0,0,64,0,0,0,0,0,0,0,44,175,0,0,0,0,0,0,0,0,14,138,0,5,23,0,19,0,19,31,0,0,0,22,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,116,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,56,0,0,0,10,0,0,0,0,0,0,35,8,0,11,0,0,0,0,0,0,3,0,0,0,0,0,78,0,71,0,0,0,0,0,0,0,0,0,0,179,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,29,0,66,44,0,0
AL-OM-1,11,0,0,0,22,82,0,15,49,27,27,0,0,0,23,36,0,18,0,0,76,0,30,317,0,0,0,0,3,0,0,0,0,0,0,13,38,26,20,10,13,86,0,0,0,44,0,5,31,60,0,0,20,0,22,130,31,0,0,37,57,0,0,0,0,34,219,8,0,0,0,0,0,0,0,0,0,0,0,0,53,0,11,0,0,26,0,24,0,0,51,0,70,0,0,0,0,0,60,0,0,0,0,0,12,0,0,21,77,73,0,0,0,0,111,10,0,0,30,59,0,9,0,0,61,0,24,0,0,0,10,14,0,0,0,0,0,36,27,0,24,0,0,0,0,0,0,19,0,0,7,7,0,107,0,24,0,15,0,0,30,0,0,0,0,0,262,23,0,0,97,0,0,16,9,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,8,124,0,16,0,27,0,58,156,0,16
AL-OM-2,0,0,0,0,26,153,0,0,98,0,40,0,0,0,0,34,0,18,0,0,76,0,63,523,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,68,96,0,0,0,0,0,0,0,190,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,9,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,23,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,119,166,0,0,0,0,73,0,0,0,35,0,0,25,0,0,78,0,0,0,0,0,36,0,0,0,0,0,0,55,28,0,25,0,0,0,0,0,0,0,0,0,0,0,0,139,0,77,0,0,0,0,41,0,0,0,0,0,285,0,0,0,122,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,25,0,83,0,0,36,0,0
AL-OM-3,16,0,0,0,28,149,0,0,44,24,33,0,0,0,0,32,20,32,0,0,48,0,58,507,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,21,70,0,0,0,49,0,0,17,218,0,0,0,0,4,0,16,0,0,0,93,0,0,0,0,0,189,0,0,17,0,0,0,0,0,0,0,0,0,0,38,0,9,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,27,0,17,104,203,0,14,0,0,57,12,0,5,36,0,0,33,0,0,72,0,0,0,0,21,24,0,0,33,0,0,0,31,45,0,52,0,0,0,0,0,0,0,0,0,0,0,0,140,0,67,0,17,0,0,19,0,0,0,0,0,234,31,0,27,114,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15,100,0,0,0,81,0,107,117,0,0
