,OTU_2,OTU_7,OTU_43,OTU_50,OTU_160,OTU_171,OTU_183,OTU_184,OTU_204,OTU_254,OTU_255,OTU_259,OTU_272,OTU_284,OTU_300,OTU_340,OTU_342,OTU_381,OTU_390,OTU_394,OTU_418,OTU_424,OTU_431,OTU_447,OTU_449,OTU_469,OTU_510,OTU_513,OTU_529,OTU_541,OTU_552,OTU_559,OTU_593,OTU_596,OTU_611,OTU_619,OTU_623,OTU_640,OTU_723,OTU_732,OTU_734,OTU_751,OTU_781,OTU_807,OTU_811,OTU_829,OTU_843,OTU_900,OTU_925,OTU_927,OTU_942,OTU_943,OTU_951,OTU_970,OTU_972,OTU_989,OTU_998,OTU_999,OTU_1033,OTU_1043,OTU_1055,OTU_1061,OTU_1074,OTU_1092,OTU_1103,OTU_1118,OTU_1120,OTU_1153,OTU_1249,OTU_1254,OTU_1263,OTU_1282,OTU_1322,OTU_1327,OTU_1379,OTU_1397,OTU_1398,OTU_1485,OTU_1506,OTU_1520,OTU_1551,OTU_1564,OTU_1573,OTU_1583,OTU_1599,OTU_1653,OTU_1660,OTU_1739,OTU_1765,OTU_1794,OTU_1798,OTU_1809,OTU_1821,OTU_1840,OTU_1841,OTU_1858,OTU_1916,OTU_1932,OTU_1937,OTU_1947,OTU_1961,OTU_2001,OTU_2027,OTU_2043,OTU_2044,OTU_2076,OTU_2084,OTU_2111,OTU_2121,OTU_2138,OTU_2199,OTU_2201,OTU_2222,OTU_2224,OTU_2227,OTU_2253,OTU_2269,OTU_2282,OTU_2323,OTU_2335,OTU_2352,OTU_2373,OTU_2386,OTU_2429,OTU_2445,OTU_2448,OTU_2487,OTU_2512,OTU_2531,OTU_2537,OTU_2542,OTU_2582,OTU_2607,OTU_2702,OTU_2717,OTU_2726,OTU_2775,OTU_2786,OTU_2809,OTU_2834,OTU_2847,OTU_2872,OTU_2888,OTU_2899,OTU_2904,OTU_2956,OTU_2959,OTU_3017,OTU_3033,OTU_3049,OTU_3058,OTU_3073,OTU_3090,OTU_3104,OTU_3129,OTU_3132,OTU_3145
AL-BN-1,20,11,0,0,0,17,0,50,0,20,14,11,8,6,10,0,0,0,5,20,0,0,0,0,0,23,0,0,11,4,5,0,0,0,32,0,7,19,9,0,13,7,24,19,27,108,5,15,32,150,0,5,0,15,11,0,0,12,0,0,10,0,0,0,0,9,8,29,11,0,9,0,0,16,0,0,43,7,0,3,0,0,223,0,0,2,11,0,5,0,8,0,64,146,0,0,10,20,275,24,0,0,12,10,50,14,30,21,0,4,4,8,0,26,0,0,0,13,28,0,0,0,15,0,0,6,13,0,7,26,0,14,0,222,4,0,0,12,0,0,0,12,4,0,13,38,76,0,1,13,28,0,10,25,173,0,22
AL-BN-2,20,13,0,13,0,43,6,67,7,10,34,8,22,0,25,30,9,7,0,29,0,0,8,0,20,27,0,18,9,23,12,0,40,21,12,0,0,36,19,21,0,39,78,20,12,132,27,0,31,104,0,7,29,68,4,0,8,0,3,21,4,6,5,4,0,9,12,32,13,0,15,0,2,24,0,4,55,31,0,1,0,9,88,15,0,0,7,11,4,0,10,0,26,6,13,27,12,22,154,14,5,0,87,14,69,65,0,72,8,6,0,0,0,13,2,17,0,10,21,0,0,0,9,5,11,16,21,0,8,13,9,20,6,160,32,0,2,16,0,26,7,28,14,14,50,58,30,6,0,10,15,7,3,25,259,21,107
AL-BN-3,37,21,0,19,0,39,21,46,4,18,68,29,12,0,23,23,0,7,0,0,1,0,6,0,0,22,0,0,4,29,30,11,29,21,22,0,0,46,30,32,11,20,91,22,0,79,0,38,130,55,0,0,28,26,13,0,58,17,9,0,15,0,0,10,0,0,28,24,0,0,17,0,0,12,0,7,46,31,0,0,0,30,82,12,0,0,0,21,0,5,5,0,14,0,56,0,42,17,92,62,0,12,24,27,78,70,13,60,28,0,0,13,0,29,8,5,0,21,79,0,13,12,16,0,13,0,22,0,0,0,14,0,3,178,45,0,21,18,0,21,0,35,0,22,148,60,81,0,8,0,0,38,15,0,357,0,82
AL-BN-4,0,25,9,0,11,27,0,28,9,0,46,0,20,15,15,0,0,4,0,18,49,26,0,14,7,0,0,8,0,32,21,3,51,0,0,0,0,11,58,11,0,40,58,12,29,18,0,0,110,102,11,33,18,0,10,8,0,9,37,9,13,16,0,17,31,13,0,4,3,0,11,0,8,8,10,0,41,15,21,0,0,20,0,24,13,19,0,17,7,7,10,0,0,0,9,0,0,0,28,26,8,18,16,0,28,107,0,43,0,0,0,11,9,0,0,43,30,0,32,0,0,0,0,14,30,19,26,10,66,0,19,0,4,47,24,4,0,17,0,38,0,10,13,24,102,17,9,17,0,9,0,63,0,0,144,0,120
AL-CSP-3,0,0,0,0,0,0,0,0,0,26,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,25,0,0,0,5,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,98,11,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,26,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,43,82,0,0,0,0,42,6,0,0,0,0,14,0,33,0,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,89,0,0,83,18,0,0
AL-CSP-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,18,0,0,343,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,77,0,8,0,0,0,0,0,0,0,0,38,0,101,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,60,0,0,92,37,0,0
AL-CSP-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,5,19,0,0,0,22,0,0,9,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,65,0,7,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,66,44,0,0
AL-OM-1,11,0,0,0,0,15,4,27,0,36,0,18,0,0,76,0,13,0,0,0,0,0,0,14,0,0,0,0,0,13,20,10,0,0,44,0,5,31,0,0,20,0,31,0,37,57,0,0,34,219,0,8,0,0,0,42,0,0,0,0,10,0,0,0,0,0,0,53,0,0,26,0,0,24,0,0,51,0,0,0,0,0,60,0,0,0,12,0,0,0,21,0,77,73,0,0,0,0,111,10,0,0,59,0,9,0,61,0,0,0,14,15,0,0,14,0,0,36,0,0,0,0,0,0,0,19,7,0,0,15,0,0,0,262,0,0,16,9,0,0,0,0,0,0,0,8,124,0,0,0,27,0,0,58,156,0,16
AL-OM-2,0,0,0,0,0,0,0,0,0,34,0,18,0,0,76,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,23,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,119,166,0,0,0,0,73,0,0,0,0,0,25,0,78,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,83,0,0,0,36,0,0
AL-OM-3,16,0,0,0,0,0,0,24,0,32,20,32,0,0,48,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,49,0,0,17,0,0,0,0,16,0,0,93,0,0,0,189,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,19,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,17,0,104,203,0,0,0,0,57,12,0,5,0,0,33,0,72,0,0,21,0,0,0,33,0,0,0,31,0,0,0,0,5,0,0,0,0,0,0,17,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,15,100,0,0,0,81,0,7,107,117,0,0
AL-OM-4,7,0,0,0,0,19,0,0,0,42,0,19,0,0,30,0,0,0,0,0,0,0,0,0,0,38,5,0,0,10,13,11,0,0,39,0,0,29,7,0,17,0,16,0,0,84,0,0,0,214,0,0,0,24,0,26,0,0,0,0,7,0,0,0,0,0,2,40,0,0,20,0,0,51,0,0,68,14,0,0,0,0,88,0,0,0,11,0,0,0,28,0,49,53,0,0,0,11,127,27,0,10,30,0,49,12,43,0,0,28,0,12,0,10,0,0,0,0,40,0,0,0,7,0,0,11,0,0,0,20,0,0,1,384,12,0,14,0,0,0,0,0,0,4,0,8,94,0,0,0,39,0,0,84,165,0,0
AL-OM-5,46,0,11,0,0,66,9,0,0,23,45,48,1,0,35,0,0,20,0,0,40,0,0,0,0,25,0,19,0,24,30,10,0,0,5,0,0,0,31,0,35,34,35,0,80,146,27,0,0,287,0,0,13,16,0,29,49,0,0,0,0,10,18,0,0,0,14,0,0,0,0,0,0,40,0,0,77,17,0,0,0,0,68,26,11,0,0,12,37,0,31,0,45,41,0,0,36,33,138,0,0,30,68,0,55,73,29,18,17,13,0,20,0,0,10,0,0,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,37,6,55,23,0,0,0,0,0,29,48,0,140,0,0,0,21,18,0,22,300,0,61
AL-TIH-1,40,17,6,20,5,19,8,44,5,0,52,11,29,28,12,16,0,13,6,28,5,0,0,0,0,0,0,2,11,5,17,13,25,17,3,0,24,88,22,10,4,43,62,12,21,87,0,23,46,83,0,0,5,14,9,0,0,8,13,13,3,8,18,14,8,5,11,14,5,10,8,0,11,30,14,10,24,16,12,13,8,7,83,11,9,13,3,19,15,0,0,0,6,10,18,0,11,33,110,32,7,9,15,26,35,121,0,76,13,14,0,9,0,6,4,0,0,6,27,3,15,6,14,12,20,5,13,4,23,13,12,15,0,54,18,0,15,24,4,37,21,30,18,0,70,23,27,10,3,0,9,19,0,6,161,0,43
AL-TIH-2,14,0,0,0,0,25,0,37,0,27,22,23,7,0,12,0,7,0,0,0,0,0,0,11,0,28,0,6,0,2,0,12,0,0,66,0,6,23,0,0,18,4,0,20,0,154,12,0,0,184,0,5,0,11,0,15,0,21,0,0,9,0,0,0,0,0,0,69,0,0,7,6,0,10,0,0,65,0,0,0,0,0,188,0,0,0,11,0,0,0,4,0,64,118,12,16,0,13,249,14,0,0,5,0,38,13,45,0,0,0,0,4,0,21,0,0,0,30,29,0,0,0,3,0,0,22,0,0,0,24,0,0,0,344,11,0,12,0,0,0,0,9,0,0,0,38,108,0,0,10,49,0,0,65,206,0,0
AL-TIH-3,0,0,0,0,0,21,0,0,0,30,0,10,3,2,7,0,0,0,0,0,0,11,0,0,0,18,0,0,0,0,0,0,0,0,68,0,0,9,0,0,0,9,0,12,0,84,0,0,2,276,0,0,0,19,0,3,0,0,0,0,5,0,0,0,0,4,0,29,0,0,11,0,0,0,0,0,10,0,0,0,0,0,90,0,0,0,7,0,0,0,0,0,53,126,0,14,0,8,206,0,0,0,10,0,13,0,51,0,0,8,6,2,0,10,0,0,0,14,17,0,0,0,2,0,0,7,0,0,0,7,0,0,0,297,14,0,0,5,0,0,0,0,0,0,0,0,109,0,0,6,31,0,0,66,31,0,8
AL-TIH-4,35,0,0,0,0,43,15,40,0,24,17,28,9,0,11,0,10,13,2,0,1,10,10,0,0,25,2,11,0,10,26,7,0,0,33,0,0,52,15,0,22,7,25,0,35,118,11,9,43,225,0,12,0,41,0,15,0,15,0,0,5,0,9,16,4,0,5,50,0,0,13,0,5,19,0,0,44,0,0,8,0,4,110,0,0,0,6,0,4,2,19,0,75,76,0,0,19,17,106,29,0,18,60,8,47,41,33,12,0,8,24,20,0,0,14,16,9,16,17,0,0,0,10,5,0,8,12,0,12,31,0,0,0,268,13,0,9,7,0,0,3,0,0,0,27,21,78,0,0,7,24,0,0,28,298,0,13
AL-TIH-5,0,0,0,0,0,0,0,0,5,5,2,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,25,19,0,0,228,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,45,156,7,0,0,0,0,0,0,0,0,0,34,0,117,0,0,37,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,16,0,0,61,16,0,0
AL-TN-1,0,18,0,0,3,5,6,77,0,0,46,0,7,5,5,25,0,0,0,12,22,0,0,12,7,9,0,28,12,12,26,5,46,0,0,18,4,24,33,0,0,21,144,13,0,17,0,23,201,38,20,11,10,1,13,13,8,0,15,0,4,13,0,24,0,38,0,0,4,0,0,14,19,14,0,9,13,13,6,2,0,7,0,11,25,14,0,26,0,0,12,27,0,0,24,0,0,0,0,20,5,4,6,0,48,102,0,81,0,0,0,0,0,0,0,0,25,0,0,0,5,23,8,5,36,10,8,0,15,7,34,7,7,8,21,4,0,9,10,41,45,30,20,0,153,41,0,1,0,15,0,31,0,37,85,0,114
AL-TN-2,0,43,15,0,2,0,12,60,4,0,0,11,22,12,15,9,11,0,4,5,42,15,3,14,0,15,0,10,18,28,25,0,12,10,0,17,13,0,53,28,0,59,73,16,45,11,7,0,35,134,7,29,70,7,7,8,21,29,46,0,9,35,0,29,10,11,0,0,6,0,11,0,7,27,0,10,41,20,7,23,10,5,0,0,18,22,0,14,12,6,38,0,0,0,24,0,4,0,0,3,8,21,4,9,26,81,0,15,0,9,0,0,33,0,0,62,21,0,21,1,0,14,16,9,18,9,26,13,5,0,16,0,4,51,17,4,11,0,0,32,25,33,20,15,69,32,0,0,0,0,0,68,0,13,133,0,124
AL-TN-3,0,19,6,0,0,0,0,70,0,0,20,0,11,5,36,30,12,0,2,0,30,13,6,16,0,10,0,25,16,30,26,0,36,0,0,38,22,0,35,0,0,54,46,12,0,5,20,0,60,82,14,18,111,7,18,3,10,3,28,1,9,16,0,21,0,17,0,2,0,0,22,10,15,25,9,10,70,14,4,6,0,19,0,2,18,25,0,12,0,6,60,9,0,0,12,0,0,0,0,2,7,58,10,0,39,107,0,24,0,0,20,2,13,0,0,35,16,0,11,0,0,17,12,1,24,0,25,12,14,2,20,7,6,41,37,4,8,19,0,33,33,33,12,15,52,48,0,7,0,8,0,39,0,22,90,0,146
AL-TN-4,0,15,0,0,0,16,0,59,9,0,29,0,7,0,6,44,9,0,15,0,54,10,4,17,0,0,0,58,10,9,28,0,44,0,0,21,0,15,29,27,0,25,109,19,25,0,0,0,100,106,11,26,16,14,4,0,21,0,0,0,6,9,0,42,0,31,0,0,5,0,21,15,21,16,18,0,34,37,11,0,8,15,0,9,34,16,0,27,5,0,19,19,0,0,10,0,0,0,0,11,0,29,12,9,16,132,0,49,0,0,0,0,0,0,0,29,31,0,25,5,0,9,12,11,61,5,13,0,36,9,17,8,0,23,0,3,7,9,0,31,46,53,18,15,134,69,0,0,0,0,0,42,0,45,97,0,153
AL-TN-5,0,9,0,0,0,34,8,0,0,16,31,5,0,0,9,0,0,0,0,0,21,0,0,11,0,22,0,10,6,21,116,0,9,0,12,10,0,31,27,0,0,0,59,39,42,0,19,0,13,170,38,7,14,10,2,0,23,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,6,27,0,0,63,108,0,0,7,0,0,0,8,104,0,22,0,22,5,13,26,55,26,0,0,0,0,12,0,0,47,20,115,149,45,56,0,23,0,0,15,10,0,0,26,0,41,8,0,0,20,11,10,0,7,0,28,9,0,0,5,209,0,0,10,7,0,12,14,18,0,21,40,31,44,0,8,0,16,32,19,49,50,9,22
AR-BG-2,6,14,6,14,11,20,0,56,0,0,26,16,29,21,72,8,0,8,17,43,8,0,8,9,12,26,8,0,13,0,4,0,12,14,0,18,13,0,34,59,7,78,39,21,7,135,0,18,5,101,4,7,25,0,9,15,22,14,29,17,0,0,64,11,3,0,7,17,12,23,11,0,7,21,13,7,28,11,2,10,0,6,53,0,16,11,0,8,11,10,0,0,0,18,0,0,6,43,158,17,10,3,65,0,28,30,0,37,0,4,14,7,13,0,6,18,0,7,18,2,15,8,0,9,0,8,22,10,14,0,19,23,0,81,21,4,8,38,0,41,12,17,33,0,78,5,34,5,6,27,0,23,0,0,135,13,73
AR-BG-3,20,7,0,29,14,11,1,62,9,0,32,16,22,12,44,8,0,16,0,15,0,10,0,2,10,18,7,0,0,3,21,10,19,29,0,0,8,27,48,36,9,70,78,13,14,137,10,25,16,101,0,15,9,13,9,0,20,16,34,15,0,15,40,14,0,0,18,18,12,31,24,0,15,21,4,11,34,26,6,22,14,0,81,0,18,0,0,0,8,0,10,0,0,19,1,0,19,73,160,32,7,18,30,4,36,50,0,50,11,7,17,6,14,7,0,37,9,5,25,11,4,3,7,16,0,15,14,9,6,15,19,23,0,72,29,10,11,26,12,50,23,30,30,0,96,14,35,3,9,19,0,21,0,0,238,0,89
AR-BG-4,14,21,14,2,11,11,6,58,0,0,16,16,15,5,57,0,0,13,6,10,24,8,0,12,15,0,0,0,0,10,6,2,17,0,0,22,0,8,49,74,0,56,96,18,46,93,0,9,15,161,4,6,38,96,7,10,36,23,78,0,0,27,17,24,11,0,31,12,11,0,19,0,0,18,11,7,43,49,0,57,28,2,19,15,8,0,8,0,14,0,15,0,0,2,0,0,14,35,31,22,3,37,49,13,88,54,0,26,25,10,23,8,19,0,10,11,0,0,22,6,0,0,6,0,21,15,25,12,0,0,0,12,0,83,18,7,30,15,0,29,14,40,27,18,68,0,0,0,9,0,0,8,0,0,209,0,110
AR-BG-5,15,15,16,26,5,11,7,79,7,14,24,7,29,0,45,0,0,11,14,46,16,0,5,16,22,0,0,0,8,6,6,12,17,22,0,5,0,3,56,73,7,65,99,0,10,99,3,8,20,147,0,7,27,108,14,7,38,6,36,13,0,12,17,17,24,0,20,11,12,18,0,0,7,9,8,6,60,23,0,16,14,9,33,14,20,9,9,0,6,0,0,0,0,5,0,5,11,46,53,21,10,10,50,5,46,50,0,35,13,5,18,4,13,0,0,33,0,7,14,0,13,0,0,12,5,6,18,9,17,8,0,9,4,99,19,7,9,8,9,44,18,40,43,5,82,16,0,0,11,6,0,58,0,0,200,31,73
AR-FR-1,0,13,0,5,12,0,0,41,2,0,14,12,102,27,17,18,0,0,0,14,43,2,10,19,13,12,0,0,24,7,15,3,28,0,0,20,16,17,41,15,0,55,34,20,18,68,0,11,51,198,0,59,66,0,12,9,9,6,99,12,0,34,4,14,16,19,6,0,10,0,6,0,0,21,12,16,65,31,0,0,0,10,0,0,19,0,11,5,0,11,6,8,0,0,0,0,8,0,19,11,18,28,0,5,0,42,0,20,0,17,0,0,12,0,0,39,14,0,31,5,0,6,0,0,9,13,35,3,9,5,6,0,0,37,58,8,8,55,0,35,7,12,17,0,114,0,0,19,0,0,0,58,0,0,184,0,259
AR-FR-2,0,12,0,7,9,0,0,19,1,4,23,7,39,0,10,5,0,6,4,21,4,16,9,13,14,0,0,8,6,6,11,14,23,10,0,23,21,29,34,22,0,40,82,14,8,23,9,0,81,111,7,25,19,16,12,3,0,14,25,0,2,5,8,6,13,15,0,0,0,0,0,7,14,8,3,16,34,46,0,0,10,7,2,3,14,14,8,0,6,0,0,0,0,0,8,9,0,0,29,27,19,30,0,8,0,38,0,18,0,19,20,5,11,0,0,13,0,0,0,8,0,6,0,0,18,0,21,13,8,0,11,0,0,40,51,1,12,50,7,45,8,40,18,0,111,4,0,0,3,3,0,28,0,0,248,0,235
AR-FR-3,0,31,0,9,17,7,0,0,0,0,30,10,89,19,9,0,0,8,0,28,0,15,0,23,21,0,0,3,0,9,0,16,35,0,0,37,23,58,43,0,0,82,62,0,64,63,13,20,77,151,0,13,42,23,18,35,0,28,52,6,7,35,0,15,15,14,0,0,0,0,16,0,15,0,0,0,31,36,0,7,9,23,0,0,15,0,0,9,5,5,8,0,0,0,0,0,0,0,40,20,16,18,23,21,11,47,0,30,7,35,23,0,13,0,0,39,14,0,0,0,10,14,7,0,37,0,37,0,24,11,17,0,2,76,61,2,22,49,0,54,8,14,29,0,156,0,0,4,0,0,0,33,4,0,199,0,194
AR-FR-4,0,0,0,14,6,0,2,27,6,0,23,0,57,16,11,3,0,11,25,38,4,0,0,0,10,0,0,0,12,0,17,6,13,14,0,16,22,38,26,18,2,24,68,0,2,36,15,17,41,123,0,7,0,0,9,0,5,0,43,12,0,2,10,18,0,28,3,14,7,0,13,0,8,8,9,8,31,9,10,0,0,0,0,0,15,6,0,0,8,0,0,0,0,0,0,0,0,5,23,24,7,1,15,6,0,34,0,27,0,15,0,0,19,0,0,0,0,0,0,0,9,0,3,9,8,6,31,0,0,7,16,8,0,14,41,2,2,43,14,49,16,11,17,0,168,0,0,16,0,15,0,36,3,0,268,0,303
AR-FR-5,0,0,0,10,9,0,0,27,6,5,32,0,40,0,16,0,0,15,17,41,2,14,0,4,11,0,0,0,0,0,0,7,21,20,0,22,35,20,23,12,0,32,53,0,0,62,0,13,57,102,0,6,0,3,4,0,10,24,33,14,0,7,0,11,6,0,0,0,0,0,11,0,0,0,0,4,34,10,7,0,0,11,11,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,34,20,8,19,0,0,7,45,0,0,0,13,0,4,10,0,0,0,0,0,0,0,10,4,4,0,10,12,21,5,8,2,9,0,0,13,29,0,0,57,0,46,7,9,12,0,168,0,0,21,0,14,0,31,0,0,368,0,360
AR-LL-1,13,0,0,0,0,7,12,28,0,19,46,35,0,0,36,3,0,0,15,0,0,0,10,5,0,0,0,0,0,0,15,14,0,7,28,0,0,42,0,6,0,0,10,0,24,114,0,5,0,185,0,5,0,13,0,7,0,0,0,0,6,0,0,0,0,0,6,101,0,0,10,0,1,32,0,0,40,0,0,6,0,0,219,0,0,0,0,0,0,0,7,0,57,160,0,10,5,25,147,14,0,7,35,7,60,30,36,0,0,7,0,24,0,26,4,0,0,29,0,0,0,0,5,0,0,11,0,0,0,15,0,0,0,167,5,0,0,5,0,3,0,8,0,6,11,29,78,0,0,11,37,0,0,38,306,0,7
